id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_theater_01_1,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_1,True,Theater,10,10,1.0,bgm_story_backtonormal,hongryeon,1,idle,,,,,
d_ex_theater_01_2,d_ex_theater_01,Self,hongryeon,Self,Locale_SuddenStory:d_ex_theater_01_2,False,,10,10,1.0,,,1,idle,,,,,
d_ex_theater_01_3,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_3,True,,10,1,1.0,,,1,idle,,,,,
d_ex_theater_01_4,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_4,True,,1,1,1.0,,,1,idle,,,,,
d_ex_theater_01_5,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_5,True,,1,1,1.0,,,1,idle,,,,,
d_ex_theater_01_6,d_ex_theater_01,Self,hongryeon,Self,Locale_SuddenStory:d_ex_theater_01_6,False,,1,1,1.0,,,1,idle,,,,,
d_ex_theater_01_7,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_7,True,,1,1,1.0,,,1,idle,,,,,
d_ex_theater_01_8,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_8,True,,3,3,1.0,,,1,idle,,julia,3,surprise,
d_ex_theater_01_9,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_9,True,,2,2,1.0,,,1,delight,,,3,surprise,
d_ex_theater_01_10,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_10,True,,2,2,1.0,,,1,delight,,,3,surprise,
d_ex_theater_01_11,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_11,True,,2,2,1.0,,,1,idle,,,3,delight,
d_ex_theater_01_12,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_12,True,,2,2,1.0,,,1,idle,,,3,delight,
d_ex_theater_01_13,d_ex_theater_01,Self,julia,Self,Locale_SuddenStory:d_ex_theater_01_13,False,,2,2,1.0,,,1,idle,,,3,delight,
d_ex_theater_01_14,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_14,True,,2,S_30,1.0,,,1,idle,,,3,delight,
d_ex_theater_01_15,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_15,True,,S_30,S_30,1.0,,,1,idle,,,3,delight,
d_ex_theater_01_16,d_ex_theater_01,Self,julia,Self,Locale_SuddenStory:d_ex_theater_01_16,False,,S_30,S_30,1.0,,,1,idle,,,3,delight,
d_ex_theater_01_17,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_17,True,,S_30,10,1.0,,,1,idle,,,3,delight,
d_ex_theater_01_18,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_18,True,,10,10,1.0,,,1,idle,,,3,delight,
d_ex_theater_01_19,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_19,True,,10,10,1.0,,,1,idle,,,3,delight,
d_ex_theater_01_20,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_20,True,,10,10,1.0,,,1,idle,,,3,delight,
d_ex_theater_01_21,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_21,True,,10,10,1.0,,,1,idle,,,3,delight,
d_ex_theater_01_22,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_22,True,,10,2,1.0,,,1,idle,,,3,surprise,
d_ex_theater_01_23,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_23,True,,2,2,1.0,,,1,idle,,,3,surprise,
d_ex_theater_01_24,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_24,True,,2,2,1.0,,,1,idle,,,3,surprise,
d_ex_theater_01_25,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_25,True,,2,2,1.0,,,1,idle,,,3,delight,
d_ex_theater_01_26,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_26,True,,2,2,1.0,,,1,idle,,,3,delight,
d_ex_theater_01_27,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_27,True,,2,2,1.0,,,1,idle,,,3,delight,
d_ex_theater_01_28,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_28,True,,2,2,1.0,,,1,idle,,,3,delight,
d_ex_theater_01_29,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_29,True,,2,2,1.0,,,1,delight,,,3,delight,
d_ex_theater_01_30,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_30,True,,2,S_30,1.0,,,1,delight,,,3,delight,
d_ex_theater_01_31,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_31,True,,S_30,S_30,1.0,,,1,delight,,,3,delight,
d_ex_theater_01_32,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_32,True,,S_30,S_30,1.0,,,1,delight,,,3,delight,
d_ex_theater_01_33,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_33,True,,10,10,1.0,,,1,delight,,,3,delight,
d_ex_theater_01_34,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_34,True,,10,10,1.0,,,1,delight,,,3,delight,
d_ex_theater_01_35,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_35,True,,10,2,1.0,,,1,delight,,,3,idle,
d_ex_theater_01_36,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_36,True,,2,2,1.0,,,1,idle,,,3,idle,
d_ex_theater_01_37,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_37,True,,2,2,1.0,,,1,idle,,,3,idle,
d_ex_theater_01_38,d_ex_theater_01,Self,hongryeon,Self,Locale_SuddenStory:d_ex_theater_01_38,False,,2,2,1.0,,,1,idle,,,3,idle,
d_ex_theater_01_39,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_39,True,,2,10,0.5,,,1,idle,,,3,idle,
d_ex_theater_01_40,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_40,True,,S_30,S_30,1.0,,,1,idle,,,3,idle,
d_ex_theater_01_41,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_41,True,,S_30,S_300,0.8,,,1,idle,,,3,idle,
d_ex_theater_01_42,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_42,True,,S_300,S_300,1.0,,,1,idle,,,3,idle,
d_ex_theater_01_43,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_43,True,,10,10,1.0,,,1,pain,,,3,idle,
d_ex_theater_01_44,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_44,True,,10,10,1.0,,,1,pain,,,3,idle,
d_ex_theater_01_45,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_45,True,,10,2,1.0,,,1,idle,,,3,idle,
d_ex_theater_01_46,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_46,True,,2,2,1.0,,,1,idle,,,3,delight,
d_ex_theater_01_47,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_47,True,,2,2,1.0,,,1,idle,,,3,delight,
d_ex_theater_01_48,d_ex_theater_01,Monologue,julia,,Locale_SuddenStory:d_ex_theater_01_48,True,none,black,black,1.0,,,1,idle,hongryeon,,3,delight,julia
d_ex_theater_01_49,d_ex_theater_01,Speech,julia,julia,Locale_SuddenStory:d_ex_theater_01_49,False,Theater,3,3,1.0,,hongryeon,1,idle,,julia,3,"expression_0,idle",
d_ex_theater_01_50,d_ex_theater_01,Monologue,julia,,Locale_SuddenStory:d_ex_theater_01_50,True,,black,black,1.0,,,1,idle,,,3,think,
d_ex_theater_01_51,d_ex_theater_01,Monologue,julia,,Locale_SuddenStory:d_ex_theater_01_51,True,,black,black,1.0,,,1,idle,,,3,think,
d_ex_theater_01_52,d_ex_theater_01,Monologue,julia,,Locale_SuddenStory:d_ex_theater_01_52,True,,black,black,1.0,,,1,idle,,,3,think,
d_ex_theater_01_53,d_ex_theater_01,Monologue,julia,,Locale_SuddenStory:d_ex_theater_01_53,True,,black,black,1.0,,,1,idle,,,3,think,
d_ex_theater_01_54,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_54,True,,100,100,1.0,,,1,shy,,,3,think,
d_ex_theater_01_55,d_ex_theater_01,Speech,hongryeon,hongryeon,Locale_SuddenStory:d_ex_theater_01_55,True,,100,100,1.0,,,1,shy,,,3,think,
d_ex_theater_01_56,d_ex_theater_01,Monologue,hongryeon,,Locale_SuddenStory:d_ex_theater_01_56,True,,100,100,1.0,,,1,shy,,,3,think,
