id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,play_sound,characters/1/hide_char_id
d_ex_goddessofvictory_03_1,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_1,True,pepper,3,delight,Park,3,XS_30,2.0,bgm_story_leisuretime,,,,,,
d_ex_goddessofvictory_03_2,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_2,True,,3,idle,,XS_30,XS_30,1.0,,,,,,,
d_ex_goddessofvictory_03_3,d_ex_goddessofvictory_03,Self,pepper,,Locale_SuddenStory:d_ex_goddessofvictory_03_3,False,,3,idle,,XS_30,XS_30,1.0,,,,,,,
d_ex_goddessofvictory_03_4,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_4,True,,3,delight,,XS_30,XS_30,1.0,,,,,,,
d_ex_goddessofvictory_03_5,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_5,True,,3,angry,,XS_30,XS_30,1.0,,,,,,,
d_ex_goddessofvictory_03_6,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_6,True,,3,angry,,XS_30,XS_30,1.0,,,,,,,
d_ex_goddessofvictory_03_7,d_ex_goddessofvictory_03,Monologue,pepper,,Locale_SuddenStory:d_ex_goddessofvictory_03_7,False,,1,angry,,XS_30,XS_10,1.0,,,,,,,
d_ex_goddessofvictory_03_8,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_8,True,,1,special,,XS_10,XS_10,1.0,,,,,,,
d_ex_goddessofvictory_03_9,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_9,True,,1,shy,,XS_10,XS_10,1.0,,,,,,,
d_ex_goddessofvictory_03_10,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_10,True,,1,shy,,XS_10,XS_10,1.0,,,,,,,
d_ex_goddessofvictory_03_11,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_11,True,,1,delight,,XS_10,XS_10,1.0,,,,,,,
d_ex_goddessofvictory_03_12,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_12,True,,1,special,,XS_10,XS_10,1.0,,,,,,,
d_ex_goddessofvictory_03_13,d_ex_goddessofvictory_03,Self,pepper,,Locale_SuddenStory:d_ex_goddessofvictory_03_13,False,,1,special,,XS_10,XS_10,1.0,,,,,,,
d_ex_goddessofvictory_03_14,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_14,True,,1,surprise,,XS_10,12,1.0,none,ether,13,idle,,,
d_ex_goddessofvictory_03_15,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_15,False,,1,surprise,,12,12,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_16,d_ex_goddessofvictory_03,Self,pepper,,Locale_SuddenStory:d_ex_goddessofvictory_03_16,False,,1,surprise,,12,12,1.0,bgm_story_fairytalesend_if,,13,idle,,,
d_ex_goddessofvictory_03_17,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_17,True,,1,surprise,,12,12,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_18,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_18,True,,1,surprise,,12,XS_130,1.0,,,13,sad,,,
d_ex_goddessofvictory_03_19,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_19,True,,1,shy,,XS_130,XS_130,1.0,,,13,sad,,,
