id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target
d_subquest_1442_s_1,d_subquest_1442_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1442_s_1,True,neon,5,idle,anis,3,angry,rapi,1,idle,cinderella,13,idle,CrystalCity,S_50,S_50,1.0,bgm_frostpillar,
d_subquest_1442_s_2,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_2,True,,5,idle,,3,angry,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_3,d_subquest_1442_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1442_s_3,True,,5,idle,,3,angry,,1,idle,,13,idle,,S_50,4,1.0,,
d_subquest_1442_s_4,d_subquest_1442_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1442_s_4,True,,5,surprise,,3,angry,,1,idle,,13,idle,,4,4,1.0,,
d_subquest_1442_s_5,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_5,True,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_6,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_6,True,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_7,d_subquest_1442_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1442_s_7,True,,5,delight,,3,void,,1,idle,,13,idle,,S_50,S_50,1.0,,
d_subquest_1442_s_8,d_subquest_1442_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1442_s_8,True,,5,delight,,3,void,,1,idle,,13,idle,,S_50,S_50,1.0,,
d_subquest_1442_s_9,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_9,True,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_10,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_10,True,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_11,d_subquest_1442_s,Choice,cinderella,,Locale_SubScenario:d_subquest_1442_s_11,False,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,d_subquest_1442_s_13
d_subquest_1442_s_12,d_subquest_1442_s,Choice,cinderella,,Locale_SubScenario:d_subquest_1442_s_12,False,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,d_subquest_1442_s_14
d_subquest_1442_s_13,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_13,True,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,d_subquest_1442_s_15
d_subquest_1442_s_14,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_14,True,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,d_subquest_1442_s_15
d_subquest_1442_s_15,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_15,True,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_16,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_16,True,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_17,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_17,True,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_18,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_18,True,,5,idle,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_19,d_subquest_1442_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1442_s_19,True,,5,idle,,3,void,,1,think,,13,idle,,S_130,12,1.0,,
d_subquest_1442_s_20,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_20,True,,5,idle,,3,void,,1,think,,13,idle,,12,12,1.0,,
d_subquest_1442_s_21,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_21,True,,5,idle,,3,void,,1,idle,,13,idle,,12,12,1.0,,
d_subquest_1442_s_22,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_22,True,,5,idle,,3,void,,1,idle,,13,idle,,12,12,1.0,,
d_subquest_1442_s_23,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_23,True,,5,idle,,3,void,,1,idle,,13,idle,,12,12,1.0,,
d_subquest_1442_s_24,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_24,True,,5,idle,,3,void,,1,idle,,13,idle,,12,12,1.0,,
d_subquest_1442_s_25,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_25,True,,5,idle,,3,worry,,1,idle,,13,idle,,12,S_130,1.0,,
d_subquest_1442_s_26,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_26,True,,5,idle,,3,worry,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_27,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_27,True,,5,idle,,3,worry,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_28,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_28,True,,5,idle,,3,worry,,1,idle,,13,idle,,black,black,1.0,,
d_subquest_1442_s_29,d_subquest_1442_s,Self,cinderella,,Locale_SubScenario:d_subquest_1442_s_29,False,,5,idle,,3,worry,,1,idle,,13,idle,,S_130,S_130,1.0,,
