id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_filter_01,jump_target,characters/1/hide_char_id,characters/2/hide_char_id,fade,set_camera_shake
d_ex_powerplant_02_1,d_ex_powerplant_02,Monologue,Locale_SuddenStory:d_ex_powerplant_02_1,False,maxwell,1,idle,laplace,13,idle,drake,15,idle,TechIndoor,1315,1315,1.0,bgm_story_girlstalk,,,,,,,,,
d_ex_powerplant_02_2,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_2,True,,1,idle,,13,angry,,15,idle,,1315,1315,1.0,,laplace,laplace,,,,,,,
d_ex_powerplant_02_3,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_3,True,,1,idle,,13,angry,,15,idle,,1315,1315,1.0,,drake,drake,,,,,,,
d_ex_powerplant_02_4,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_4,True,,1,idle,,13,angry,,15,idle,,1315,1315,1.0,,laplace,laplace,,,,,,,
d_ex_powerplant_02_5,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_5,True,,1,idle,,13,angry,,15,idle,,1315,1315,1.0,,drake,drake,,,,,,,
d_ex_powerplant_02_6,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_6,True,,1,angry,,13,angry,,15,idle,,1315,1,1.0,,maxwell,maxwell,,,,,,,
d_ex_powerplant_02_7,d_ex_powerplant_02,Self,Locale_SuddenStory:d_ex_powerplant_02_7,False,,1,angry,,13,angry,,15,idle,,1,1,1.0,,maxwell,,,,,,,,
d_ex_powerplant_02_8,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_8,True,,1,idle,,13,angry,,15,idle,,1,1,1.0,,maxwell,maxwell,,,,,,,
d_ex_powerplant_02_9,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_9,True,,1,idle,,13,idle,,15,idle,,S_130,S_130,1.0,,laplace,laplace,,,,,,,
d_ex_powerplant_02_10,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_10,True,,1,sad,,13,idle,,15,idle,,10,10,1.0,,maxwell,maxwell,,,,,,,
d_ex_powerplant_02_11,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_11,True,,1,sad,,13,idle,,15,idle,,10,10,1.0,,maxwell,maxwell,,,,,,,
d_ex_powerplant_02_12,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_12,True,,1,idle,,13,idle,,15,idle,,S_130,S_130,1.0,,laplace,laplace,,,,,,,
d_ex_powerplant_02_13,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_13,True,,1,idle,,13,idle,,15,idle,,S_130,S_1300,0.5,,laplace,laplace,,,,,,,
d_ex_powerplant_02_14,d_ex_powerplant_02,Narration,Locale_SuddenStory:d_ex_powerplant_02_14,False,,1,idle,,13,idle,,15,idle,none,black,black,1.0,none,laplace,,energescatter,,,,,,
d_ex_powerplant_02_15,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_15,True,,1,idle,,13,idle,,15,idle,,black,black,1.0,,laplace,laplace,,,,,,,
d_ex_powerplant_02_16,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_16,True,,1,idle,,13,idle,,15,angry,,black,black,1.0,,drake,drake,,,,,,,
d_ex_powerplant_02_17,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_17,True,,1,idle,,13,idle,,15,angry,,black,black,1.0,,drake,drake,,,,,,,
d_ex_powerplant_02_18,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_18,True,,1,idle,,13,idle,,15,angry,,black,black,1.0,,maxwell,maxwell,,,,,,,
d_ex_powerplant_02_19,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_19,True,,1,idle,,13,idle,,15,idle,,black,black,1.0,,maxwell,maxwell,,,,,,,
