id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_camera_shake,set_filter_01,set_filter_02,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_main_19_08_e_1,d_main_19_08_e,Speech,harran,harran,Locale_MainScenario:d_main_19_08_e_1,True,WasteLand_04,1,1,1.0,ambient_scn_wind,,,,,,,harran,1,idle,,,,,
d_main_19_08_e_2,d_main_19_08_e,Speech,harran,harran,Locale_MainScenario:d_main_19_08_e_2,True,,1,1,1.0,,,,,,,,,1,idle,,,,,
d_main_19_08_e_3,d_main_19_08_e,Self,,Self,Locale_MainScenario:d_main_19_08_e_3,False,,1,1,1.0,,,,,,,,,1,idle,,,,,
d_main_19_08_e_4,d_main_19_08_e,Speech,harran,harran,Locale_MainScenario:d_main_19_08_e_4,True,,1,1,1.0,,,,,,,,,1,idle,,,,,
d_main_19_08_e_5,d_main_19_08_e,Narration,,Narration,Locale_MainScenario:d_main_19_08_e_5,False,none,harran_03,harran_03,1.0,,black,,,,,,,1,idle,harran,harran_event,event,idle,
d_main_19_08_e_6,d_main_19_08_e,Monologue,,Monologue,Locale_MainScenario:d_main_19_08_e_6,False,,harran_03,harran_03,1.0,,,,,,,,,,,,,event,idle,
d_main_19_08_e_7,d_main_19_08_e,Monologue,,Monologue,Locale_MainScenario:d_main_19_08_e_7,False,,harran_03,harran_01,3.0,bgm_story_armageddon,,,,,,,,,,,,event,idle,
d_main_19_08_e_8,d_main_19_08_e,Speech,harran,harran,Locale_MainScenario:d_main_19_08_e_8,True,,harran_01,harran_01,1.0,,,,,,,,,,,,,event,idle,
d_main_19_08_e_9,d_main_19_08_e,Speech,harran,harran,Locale_MainScenario:d_main_19_08_e_9,True,,harran_01,harran_01,1.0,,,,,,,,,,,,,event,idle,
d_main_19_08_e_10,d_main_19_08_e,Narration,,Narration,Locale_MainScenario:d_main_19_08_e_10,False,,harran_01,harran_01,1.0,,,sfx_scn_crow1,,,,,,,,,,event,idle,
