id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_17_08_1,d_main_17_08,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_08_1,True,RuinIndoor,L_10,L_10,1.0,bgm_story_6f6e6573656c66,snowwhite,1,idle,rapunzel,13,idle,hongryeon,3,idle,rapi,19,idle,anis,15,void,neon,17,idle
d_main_17_08_2,d_main_17_08,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_08_2,True,,L_10,L_10,1.0,,,1,idle,,13,idle,,3,idle,,19,idle,,15,void,,17,idle
d_main_17_08_3,d_main_17_08,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_08_3,True,,L_10,L_10,1.0,,,1,idle,,13,idle,,3,idle,,19,idle,,15,void,,17,idle
d_main_17_08_4,d_main_17_08,Speech,rapi,rapi,Locale_MainScenario:d_main_17_08_4,True,,190,190,1.0,,,1,idle,,13,idle,,3,idle,,19,idle,,15,void,,17,idle
d_main_17_08_5,d_main_17_08,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_08_5,True,,130,130,1.0,,,1,idle,,13,idle,,3,idle,,19,idle,,15,void,,17,idle
d_main_17_08_6,d_main_17_08,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_08_6,True,,130,130,1.0,,,1,idle,,13,idle,,3,idle,,19,idle,,15,void,,17,idle
d_main_17_08_7,d_main_17_08,Speech,neon,neon,Locale_MainScenario:d_main_17_08_7,True,,S_170,S_170,1.0,,,1,idle,,13,idle,,3,idle,,19,idle,,15,void,,17,idle
d_main_17_08_8,d_main_17_08,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_08_8,True,,130,130,1.0,,,1,idle,,13,idle,,3,idle,,19,idle,,15,void,,17,idle
d_main_17_08_9,d_main_17_08,Speech,rapi,rapi,Locale_MainScenario:d_main_17_08_9,True,,190,190,1.0,,,1,idle,,13,idle,,3,idle,,19,idle,,15,void,,17,idle
d_main_17_08_10,d_main_17_08,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_08_10,True,,130,130,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,void,,17,idle
d_main_17_08_11,d_main_17_08,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_08_11,True,,130,130,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,void,,17,idle
d_main_17_08_12,d_main_17_08,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_08_12,True,,130,130,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,void,,17,idle
d_main_17_08_13,d_main_17_08,Speech,anis,anis,Locale_MainScenario:d_main_17_08_13,True,,130,1315,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,worry,,17,idle
d_main_17_08_14,d_main_17_08,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_08_14,True,,1315,1315,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,worry,,17,idle
d_main_17_08_15,d_main_17_08,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_08_15,True,,1315,1315,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,worry,,17,idle
d_main_17_08_16,d_main_17_08,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_08_16,True,,1315,1315,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,worry,,17,idle
d_main_17_08_17,d_main_17_08,Self,rapunzel,,Locale_MainScenario:d_main_17_08_17,False,,1315,1315,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,worry,,17,idle
d_main_17_08_18,d_main_17_08,Speech,anis,anis,Locale_MainScenario:d_main_17_08_18,True,,1315,1315,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,angry,,17,idle
d_main_17_08_19,d_main_17_08,Speech,anis,anis,Locale_MainScenario:d_main_17_08_19,True,,1315,1315,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,angry,,17,idle
d_main_17_08_20,d_main_17_08,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_08_20,True,,1315,3,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,angry,,17,idle
d_main_17_08_21,d_main_17_08,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_08_21,True,,3,3,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,angry,,17,idle
d_main_17_08_22,d_main_17_08,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_08_22,True,,3,30,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,angry,,17,idle
d_main_17_08_23,d_main_17_08,Self,hongryeon,,Locale_MainScenario:d_main_17_08_23,False,,30,30,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,angry,,17,idle
d_main_17_08_24,d_main_17_08,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_08_24,True,,30,30,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,worry,,17,idle
d_main_17_08_25,d_main_17_08,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_08_25,True,,30,30,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,worry,,17,idle
d_main_17_08_26,d_main_17_08,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_08_26,True,,30,30,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,worry,,17,idle
d_main_17_08_27,d_main_17_08,Speech,neon,neon,Locale_MainScenario:d_main_17_08_27,True,,S_170,S_170,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,worry,,17,idle
d_main_17_08_28,d_main_17_08,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_08_28,True,,L_10,L_10,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,worry,,17,idle
d_main_17_08_29,d_main_17_08,Speech,anis,anis,Locale_MainScenario:d_main_17_08_29,True,,150,150,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,void,,17,idle
d_main_17_08_30,d_main_17_08,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_08_30,True,,L_10,L_10,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,void,,17,idle
d_main_17_08_31,d_main_17_08,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_08_31,True,,L_10,L_10,1.0,,,1,idle,,13,no,,3,idle,,19,idle,,15,void,,17,idle
d_main_17_08_32,d_main_17_08,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_08_32,True,,L_10,130,1.0,,,1,idle,,13,idle,,3,idle,,19,idle,,15,void,,17,idle
d_main_17_08_33,d_main_17_08,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_08_33,True,,130,130,1.0,,,1,idle,,13,idle,,3,idle,,19,idle,,15,void,,17,idle
d_main_17_08_34,d_main_17_08,Speech,anis,anis,Locale_MainScenario:d_main_17_08_34,True,,130,1315,1.0,,,1,idle,,13,idle,,3,idle,,19,idle,,15,void,,17,idle
d_main_17_08_35,d_main_17_08,Monologue,anis,,Locale_MainScenario:d_main_17_08_35,False,,1315,1315,1.0,,,1,idle,,13,idle,,3,idle,,19,idle,,15,void,,17,idle
d_main_17_08_36,d_main_17_08,Speech,anis,anis,Locale_MainScenario:d_main_17_08_36,True,,1315,1315,1.0,,,1,idle,,13,idle,,3,idle,,19,idle,,15,angry,,17,idle
