id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_21_02_s_1,d_main_21_02_s,Self,cecil,Self,Locale_MainScenario:d_main_21_02_s_1,False,cecil,1,idle,EdenLobby,1,1,1.0,bgm_story_cecil,,,,,,,,
d_main_21_02_s_2,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_2,True,,1,idle,,1,1,1.0,,,,,,,,,
d_main_21_02_s_3,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_3,True,,1,idle,,1,1,1.0,,,,,,,,,
d_main_21_02_s_4,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_4,True,,1,idle,,1,1,1.0,,,,,,,,,
d_main_21_02_s_5,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_5,True,,1,idle,,1,1,1.0,,,,,,,,,
d_main_21_02_s_6,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_6,True,,1,idle,,1,10,2.0,,,,,,,,,
d_main_21_02_s_7,d_main_21_02_s,Self,cecil,Self,Locale_MainScenario:d_main_21_02_s_7,False,,1,idle,,10,10,1.0,,,,,,,,,
d_main_21_02_s_8,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_8,True,,1,idle,,10,10,1.0,,,,,,,,,
d_main_21_02_s_9,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_9,True,,1,idle,,10,10,1.0,,,,,,,,,
d_main_21_02_s_10,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_10,True,,1,idle,,10,10,1.0,,,,,,,,,
d_main_21_02_s_11,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_11,True,,1,idle,,10,10,1.0,,,,,,,,,
d_main_21_02_s_12,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_12,True,,1,idle,,10,10,1.0,,,,,,,,,
d_main_21_02_s_13,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_13,True,,1,idle,,10,10,1.0,,,,,,,,,
d_main_21_02_s_14,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_14,True,,1,idle,,10,10,1.0,,,,,,,,,
d_main_21_02_s_15,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_15,True,,1,idle,,10,100,1.0,,,,,,,,,
d_main_21_02_s_16,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_16,True,,1,idle,,100,100,1.0,,,,,,,,,
d_main_21_02_s_17,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_17,True,,1,idle,,100,100,1.0,,,,,,,,,
d_main_21_02_s_18,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_18,True,,1,idle,,100,100,1.0,,,,,,,,,
d_main_21_02_s_19,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_19,True,,1,idle,,100,100,1.0,,,,,,,,,
d_main_21_02_s_20,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_20,True,,1,idle,,100,1,2.0,,,,,,,,,
d_main_21_02_s_21,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_21,True,,1,idle,,1,1,1.0,,,,,,,,,
d_main_21_02_s_22,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_22,True,,1,idle,,1,10,2.0,,,,,,,,,
d_main_21_02_s_23,d_main_21_02_s,Speech,cecil,cecil,Locale_MainScenario:d_main_21_02_s_23,True,,1,idle,,10,100,2.0,,,,,,,,,
d_main_21_02_s_24,d_main_21_02_s,Self,,Self,Locale_MainScenario:d_main_21_02_s_24,False,,1,idle,Desert_02,1,1,1.0,none,cecil,black,,,,,,
d_main_21_02_s_25,d_main_21_02_s,Speech,rapi,rapi,Locale_MainScenario:d_main_21_02_s_25,True,rapi,1,idle,,1,1,1.0,bgm_intotheswarm,,,neon,3,idle,anis,5,void
d_main_21_02_s_26,d_main_21_02_s,Self,rapi,Self,Locale_MainScenario:d_main_21_02_s_26,False,,1,idle,,1,1,1.0,,,,,3,idle,,5,void
d_main_21_02_s_27,d_main_21_02_s,Speech,rapi,rapi,Locale_MainScenario:d_main_21_02_s_27,False,,1,idle,,1,1,1.0,,,,,3,idle,,5,void
d_main_21_02_s_28,d_main_21_02_s,Speech,rapi,rapi,Locale_MainScenario:d_main_21_02_s_28,True,,1,idle,,1,1,1.0,,,,,3,idle,,5,void
