id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,set_filter_01,jump_target,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_cafe_02_1,d_ex_cafe_02,Monologue,Locale_SuddenStory:d_ex_cafe_02_1,False,Cafe,17,17,1.0,sfx_scn_toyshopbell,bgm_story_tuffguys,,,,,,,milk,3,surprise,sugar,1,idle,frima,13,no
d_ex_cafe_02_2,d_ex_cafe_02,Monologue,Locale_SuddenStory:d_ex_cafe_02_2,False,,17,2,2.0,,,,,,,,,,3,surprise,,1,idle,,13,no
d_ex_cafe_02_3,d_ex_cafe_02,Speech,Locale_SuddenStory:d_ex_cafe_02_3,True,,2,2,1.0,,,sugar,sugar,,,,,,3,delight,,1,idle,,13,idle
d_ex_cafe_02_4,d_ex_cafe_02,Self,Locale_SuddenStory:d_ex_cafe_02_4,False,,2,2,1.0,,,sugar,,,,,,,3,delight,,1,idle,,13,idle
d_ex_cafe_02_5,d_ex_cafe_02,Speech,Locale_SuddenStory:d_ex_cafe_02_5,True,,2,S_10,1.0,,,sugar,sugar,,,,,,3,idle,,1,idle,,13,idle
d_ex_cafe_02_6,d_ex_cafe_02,Speech,Locale_SuddenStory:d_ex_cafe_02_6,True,,S_10,S_10,1.0,,,sugar,sugar,,,,,,3,idle,,1,idle,,13,idle
d_ex_cafe_02_7,d_ex_cafe_02,Speech,Locale_SuddenStory:d_ex_cafe_02_7,True,,S_10,S_30,1.0,,,milk,milk,,,,,,3,no,,1,idle,,13,idle
d_ex_cafe_02_8,d_ex_cafe_02,Speech,Locale_SuddenStory:d_ex_cafe_02_8,True,,S_30,S_30,1.0,,,milk,milk,,,,,,3,no,,1,idle,,13,idle
d_ex_cafe_02_9,d_ex_cafe_02,Self,Locale_SuddenStory:d_ex_cafe_02_9,False,,S_30,S_30,1.0,,,milk,,,,,,,3,no,,1,idle,,13,idle
d_ex_cafe_02_10,d_ex_cafe_02,Speech,Locale_SuddenStory:d_ex_cafe_02_10,True,,S_30,S_30,1.0,,,milk,milk,,,,,,3,good,,1,idle,,13,idle
d_ex_cafe_02_11,d_ex_cafe_02,Speech,Locale_SuddenStory:d_ex_cafe_02_11,True,,S_30,S_30,1.0,,,milk,milk,,,,,,3,good,,1,idle,,13,idle
