id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_18af_01_1,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_1,False,Office,S_10,S_10,1.0,bgm_story_fairytalesend_b,,syuen,1,think,,ingrid,13,idle,mustang,3,idle,andersen,15,angry
d_main_18af_01_2,d_main_18af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_18af_01_2,False,,L_130,L_130,1.0,,,,1,think,,,13,idle,,3,idle,,15,angry
d_main_18af_01_3,d_main_18af_01,Speech,mustang,mustang,Locale_MainScenario:d_main_18af_01_3,False,,L_30,L_30,1.0,,,,1,think,,,13,idle,,3,idle,,15,angry
d_main_18af_01_4,d_main_18af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_18af_01_4,True,,L_150,L_150,1.0,,,,1,think,,,13,idle,,3,idle,,15,angry
d_main_18af_01_5,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_5,True,,L_150,S_10,1.0,,,,1,surprise,,,13,idle,,3,idle,,15,angry
d_main_18af_01_6,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_6,True,,S_10,S_10,1.0,,,,1,surprise,,,13,idle,,3,idle,,15,angry
d_main_18af_01_7,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_7,True,,S_10,S_10,1.0,,,,1,surprise,,,13,idle,,3,idle,,15,angry
d_main_18af_01_8,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_8,True,,S_10,1,1.0,,,,1,idle,,,13,idle,,3,idle,,15,angry
d_main_18af_01_9,d_main_18af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_18af_01_9,True,,1,113,1.0,,Low_2,,1,idle,,,13,angry,,3,idle,,15,angry
d_main_18af_01_10,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_10,True,,113,113,1.0,,,,1,angry,,,13,angry,,3,idle,,15,angry
d_main_18af_01_11,d_main_18af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_18af_01_11,True,,113,113,1.0,,,,1,angry,,,13,angry,,3,idle,,15,angry
d_main_18af_01_12,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_12,True,,113,113,1.0,,,,1,idle,,,13,angry,,3,idle,,15,angry
d_main_18af_01_13,d_main_18af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_18af_01_13,True,,113,113,1.0,,,,1,idle,,,13,angry,,3,idle,,15,angry
d_main_18af_01_14,d_main_18af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_18af_01_14,True,,113,113,1.0,,,,1,idle,,,13,angry,,3,idle,,15,angry
d_main_18af_01_15,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_15,True,,113,113,1.0,,,,1,surprise,,,13,angry,,3,idle,,15,angry
d_main_18af_01_16,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_16,True,,113,S_10,1.0,,,,1,surprise,,,13,angry,,3,idle,,15,angry
d_main_18af_01_17,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_17,True,,S_10,S_10,1.0,,,,1,surprise,,,13,angry,,3,idle,,15,angry
d_main_18af_01_18,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_18,True,,S_10,S_10,1.0,,,,1,idle,,,13,angry,,3,idle,,15,angry
d_main_18af_01_19,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_19,True,,S_10,S_100,0.5,,,,1,idle,,,13,angry,,3,idle,,15,angry
d_main_18af_01_20,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_20,True,,S_100,S_100,1.0,,,,1,idle,,,13,angry,,3,idle,,15,angry
d_main_18af_01_21,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_21,True,,S_100,S_100,1.0,,,,1,idle,,,13,angry,,3,idle,,15,angry
