id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_ex_shopping_06_1,d_ex_shopping_06,Monologue,Locale_SuddenStory:d_ex_shopping_06_1,False,ShoppingMall,12,12,1.0,none,,,,,,,,,,,,,,,,
d_ex_shopping_06_2,d_ex_shopping_06,Monologue,Locale_SuddenStory:d_ex_shopping_06_2,False,,12,12,1.0,,,,,,,,,,,,,,,,,
d_ex_shopping_06_3,d_ex_shopping_06,Narration,Locale_SuddenStory:d_ex_shopping_06_3,False,Elevator,12,1,1.0,,,,,,,,,,,,,,,,,
d_ex_shopping_06_4,d_ex_shopping_06,Monologue,Locale_SuddenStory:d_ex_shopping_06_4,False,,1,1,1.0,,Low_3_Loop,,,,,,,,,,,,,,,
d_ex_shopping_06_5,d_ex_shopping_06,Narration,Locale_SuddenStory:d_ex_shopping_06_5,False,,1,1,1.0,,none,,,,,,,,,,,,,,,
d_ex_shopping_06_6,d_ex_shopping_06,Monologue,Locale_SuddenStory:d_ex_shopping_06_6,False,,1,1,1.0,,,,,,,,,,,,,,,,,
d_ex_shopping_06_7,d_ex_shopping_06,Narration,Locale_SuddenStory:d_ex_shopping_06_7,False,,black,black,1.0,,,sfx_scn_autodooropen,,,,,,,,,,,,,,
d_ex_shopping_06_8,d_ex_shopping_06,Speech,Locale_SuddenStory:d_ex_shopping_06_8,True,ShoppingMall,1,12,1.0,bgm_story_whosdumber,,,diesel,diesel,diesel,12,surprise,,,,,,,,,
d_ex_shopping_06_9,d_ex_shopping_06,Self,Locale_SuddenStory:d_ex_shopping_06_9,False,,12,12,1.0,,,,diesel,,,12,surprise,,,,,,,,,
d_ex_shopping_06_10,d_ex_shopping_06,Speech,Locale_SuddenStory:d_ex_shopping_06_10,True,,12,12,1.0,,,,diesel,diesel,,12,delight,,,,,,,,,
d_ex_shopping_06_11,d_ex_shopping_06,Self,Locale_SuddenStory:d_ex_shopping_06_11,False,,12,12,1.0,,,,diesel,,,12,delight,,,,,,,,,
d_ex_shopping_06_12,d_ex_shopping_06,Speech,Locale_SuddenStory:d_ex_shopping_06_12,True,,12,12,1.0,,,,diesel,diesel,,12,worry,,,,,,,,,
d_ex_shopping_06_13,d_ex_shopping_06,Speech,Locale_SuddenStory:d_ex_shopping_06_13,True,,12,12,1.0,,,,diesel,diesel,,12,worry,,,,,,,,,
d_ex_shopping_06_14,d_ex_shopping_06,Narration,Locale_SuddenStory:d_ex_shopping_06_14,False,,12,12,1.0,,,,diesel,,,12,idle,,,,,,,,,
d_ex_shopping_06_15,d_ex_shopping_06,Monologue,Locale_SuddenStory:d_ex_shopping_06_15,False,,12,12,1.0,,,,diesel,,,12,idle,,,,,,,,,
d_ex_shopping_06_16,d_ex_shopping_06,Self,Locale_SuddenStory:d_ex_shopping_06_16,False,,12,12,1.0,,,,diesel,,,12,idle,,,,,,,,,
d_ex_shopping_06_17,d_ex_shopping_06,Speech,Locale_SuddenStory:d_ex_shopping_06_17,True,,12,13,1.0,,,,brid,brid,,12,idle,brid,14,idle,,,,,,
d_ex_shopping_06_18,d_ex_shopping_06,Speech,Locale_SuddenStory:d_ex_shopping_06_18,True,,13,13,1.0,,,,brid,brid,,12,idle,,14,idle,,,,,,
d_ex_shopping_06_19,d_ex_shopping_06,Self,Locale_SuddenStory:d_ex_shopping_06_19,False,,13,13,1.0,,,,brid,,,12,idle,,14,idle,,,,,,
d_ex_shopping_06_20,d_ex_shopping_06,Speech,Locale_SuddenStory:d_ex_shopping_06_20,True,Elevator,13,12,1.0,,,sfx_scn_autodooropen,diesel,diesel,,1,delight,,13,idle,,,,,,
d_ex_shopping_06_21,d_ex_shopping_06,Narration,Locale_SuddenStory:d_ex_shopping_06_21,False,,12,12,1.0,,,,diesel,,,1,delight,,13,idle,,,,,,
d_ex_shopping_06_22,d_ex_shopping_06,Speech,Locale_SuddenStory:d_ex_shopping_06_22,True,,12,12,1.0,,,,diesel,diesel,,1,worry,,13,idle,,,,,,
d_ex_shopping_06_23,d_ex_shopping_06,Self,Locale_SuddenStory:d_ex_shopping_06_23,False,,12,12,1.0,,,,diesel,,,1,worry,,13,idle,,,,,,
d_ex_shopping_06_24,d_ex_shopping_06,Narration,Locale_SuddenStory:d_ex_shopping_06_24,False,,black,black,1.0,none,Low_2,sfx_scn_machinestopsudden,diesel,,,1,idle,,13,idle,,,,,,
d_ex_shopping_06_25,d_ex_shopping_06,Self,Locale_SuddenStory:d_ex_shopping_06_25,False,,12,12,1.0,,,,diesel,,,1,idle,,13,idle,,,,,,
d_ex_shopping_06_26,d_ex_shopping_06,Monologue,Locale_SuddenStory:d_ex_shopping_06_26,False,,12,12,1.0,,,,diesel,,,1,idle,,13,idle,,,,,,
d_ex_shopping_06_27,d_ex_shopping_06,Speech,Locale_SuddenStory:d_ex_shopping_06_27,True,,12,15,2.0,,,,drake,drake,,1,idle,,13,idle,diesel,brid,,,,
d_ex_shopping_06_28,d_ex_shopping_06,Speech,Locale_SuddenStory:d_ex_shopping_06_28,True,ShoppingMall,15,16,1.0,bgm_story_kneeldownfools,,,drake,drake,,1,idle,,13,idle,,,drake,16,idle,
d_ex_shopping_06_29,d_ex_shopping_06,Self,Locale_SuddenStory:d_ex_shopping_06_29,False,,16,16,1.0,,,,drake,,,1,idle,,13,idle,,,,16,idle,
d_ex_shopping_06_30,d_ex_shopping_06,Speech,Locale_SuddenStory:d_ex_shopping_06_30,True,,16,160,0.5,,,,drake,drake,,1,idle,,13,idle,,,,16,angry,
d_ex_shopping_06_31,d_ex_shopping_06,Speech,Locale_SuddenStory:d_ex_shopping_06_31,True,,160,160,1.0,,,,drake,drake,,1,idle,,13,idle,,,,16,angry,
d_ex_shopping_06_32,d_ex_shopping_06,Self,Locale_SuddenStory:d_ex_shopping_06_32,False,,160,160,1.0,,,,drake,,,1,idle,,13,idle,,,,16,angry,
