id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,speaker,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,fade
d_ex_court_08_1,d_ex_court_08,Self,yulha,Locale_SuddenStory:d_ex_court_08_1,False,Park,2,2,1.0,bgm_story_languor,,,,,,,,,,,,,,,
d_ex_court_08_2,d_ex_court_08,Monologue,yulha,Locale_SuddenStory:d_ex_court_08_2,False,,2,2,1.0,,yulha,3,idle,arcana,1,idle,,,,,,,,,
d_ex_court_08_3,d_ex_court_08,Speech,yulha,Locale_SuddenStory:d_ex_court_08_3,True,,2,2,1.0,,,3,idle,,1,idle,yulha,,,,,,,,
d_ex_court_08_4,d_ex_court_08,Speech,arcana,Locale_SuddenStory:d_ex_court_08_4,True,,2,2,1.0,,,3,idle,,1,idle,arcana,,,,,,,,
d_ex_court_08_5,d_ex_court_08,Speech,arcana,Locale_SuddenStory:d_ex_court_08_5,True,,2,2,1.0,,,3,idle,,1,idle,arcana,,,,,,,,
d_ex_court_08_6,d_ex_court_08,Speech,arcana,Locale_SuddenStory:d_ex_court_08_6,True,,2,2,1.0,,,3,idle,,1,idle,arcana,,,,,,,,
d_ex_court_08_7,d_ex_court_08,Speech,arcana,Locale_SuddenStory:d_ex_court_08_7,True,,2,2,1.0,,,3,idle,,1,idle,arcana,,,,,,,,
d_ex_court_08_8,d_ex_court_08,Self,arcana,Locale_SuddenStory:d_ex_court_08_8,False,,2,2,1.0,,,3,idle,,1,idle,,,,,,,,,
d_ex_court_08_9,d_ex_court_08,Speech,arcana,Locale_SuddenStory:d_ex_court_08_9,True,,2,L_10,1.0,,,3,idle,,1,delight,arcana,,,,,,,,
d_ex_court_08_10,d_ex_court_08,Speech,arcana,Locale_SuddenStory:d_ex_court_08_10,True,,L_10,L_10,1.0,,,3,idle,,1,delight,arcana,,,,,,,,
d_ex_court_08_11,d_ex_court_08,Speech,arcana,Locale_SuddenStory:d_ex_court_08_11,True,,L_10,L_10,1.0,,,3,idle,,1,delight,arcana,,,,,,,,
d_ex_court_08_12,d_ex_court_08,Self,arcana,Locale_SuddenStory:d_ex_court_08_12,False,,L_10,L_10,1.0,,,3,idle,,1,delight,,,,,,,,,
d_ex_court_08_13,d_ex_court_08,Speech,yulha,Locale_SuddenStory:d_ex_court_08_13,True,,L_10,L_30,1.0,,,3,angry,,1,delight,yulha,,,,,,,,
d_ex_court_08_14,d_ex_court_08,Speech,yulha,Locale_SuddenStory:d_ex_court_08_14,True,,L_30,L_30,1.0,,,3,angry,,1,delight,yulha,,,,,,,,
d_ex_court_08_15,d_ex_court_08,Self,yulha,Locale_SuddenStory:d_ex_court_08_15,False,,L_30,L_30,1.0,,,3,angry,,1,delight,,,,,,,,,
d_ex_court_08_16,d_ex_court_08,Self,yulha,Locale_SuddenStory:d_ex_court_08_16,False,,L_30,L_30,1.0,,,3,angry,,1,delight,,,,,,,,,
d_ex_court_08_17,d_ex_court_08,Speech,yulha,Locale_SuddenStory:d_ex_court_08_17,True,,L_30,L_30,1.0,,,3,idle,,1,delight,yulha,,,,,,,,
d_ex_court_08_18,d_ex_court_08,Speech,yulha,Locale_SuddenStory:d_ex_court_08_18,True,,L_30,L_30,1.0,,,3,idle,,1,delight,yulha,,,,,,,,
d_ex_court_08_19,d_ex_court_08,Speech,privaty_m,Locale_SuddenStory:d_ex_court_08_19,True,,L_30,4,1.0,,,3,idle,,1,idle,privaty_m,privaty_m,5,sad2,,,,,
d_ex_court_08_20,d_ex_court_08,Speech,privaty_m,Locale_SuddenStory:d_ex_court_08_20,True,,4,4,1.0,,,3,idle,,1,idle,privaty_m,,5,sad2,,,,,
d_ex_court_08_21,d_ex_court_08,Speech,privaty_m,Locale_SuddenStory:d_ex_court_08_21,True,,4,4,1.0,,,3,idle,,1,idle,privaty_m,,5,surprise,,,,,
d_ex_court_08_22,d_ex_court_08,Self,privaty_m,Locale_SuddenStory:d_ex_court_08_22,False,,4,4,1.0,,,3,idle,,1,idle,,,5,surprise,,,,,
d_ex_court_08_23,d_ex_court_08,Speech,privaty_m,Locale_SuddenStory:d_ex_court_08_23,True,,4,4,1.0,,,3,idle,,1,idle,privaty_m,,5,shy,,,,,
d_ex_court_08_24,d_ex_court_08,Speech,privaty_m,Locale_SuddenStory:d_ex_court_08_24,True,,4,4,1.0,,,3,idle,,1,idle,privaty_m,,5,shy,,,,,
d_ex_court_08_25,d_ex_court_08,Choice,privaty_m,Locale_SuddenStory:d_ex_court_08_25,False,,4,4,1.0,,,3,idle,,1,idle,,,5,shy,d_ex_court_08_27,,,,
d_ex_court_08_26,d_ex_court_08,Choice,privaty_m,Locale_SuddenStory:d_ex_court_08_26,False,,4,4,1.0,,,3,idle,,1,idle,,,5,shy,d_ex_court_08_28,,,,
d_ex_court_08_27,d_ex_court_08,Speech,privaty_m,Locale_SuddenStory:d_ex_court_08_27,True,,4,4,1.0,,,3,idle,,1,idle,privaty_m,,5,happy,d_ex_court_08_29,,,,
d_ex_court_08_28,d_ex_court_08,Speech,privaty_m,Locale_SuddenStory:d_ex_court_08_28,True,,4,4,1.0,,,3,idle,,1,idle,privaty_m,,5,shy,d_ex_court_08_29,,,,
d_ex_court_08_29,d_ex_court_08,Monologue,privaty_m,Locale_SuddenStory:d_ex_court_08_29,False,,black,black,1.0,,,9,idle,,1,idle,,,7,idle,,,,,
d_ex_court_08_30,d_ex_court_08,Speech,arcana,Locale_SuddenStory:d_ex_court_08_30,True,,1,L_10,1.0,,,9,idle,,1,smile,arcana,,7,idle,,,,,
d_ex_court_08_31,d_ex_court_08,Speech,arcana,Locale_SuddenStory:d_ex_court_08_31,True,,L_10,L_10,1.0,,,9,idle,,1,smile,arcana,,7,idle,,,,,
d_ex_court_08_32,d_ex_court_08,Speech,arcana,Locale_SuddenStory:d_ex_court_08_32,True,,L_10,L_10,1.0,,,9,idle,,1,smile,arcana,,7,idle,,,,,
