id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
d_main_31_02_s_1,d_main_31_02_s,Speech,vesti,vesti,Locale_MainScenario:d_main_31_02_s_1,True,vesti,5,idle,emma,3,idle,eunhwa,1,angry,anis,13,idle,neon,15,idle,rapi,17,idle,CrystalCity,XS_50,XS_50,1.0,bgm_chapter31_field_beast_a,,,
d_main_31_02_s_2,d_main_31_02_s,Speech,emma,emma,Locale_MainScenario:d_main_31_02_s_2,True,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,XS_50,30,1.0,,,,
d_main_31_02_s_3,d_main_31_02_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_02_s_3,True,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,30,10,1.0,,,,
d_main_31_02_s_4,d_main_31_02_s,Speech,neon,neon,Locale_MainScenario:d_main_31_02_s_4,True,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,10,14,1.0,,,,
d_main_31_02_s_5,d_main_31_02_s,Speech,anis,anis,Locale_MainScenario:d_main_31_02_s_5,True,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,14,14,1.0,,,,
d_main_31_02_s_6,d_main_31_02_s,Speech,neon,neon,Locale_MainScenario:d_main_31_02_s_6,True,,5,idle,,3,idle,,1,angry,,13,idle,,15,worry,,17,idle,,14,14,1.0,,,,
d_main_31_02_s_7,d_main_31_02_s,Speech,anis,anis,Locale_MainScenario:d_main_31_02_s_7,True,,5,idle,,3,idle,,1,angry,,13,worry,,15,worry,,17,idle,,14,14,1.0,,,,
d_main_31_02_s_8,d_main_31_02_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_02_s_8,False,,5,idle,,3,idle,,1,angry,,13,worry,,15,worry,,17,idle,,10,1,1.5,,,,
d_main_31_02_s_9,d_main_31_02_s,Speech,vesti,vesti,Locale_MainScenario:d_main_31_02_s_9,True,,5,delight,,3,idle,,1,angry,,13,void,,15,worry,,17,idle,,4,4,1.0,,,,
d_main_31_02_s_10,d_main_31_02_s,Speech,emma,emma,Locale_MainScenario:d_main_31_02_s_10,True,,5,delight,,3,delight,,1,angry,,13,void,,15,idle,,17,idle,,4,4,1.0,,,,
d_main_31_02_s_11,d_main_31_02_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_02_s_11,True,,5,delight,,3,delight,,1,angry,,13,void,,15,idle,,17,idle,,1,1,1.0,,,,
d_main_31_02_s_12,d_main_31_02_s,Speech,rapi,rapi,Locale_MainScenario:d_main_31_02_s_12,True,,5,idle,,3,delight,,1,angry,,13,void,,15,idle,,17,idle,,170,170,1.0,,,,
d_main_31_02_s_13,d_main_31_02_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_02_s_13,False,,5,idle,,3,idle,,1,idle,,13,void,,15,idle,,17,idle,,1,10,1.0,,,,
d_main_31_02_s_14,d_main_31_02_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_02_s_14,True,,5,idle,,3,idle,,1,idle,,13,void,,15,idle,,17,idle,,10,10,1.0,,,,
d_main_31_02_s_15,d_main_31_02_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_02_s_15,True,,5,idle,,3,idle,,1,idle,,13,void,,15,idle,,17,idle,,10,10,1.0,,,,
d_main_31_02_s_16,d_main_31_02_s,Speech,anis,anis,Locale_MainScenario:d_main_31_02_s_16,True,,5,idle,,3,idle,,1,idle,,13,delight,,15,idle,,17,idle,,10,12,1.0,,,,
