id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,play_sound,set_camera_shake,jump_target,characters/0/hide_char_id,characters/2/hide_char_id,set_filter_01,set_filter_02
d_main_18_05_1,d_main_18_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_05_1,True,drake,3,idle,laplace,1,idle,maxwell,13,idle,ArkRuinIndoor,130,130,1.0,bgm_story_crawlinganxiety,,,,,,,,,,,
d_main_18_05_2,d_main_18_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_05_2,True,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,,,,,,,,,,
d_main_18_05_3,d_main_18_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_05_3,True,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,,,,,,,,,,
d_main_18_05_4,d_main_18_05,Speech,syuen_op_l,syuen_op_l,Locale_MainScenario:d_main_18_05_4,True,,3,idle,,1,idle,,13,idle,,130,130,1.0,,syuen_op_l,OP_leftup,idle,,,,,,,,
d_main_18_05_5,d_main_18_05,Speech,syuen_op_l,syuen_op_l,Locale_MainScenario:d_main_18_05_5,True,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,OP_leftup,idle,,,,,,,,
d_main_18_05_6,d_main_18_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_05_6,True,,3,idle,,1,idle,,13,idle,,130,1300,1.0,,,OP_leftup,idle,,,,,,,,
d_main_18_05_7,d_main_18_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_05_7,True,,3,idle,,1,idle,,13,idle,,1300,1300,1.0,,,OP_leftup,idle,,,,,,,,
d_main_18_05_8,d_main_18_05,Speech,syuen_op_l,syuen_op_l,Locale_MainScenario:d_main_18_05_8,True,,3,idle,,1,idle,,13,idle,,1300,1300,1.0,,,OP_leftup,angry,,,,,,,,
d_main_18_05_9,d_main_18_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_05_9,True,,3,idle,,1,idle,,13,angry,,1300,130,2.0,,,OP_leftup,angry,,,,,,,,
d_main_18_05_10,d_main_18_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_05_10,True,,3,idle,,1,idle,,13,angry,,130,130,1.0,,,OP_leftup,angry,,,,,,,,
d_main_18_05_11,d_main_18_05,Speech,syuen_op_l,syuen_op_l,Locale_MainScenario:d_main_18_05_11,True,,3,idle,,1,idle,,13,angry,,130,130,1.0,,,OP_leftup,angry,,,,,,,,
d_main_18_05_12,d_main_18_05,Speech,syuen_op_l,syuen_op_l,Locale_MainScenario:d_main_18_05_12,True,,3,idle,,1,idle,,13,angry,,130,130,1.0,,,OP_leftup,angry,,,,,,,,
d_main_18_05_13,d_main_18_05,Speech,syuen_op_l,syuen_op_l,Locale_MainScenario:d_main_18_05_13,True,,3,idle,,1,idle,,13,angry,,130,130,1.0,,,OP_leftup,angry,,,,,,,,
d_main_18_05_14,d_main_18_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_05_14,False,,3,idle,,1,idle,,13,angry,,130,130,1.0,,,OP_leftup,angry,,,,,,,,
d_main_18_05_15,d_main_18_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_05_15,True,,3,idle,,1,idle,,13,angry,,130,130,1.0,,,OP_leftup,angry,,,,,,,,
d_main_18_05_16,d_main_18_05,Speech,syuen_op_l,syuen_op_l,Locale_MainScenario:d_main_18_05_16,True,,3,idle,,1,idle,,13,angry,,130,130,1.0,none,,OP_leftup,angry,,,,,,,,
d_main_18_05_17,d_main_18_05,Speech,laplace,laplace,Locale_MainScenario:d_main_18_05_17,True,,3,idle,,1,idle,,13,angry,,130,12,1.0,,,OP_leftup,think,,,,,,,,
d_main_18_05_18,d_main_18_05,Speech,laplace,laplace,Locale_MainScenario:d_main_18_05_18,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,OP_leftup,think,,,,,,,,
d_main_18_05_19,d_main_18_05,Speech,laplace,laplace,Locale_MainScenario:d_main_18_05_19,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,OP_leftup,think,,,,,,,,
d_main_18_05_20,d_main_18_05,Speech,syuen_op_l,syuen_op_l,Locale_MainScenario:d_main_18_05_20,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,OP_leftup,idle,,,,,,,,
d_main_18_05_21,d_main_18_05,Speech,syuen_op_l,syuen_op_l,Locale_MainScenario:d_main_18_05_21,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,OP_leftup,idle,,,,,,,,
d_main_18_05_22,d_main_18_05,Speech,syuen_op_l,syuen_op_l,Locale_MainScenario:d_main_18_05_22,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,OP_leftup,idle,,,,,,,,
