id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
d_main_37_05_1,d_main_37_05,Narration,Locale_MainScenario:d_main_37_05_1,False,MachineRoom,5,13,1.0,bgm_chapter37_field_swarmnest,,,,,,,,,,,,,,,,,,,,,,,
d_main_37_05_2,d_main_37_05,Speech,Locale_MainScenario:d_main_37_05_2,True,,13,13,1.0,,maxwell,maxwell,rapi_red,7,idle,mast,5,angry,anchor,3,idle,helm,1,idle,maxwell,13,idle,drake,15,angry,laplace,17,no
d_main_37_05_3,d_main_37_05,Speech,Locale_MainScenario:d_main_37_05_3,True,,13,13,1.0,,maxwell,maxwell,,7,idle,,5,angry,,3,idle,,1,idle,,13,idle,,15,angry,,17,no
d_main_37_05_4,d_main_37_05,Speech,Locale_MainScenario:d_main_37_05_4,True,,4,4,1.0,,mast,mast,,7,idle,,5,angry,,3,idle,,1,idle,,13,idle,,15,angry,,17,no
d_main_37_05_5,d_main_37_05,Speech,Locale_MainScenario:d_main_37_05_5,True,,4,4,1.0,,anchor,anchor,,7,idle,,5,angry,,3,idle,,1,idle,,13,idle,,15,angry,,17,no
d_main_37_05_6,d_main_37_05,Speech,Locale_MainScenario:d_main_37_05_6,False,,4,1,1.0,,helm,helm,,7,idle,,5,angry,,3,idle,,1,no,,13,idle,,15,angry,,17,no
d_main_37_05_7,d_main_37_05,Speech,Locale_MainScenario:d_main_37_05_7,True,,16,16,1.0,,laplace,laplace,,7,idle,,5,angry,,3,idle,,1,no,,13,idle,,15,angry,,17,no
d_main_37_05_8,d_main_37_05,Speech,Locale_MainScenario:d_main_37_05_8,True,,16,16,1.0,,drake,drake,,7,idle,,5,angry,,3,idle,,1,no,,13,idle,,15,angry,,17,no
d_main_37_05_9,d_main_37_05,Speech,Locale_MainScenario:d_main_37_05_9,True,,16,16,1.0,,drake,drake,,7,idle,,5,angry,,3,idle,,1,no,,13,idle,,15,angry,,17,no
d_main_37_05_10,d_main_37_05,Speech,Locale_MainScenario:d_main_37_05_10,True,,5,50,1.5,,mast,mast,,7,idle,,5,surprise,,3,idle,,1,no,,13,idle,,15,angry,,17,no
d_main_37_05_11,d_main_37_05,Speech,Locale_MainScenario:d_main_37_05_11,False,,1,1,1.0,,helm,helm,,7,idle,,5,surprise,,3,idle,,1,no,,13,idle,,15,angry,,17,no
d_main_37_05_12,d_main_37_05,Speech,Locale_MainScenario:d_main_37_05_12,True,,6,6,1.0,,rapi_red,rapi_red,,7,delight,,5,surprise,,3,idle,,1,no,,13,idle,,15,angry,,17,no
d_main_37_05_13,d_main_37_05,Speech,Locale_MainScenario:d_main_37_05_13,True,,6,6,1.0,,mast,mast,,7,delight,,5,idle2,,3,idle,,1,no,,13,idle,,15,angry,,17,no
d_main_37_05_14,d_main_37_05,Speech,Locale_MainScenario:d_main_37_05_14,True,,6,6,1.0,,rapi_red,rapi_red,,7,delight,,5,idle2,,3,idle,,1,no,,13,idle,,15,angry,,17,no
d_main_37_05_15,d_main_37_05,Speech,Locale_MainScenario:d_main_37_05_15,False,,6,6,1.0,,mast,mast,,7,delight,,5,idle2,,3,idle,,1,no,,13,idle,,15,angry,,17,no
