id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,fade,jump_target,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id
d_ex_elevator_02_1,d_ex_elevator_02,Narration,Narration,Locale_SuddenStory:d_ex_elevator_02_1,False,ElevatorOut,5,1,2.0,bgm_story_orangepop,,,,,,,,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_2,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_2,False,,1,1,1.0,,exia,maiden,2,idle,exia,12,idle,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_3,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_3,False,,1,1,1.0,,maiden,,2,idle,,12,idle,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_4,d_ex_elevator_02,Self,Self,Locale_SuddenStory:d_ex_elevator_02_4,False,,1,1,1.0,,,,2,idle,,12,idle,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_5,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_5,True,,1,1,1.0,,exia,,2,idle,,12,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_6,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_6,True,,1,1,1.0,,maiden,,2,idle,,12,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_7,d_ex_elevator_02,Narration,Narration,Locale_SuddenStory:d_ex_elevator_02_7,False,,1,1,1.0,,,,2,idle,,12,delight,sfx_scn_autodooropen,,,,,,,,,,,,,,,,,
d_ex_elevator_02_8,d_ex_elevator_02,Self,Self,Locale_SuddenStory:d_ex_elevator_02_8,False,,1,1,1.0,,,,2,idle,,12,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_9,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_9,True,,1,1,1.0,,exia,,2,idle,,12,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_10,d_ex_elevator_02,Narration,Narration,Locale_SuddenStory:d_ex_elevator_02_10,False,Elevator,1,1,1.0,none,,,2,idle,,12,delight,,maiden,exia,black,,,,,,,,,,,,,,
d_ex_elevator_02_11,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_11,True,,1,S_120,0.5,bgm_story_kneeldownfools,exia,maiden,2,idle,exia,12,sad,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_12,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_12,True,,S_120,S_120,1.0,,exia,,2,idle,,12,sad,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_13,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_13,True,,S_120,S_20,0.5,,maiden,,2,idle,,12,sad,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_14,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_14,True,,S_20,S_120,0.5,,exia,,2,idle,,12,surprise,,,,,,,,,,,,,,,,,,
