id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,jump_target
d_ex_clothingstore_05_1,d_ex_clothingstore_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_clothingstore_05_1,False,ClothingStore,1,1,1.0,sfx_scn_chimebell,,,,,,,,,,
d_ex_clothingstore_05_2,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_2,True,,1,1,1.0,,sakura,1,idle,bgm_story_girlstalk,,,,,,
d_ex_clothingstore_05_3,d_ex_clothingstore_05,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_05_3,False,,1,31,1.0,,,1,idle,,alice,3,surprise,,,
d_ex_clothingstore_05_4,d_ex_clothingstore_05,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_05_4,True,,31,31,1.0,,,1,idle,,,3,surprise,,,
d_ex_clothingstore_05_5,d_ex_clothingstore_05,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_05_5,True,,31,31,1.0,,,1,idle,,,3,delight,,,
d_ex_clothingstore_05_6,d_ex_clothingstore_05,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_05_6,True,,31,31,1.0,,,1,idle,,,3,idle,,,
d_ex_clothingstore_05_7,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_7,True,,31,31,1.0,,,1,idle,,,3,idle,,,
d_ex_clothingstore_05_8,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_8,True,,31,31,1.0,,,1,idle,,,3,idle,,,
d_ex_clothingstore_05_9,d_ex_clothingstore_05,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_05_9,True,,31,31,1.0,,,1,idle,,,3,idle,,,
d_ex_clothingstore_05_10,d_ex_clothingstore_05,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_05_10,True,,31,31,1.0,,,1,idle,,,3,delight,,,
d_ex_clothingstore_05_11,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_11,True,,31,31,1.0,,,1,idle,,,3,delight,,,
d_ex_clothingstore_05_12,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_12,True,,31,31,1.0,,,1,idle,,,3,delight,,,
