id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/0/hide_char_id,play_ambient
d_main_34_08_1,d_main_34_08,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_08_1,True,EventScene_Chap_34_05_01,alloutattack_01_01,alloutattack_01_05,1.0,bgm_disaster,,,,,,,,,,,,,,,,
d_main_34_08_2,d_main_34_08,Speech,emma_t,emma_t,Locale_MainScenario:d_main_34_08_2,True,,alloutattack_01_05,alloutattack_01_05,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_3,d_main_34_08,Speech,vesti_t,vesti_t,Locale_MainScenario:d_main_34_08_3,True,,alloutattack_01_05,alloutattack_01_05,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_4,d_main_34_08,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_08_4,True,,alloutattack_01_05,alloutattack_01_05,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_5,d_main_34_08,Monologue,,,Locale_MainScenario:d_main_34_08_5,False,,alloutattack_01_05,alloutattack_01_02,1.0,,sfx_scn_missilelauncherfires,,,,,,,,,,,,,,,
d_main_34_08_6,d_main_34_08,Monologue,,,Locale_MainScenario:d_main_34_08_6,False,,alloutattack_01_02,alloutattack_01_02,1.0,,sfx_scn_explosions,,,,,,,,,,,,,,,
d_main_34_08_7,d_main_34_08,Monologue,,,Locale_MainScenario:d_main_34_08_7,False,,alloutattack_01_02,alloutattack_01_02,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_8,d_main_34_08,Monologue,,,Locale_MainScenario:d_main_34_08_8,False,,alloutattack_01_02,alloutattack_01_02,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_9,d_main_34_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_08_9,True,,alloutattack_01_02,alloutattack_01_02,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_10,d_main_34_08,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_08_10,True,,alloutattack_01_02,alloutattack_01_02,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_11,d_main_34_08,Self,,,Locale_MainScenario:d_main_34_08_11,False,,alloutattack_01_02,alloutattack_01_02,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_12,d_main_34_08,Speech,anis,anis,Locale_MainScenario:d_main_34_08_12,True,,alloutattack_01_02,alloutattack_01_03,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_13,d_main_34_08,Speech,neon,neon,Locale_MainScenario:d_main_34_08_13,True,,alloutattack_01_03,alloutattack_01_03,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_14,d_main_34_08,Monologue,,,Locale_MainScenario:d_main_34_08_14,False,,alloutattack_01_03,alloutattack_01_03,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_15,d_main_34_08,Monologue,,,Locale_MainScenario:d_main_34_08_15,False,,alloutattack_01_03,alloutattack_01_04,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_16,d_main_34_08,Monologue,,,Locale_MainScenario:d_main_34_08_16,False,,alloutattack_01_04,alloutattack_01_04,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_17,d_main_34_08,Narration,,,Locale_MainScenario:d_main_34_08_17,False,,alloutattack_01_04,alloutattack_01_04,1.0,,sfx_scn_3energyballfire,,,,,,,,,,,,,,,
d_main_34_08_18,d_main_34_08,Monologue,,,Locale_MainScenario:d_main_34_08_18,False,,alloutattack_01_04,alloutattack_01_04,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_19,d_main_34_08,Speech,rapi,rapi,Locale_MainScenario:d_main_34_08_19,True,,alloutattack_01_04,alloutattack_01_04,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_20,d_main_34_08,Self,,,Locale_MainScenario:d_main_34_08_20,False,,alloutattack_01_04,alloutattack_01_04,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_21,d_main_34_08,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_08_21,True,,alloutattack_01_04,alloutattack_01_05,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_22,d_main_34_08,Speech,emma_t,emma_t,Locale_MainScenario:d_main_34_08_22,True,,alloutattack_01_05,alloutattack_01_05,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_23,d_main_34_08,Speech,vesti_t,vesti_t,Locale_MainScenario:d_main_34_08_23,True,,alloutattack_01_05,alloutattack_01_05,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_24,d_main_34_08,Speech,rapi,rapi,Locale_MainScenario:d_main_34_08_24,True,,alloutattack_01_05,alloutattack_01_05,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_25,d_main_34_08,Speech,neon,neon,Locale_MainScenario:d_main_34_08_25,True,,alloutattack_01_05,alloutattack_01_05,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_26,d_main_34_08,Speech,anis,anis,Locale_MainScenario:d_main_34_08_26,True,,alloutattack_01_05,alloutattack_01_05,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_27,d_main_34_08,Monologue,,,Locale_MainScenario:d_main_34_08_27,False,,black,black,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_28,d_main_34_08,Monologue,,,Locale_MainScenario:d_main_34_08_28,False,EventScene_Chap_34_05_02,black,black,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_29,d_main_34_08,Speech,emma_t,emma_t,Locale_MainScenario:d_main_34_08_29,False,,1,1,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_30,d_main_34_08,Speech,emma_t,emma_t,Locale_MainScenario:d_main_34_08_30,True,,1,1,1.0,,,,,,,,,,,,,,,,,
d_main_34_08_31,d_main_34_08,Speech,rapi,rapi,Locale_MainScenario:d_main_34_08_31,False,,1,1,1.0,,,,,,,,,,,,,,,,,
