id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_29_03_s_1,d_main_29_03_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_03_s_1,True,CrystalCity,14,14,1.0,bgm_chapter29_field_drifting_a,,,shifty,OP_leftup,worry,,drilley,3,idle,rapi,1,idle,anis,13,void,neon,15,idle
d_main_29_03_s_2,d_main_29_03_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_03_s_2,True,,14,14,1.0,,,,,OP_leftup,worry,,,3,idle,,1,idle,,13,void,,15,idle
d_main_29_03_s_3,d_main_29_03_s,Speech,anis,anis,Locale_MainScenario:d_main_29_03_s_3,True,,14,14,1.0,,,,,OP_leftup,worry,shifty,,3,idle,,1,idle,,13,void,,15,idle
d_main_29_03_s_4,d_main_29_03_s,Speech,neon,neon,Locale_MainScenario:d_main_29_03_s_4,True,,14,14,1.0,,,,,,,,,3,idle,,1,idle,,13,void,,15,idle
d_main_29_03_s_5,d_main_29_03_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_s_5,False,,3,3,1.0,,,,,,,,,3,idle,,1,idle,,13,void,,15,idle
d_main_29_03_s_6,d_main_29_03_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_s_6,True,,3,5,1.0,,Low_2,,,,,,,5,angry,,1,idle,,13,void,,15,idle
d_main_29_03_s_7,d_main_29_03_s,Narration,drilley,,Locale_MainScenario:d_main_29_03_s_7,False,,5,5,1.0,,,,,,,,,5,angry,,1,idle,,13,void,,15,idle
d_main_29_03_s_8,d_main_29_03_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_s_8,True,,5,XS_50,1.0,,,,,,,,,5,angry,,1,idle,,13,void,,15,idle
d_main_29_03_s_9,d_main_29_03_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_s_9,True,,XS_50,XS_50,1.0,,,,,,,,,5,angry,,1,idle,,13,void,,15,idle
d_main_29_03_s_10,d_main_29_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_03_s_10,True,,10,10,1.0,,,,,,,,,5,angry,,1,angry,,13,void,,15,idle
