id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target
d_ex_court_03_1,d_ex_court_03,Narration,Locale_SuddenStory:d_ex_court_03_1,False,Office,S_10,S_10,1.0,none,Low_2,,,,,,,,,
d_ex_court_03_2,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_2,True,,S_10,S_10,1.0,bgm_story_orangepop,,privaty,privaty,privaty,1,angry,yulha,13,idle,
d_ex_court_03_3,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_3,True,,S_10,S_100,0.5,,,privaty,privaty,,1,angry,,13,idle,
d_ex_court_03_4,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_4,True,,S_100,S_100,1.0,,,privaty,privaty,,1,angry,,13,idle,
d_ex_court_03_5,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_5,True,,S_100,S_100,1.0,,,privaty,privaty,,1,angry,,13,idle,
d_ex_court_03_6,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_6,True,,S_100,S_10,0.5,,,privaty,privaty,,1,angry,,13,idle,
d_ex_court_03_7,d_ex_court_03,Self,Locale_SuddenStory:d_ex_court_03_7,False,,S_10,S_10,1.0,,,,,,1,angry,,13,idle,
d_ex_court_03_8,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_8,True,,S_10,113,1.0,,,yulha,yulha,,1,angry,,13,angry,
d_ex_court_03_9,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_9,True,,113,113,1.0,,,privaty,privaty,,1,angry,,13,angry,
d_ex_court_03_10,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_10,True,,113,113,1.0,,,yulha,yulha,,1,angry,,13,idle,
d_ex_court_03_11,d_ex_court_03,Self,Locale_SuddenStory:d_ex_court_03_11,False,,113,113,1.0,,,,,,1,angry,,13,idle,
d_ex_court_03_12,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_12,True,,113,113,1.0,,,yulha,yulha,,1,angry,,13,idle,
