id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id
d_ex_hospital_09_1,d_ex_hospital_09,Speech,flora,flora,Locale_SuddenStory:d_ex_hospital_09_1,True,flora,2,idle,pepper,12,idle,Hospital,1,1,1.0,bgm_story_inwonderland,
d_ex_hospital_09_2,d_ex_hospital_09,Speech,flora,flora,Locale_SuddenStory:d_ex_hospital_09_2,True,,2,delight,,12,idle,,1,1,1.0,,
d_ex_hospital_09_3,d_ex_hospital_09,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_09_3,True,,2,delight,,12,surprise,,1,1,1.0,,
d_ex_hospital_09_4,d_ex_hospital_09,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_09_4,True,,2,delight,,12,surprise,,1,1,1.0,,
d_ex_hospital_09_5,d_ex_hospital_09,Self,pepper,,Locale_SuddenStory:d_ex_hospital_09_5,False,,2,delight,,12,surprise,,1,1,1.0,,
d_ex_hospital_09_6,d_ex_hospital_09,Self,pepper,,Locale_SuddenStory:d_ex_hospital_09_6,False,,2,delight,,12,surprise,,1,1,1.0,,
d_ex_hospital_09_7,d_ex_hospital_09,Speech,flora,flora,Locale_SuddenStory:d_ex_hospital_09_7,True,,2,delight,,12,idle,,1,1,1.0,,
d_ex_hospital_09_8,d_ex_hospital_09,Speech,flora,flora,Locale_SuddenStory:d_ex_hospital_09_8,True,,2,delight,,12,idle,,1,1,1.0,,
d_ex_hospital_09_9,d_ex_hospital_09,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_09_9,True,,2,delight,,12,idle,,1,1,1.0,,
d_ex_hospital_09_10,d_ex_hospital_09,Self,pepper,,Locale_SuddenStory:d_ex_hospital_09_10,False,,2,delight,,12,idle,,1,1,1.0,,
d_ex_hospital_09_11,d_ex_hospital_09,Speech,flora,flora,Locale_SuddenStory:d_ex_hospital_09_11,True,,2,delight,,12,idle,,1,1,1.0,,
d_ex_hospital_09_12,d_ex_hospital_09,Speech,flora,flora,Locale_SuddenStory:d_ex_hospital_09_12,True,,2,delight,,12,idle,,1,1,1.0,,
d_ex_hospital_09_13,d_ex_hospital_09,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_09_13,True,,2,delight,,12,surprise,,1,XS_120,1.3,,
d_ex_hospital_09_14,d_ex_hospital_09,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_09_14,True,,2,delight,,12,idle,,XS_120,XS_120,1.0,,
d_ex_hospital_09_15,d_ex_hospital_09,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_09_15,True,,2,delight,,12,idle,,XS_120,XS_120,1.0,,
d_ex_hospital_09_16,d_ex_hospital_09,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_09_16,True,,2,delight,,12,shy,,XS_120,XS_120,1.0,,
d_ex_hospital_09_17,d_ex_hospital_09,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_09_17,True,,2,delight,,12,shy,,XS_120,XS_120,1.0,,
d_ex_hospital_09_18,d_ex_hospital_09,Speech,pepper,pepper,Locale_SuddenStory:d_ex_hospital_09_18,True,,2,delight,,12,shy,,XS_120,XS_120,1.0,,
