id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_camera_shake,characters/1/hide_char_id,fade
d_ex_observationpost_08_1,d_ex_observationpost_08,Monologue,Locale_SuddenStory:d_ex_observationpost_08_1,False,d_w,1,think,signal,3,idle,BriefingRoom,2,2,1.0,bgm_story_leisuretime,,,,,
d_ex_observationpost_08_2,d_ex_observationpost_08,Monologue,Locale_SuddenStory:d_ex_observationpost_08_2,False,,1,think,,3,idle,,2,XS_30,1.0,,,,,,
d_ex_observationpost_08_3,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_3,False,,1,think,,3,idle,,XS_30,10,1.0,,d_w,d_w,,,
d_ex_observationpost_08_4,d_ex_observationpost_08,Monologue,Locale_SuddenStory:d_ex_observationpost_08_4,False,,1,think,,3,idle,,10,10,1.0,,,,,,
d_ex_observationpost_08_5,d_ex_observationpost_08,Self,Locale_SuddenStory:d_ex_observationpost_08_5,False,,1,think,,3,idle,,10,10,1.0,,,,,,
d_ex_observationpost_08_6,d_ex_observationpost_08,Self,Locale_SuddenStory:d_ex_observationpost_08_6,False,,1,think,,3,idle,,10,10,1.0,,,,,,
d_ex_observationpost_08_7,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_7,True,,1,void,,3,shy,,10,2,1.0,,signal,signal,Low_2,,
d_ex_observationpost_08_8,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_8,True,,1,void,,3,shy,,2,2,1.0,,d_w,d_w,,,
d_ex_observationpost_08_9,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_9,True,,1,void,,3,shy,,2,2,1.0,,d_w,d_w,,,
d_ex_observationpost_08_10,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_10,True,,1,void,,3,shy,,2,2,1.0,,d_w,d_w,,,
d_ex_observationpost_08_11,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_11,True,,1,void,,3,shy,,2,XS_30,1.0,,signal,signal,,,
d_ex_observationpost_08_12,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_12,True,,1,void,,3,shy,,XS_30,XS_30,1.0,,signal,signal,,,
d_ex_observationpost_08_13,d_ex_observationpost_08,Self,Locale_SuddenStory:d_ex_observationpost_08_13,False,,1,void,,3,shy,,XS_30,XS_30,1.0,,signal,,,,
d_ex_observationpost_08_14,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_14,True,,1,void,,3,idle,,XS_30,XS_30,1.0,,signal,signal,,,
d_ex_observationpost_08_15,d_ex_observationpost_08,Monologue,Locale_SuddenStory:d_ex_observationpost_08_15,False,,1,void,,3,idle,,XS_30,2,1.0,,signal,,,,
d_ex_observationpost_08_16,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_16,True,,1,void,,3,idle,,2,2,1.0,,signal,signal,,,
d_ex_observationpost_08_17,d_ex_observationpost_08,Self,Locale_SuddenStory:d_ex_observationpost_08_17,False,,1,void,,3,idle,,2,2,1.0,,signal,,,,
d_ex_observationpost_08_18,d_ex_observationpost_08,Monologue,Locale_SuddenStory:d_ex_observationpost_08_18,False,,1,void,,3,idle,,2,2,1.0,,d_w,,,signal,
d_ex_observationpost_08_19,d_ex_observationpost_08,Self,Locale_SuddenStory:d_ex_observationpost_08_19,False,,1,void,,,,,2,2,1.0,,d_w,,,,
d_ex_observationpost_08_20,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_20,True,,1,surprise,,,,,2,10,1.0,,d_w,d_w,,,
d_ex_observationpost_08_21,d_ex_observationpost_08,Monologue,Locale_SuddenStory:d_ex_observationpost_08_21,False,,1,surprise,,,,,10,10,1.0,,d_w,,,,
d_ex_observationpost_08_22,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_22,True,,1,think,,,,,10,100,1.0,,d_w,d_w,,,
d_ex_observationpost_08_23,d_ex_observationpost_08,Self,Locale_SuddenStory:d_ex_observationpost_08_23,False,,1,think,,,,,100,100,1.0,,d_w,,,,
d_ex_observationpost_08_24,d_ex_observationpost_08,Self,Locale_SuddenStory:d_ex_observationpost_08_24,False,,1,think,,,,,100,100,1.0,,d_w,,,,
d_ex_observationpost_08_25,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_25,True,,1,void,,,,,100,100,1.0,,d_w,d_w,,,
d_ex_observationpost_08_26,d_ex_observationpost_08,Self,Locale_SuddenStory:d_ex_observationpost_08_26,False,,1,void,,,,,100,100,1.0,,d_w,,,,
d_ex_observationpost_08_27,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_27,True,,1,void,,,,,100,100,1.0,,d_w,d_w,,,
d_ex_observationpost_08_28,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_28,True,,1,void,,,,,100,100,1.0,,d_w,d_w,,,
d_ex_observationpost_08_29,d_ex_observationpost_08,Self,Locale_SuddenStory:d_ex_observationpost_08_29,False,,1,void,,,,,100,100,1.0,,d_w,,,,
d_ex_observationpost_08_30,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_30,True,,1,void,,,,,100,100,1.0,,d_w,d_w,,,
d_ex_observationpost_08_31,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_31,False,,1,void,,,,,100,100,1.0,,d_w,d_w,,,
d_ex_observationpost_08_32,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_32,True,,1,void,,,,,100,100,1.0,,d_w,d_w,,,
d_ex_observationpost_08_33,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_33,True,,1,void,,,,,100,100,1.0,,d_w,d_w,,,
d_ex_observationpost_08_34,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_34,True,,1,void,signal,3,idle,,100,2,1.0,,signal,signal,,,
d_ex_observationpost_08_35,d_ex_observationpost_08,Monologue,Locale_SuddenStory:d_ex_observationpost_08_35,False,,1,void,,3,idle,,2,2,1.0,,signal,,,,
d_ex_observationpost_08_36,d_ex_observationpost_08,Monologue,Locale_SuddenStory:d_ex_observationpost_08_36,False,,1,idle,,3,idle,,2,2,1.0,,signal,,,,
d_ex_observationpost_08_37,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_37,True,,1,idle,,3,idle,,2,2,1.0,,signal,signal,,,
d_ex_observationpost_08_38,d_ex_observationpost_08,Self,Locale_SuddenStory:d_ex_observationpost_08_38,False,,1,idle,,3,idle,,2,2,1.0,,signal,,,,
