id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,effects/0/play_effect_id,effects/0/set_effect_position,effects/1/play_effect_id,effects/1/set_effect_position,play_sound,set_camera_shake,characters/0/hide_char_id,effects/0/stop_effect_id,effects/1/stop_effect_id
d_main_01_01_s_1,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_1,False,none,1,1,1.0,bgm_prologue,Blur_Middle,Grey,,,,,,,,,,,,
d_main_01_01_s_2,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_2,False,EventScene_Main_01_01_bg,marian_event_01_01,marian_event_01_01,1.0,,Blur_Middle,Grey,marian_event_01,event,idle,fx_vn_fire_ptc_01,fx_vn_fire_ptc_01,fx_vn_spark,fx_vn_spark,,,,,
d_main_01_01_s_3,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_3,False,,marian_event_01_01,marian_event_01_01,1.0,,Blur_Middle,Grey,,event,idle,,,,,,,,,
d_main_01_01_s_4,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_4,False,,marian_event_01_01,marian_event_01_01,1.0,,Blur_Middle,Grey,,event,idle,,,,,,,,,
d_main_01_01_s_5,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_5,False,,marian_event_01_01,marian_event_01_02,1.0,,Blur_Middle,Grey,,event,idle,,,,,,,,,
d_main_01_01_s_6,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_6,False,,marian_event_01_02,marian_event_01_02,1.0,,Blur_Middle,Grey,,event,idle,,,,,,,,,
d_main_01_01_s_7,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_7,False,,marian_event_01_02,marian_event_01_03,0.5,,Blur_Middle,Grey,,event,idle,,,,,,,,,
d_main_01_01_s_8,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_8,False,,marian_event_01_03,marian_event_01_03,1.0,,Blur_Middle,Grey,,event,idle,,,,,,,,,
d_main_01_01_s_9,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_9,False,,marian_event_01_03,marian_event_01_03,1.0,,Blur_Middle,Grey,,event,idle,,,,,,,,,
d_main_01_01_s_10,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_10,False,,marian_event_01_03,marian_event_01_03,1.0,,Blur_Middle,Grey,,event,idle,,,,,sfx_scn_aedcharge,,,,
