id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id
d_ex_armory_07_1,d_ex_armory_07,Narration,Narration,Locale_SuddenStory:d_ex_armory_07_1,False,Armory,1,1,1.0,sfx_scn_autodooropen,none,,,,,,,,,,,,,
d_ex_armory_07_2,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_2,True,,3,S_30,1.0,,bgm_story_orangepop,kilo,kilo,3,idle,eunhwa,5,idle,,,,,,
d_ex_armory_07_3,d_ex_armory_07,Speech,eunhwa,Locale_SuddenStory:d_ex_armory_07_3,False,,5,5,1.0,,,eunhwa,,3,idle,,5,idle,,,,,,
d_ex_armory_07_4,d_ex_armory_07,Speech,eunhwa,Locale_SuddenStory:d_ex_armory_07_4,True,,5,5,1.0,,,eunhwa,,3,idle,,5,idle,,,,,,
d_ex_armory_07_5,d_ex_armory_07,Speech,eunhwa,Locale_SuddenStory:d_ex_armory_07_5,True,,5,5,1.0,,,eunhwa,,3,idle,,5,idle,,,,,,
d_ex_armory_07_6,d_ex_armory_07,Self,eunhwa,Locale_SuddenStory:d_ex_armory_07_6,False,,5,5,1.0,,,,,3,idle,,5,idle,,,,,,
d_ex_armory_07_7,d_ex_armory_07,Speech,eunhwa,Locale_SuddenStory:d_ex_armory_07_7,True,,5,50,1.0,,,eunhwa,,3,idle,,5,angry,,,,,,
d_ex_armory_07_8,d_ex_armory_07,Self,eunhwa,Locale_SuddenStory:d_ex_armory_07_8,False,,50,50,1.0,,,,,3,idle,,5,angry,,,,,,
d_ex_armory_07_9,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_9,True,,50,4,1.0,,,kilo,,3,idle,,5,angry,,,,,,
d_ex_armory_07_10,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_10,True,,4,4,1.0,,,kilo,,3,idle,,5,idle,,,,,,
d_ex_armory_07_11,d_ex_armory_07,Speech,eunhwa,Locale_SuddenStory:d_ex_armory_07_11,True,,4,4,1.0,,,eunhwa,,3,idle,,5,idle,,,,,,
d_ex_armory_07_12,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_12,True,,4,4,1.0,,,kilo,,3,idle,,5,idle,,,,,,
d_ex_armory_07_13,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_13,True,,4,4,1.0,,,kilo,,3,idle,,5,idle,,,,,,
d_ex_armory_07_14,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_14,True,,4,4,1.0,,,kilo,,3,idle,,5,idle,,,,,,
d_ex_armory_07_15,d_ex_armory_07,Speech,eunhwa,Locale_SuddenStory:d_ex_armory_07_15,True,,4,4,1.0,,,eunhwa,,3,idle,,5,angry,,,,,,
d_ex_armory_07_16,d_ex_armory_07,Self,eunhwa,Locale_SuddenStory:d_ex_armory_07_16,False,,4,4,1.0,,,,,3,idle,,5,angry,,,,,,
d_ex_armory_07_17,d_ex_armory_07,Speech,eunhwa,Locale_SuddenStory:d_ex_armory_07_17,False,,4,4,1.0,,,eunhwa,,3,idle,,5,idle,,,,,,
d_ex_armory_07_18,d_ex_armory_07,Speech,eunhwa,Locale_SuddenStory:d_ex_armory_07_18,True,,4,4,1.0,,,eunhwa,,3,idle,,5,idle,,,,,,
d_ex_armory_07_19,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_19,True,,4,S_30,1.0,,,kilo,,3,idle,,5,idle,,,,,,
d_ex_armory_07_20,d_ex_armory_07,Self,kilo,Locale_SuddenStory:d_ex_armory_07_20,False,,S_30,S_30,1.0,,,,,3,idle,,5,idle,,,,,,
d_ex_armory_07_21,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_21,True,,S_30,S_30,1.0,,,kilo,,3,smile,,5,idle,,,,,,
d_ex_armory_07_22,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_22,True,,S_30,S_30,1.0,,,kilo,,3,smile,,5,idle,,,,,,
d_ex_armory_07_23,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_23,True,,S_30,S_30,1.0,,,kilo,,3,idle,,5,idle,,,,,,
d_ex_armory_07_24,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_24,True,,S_30,S_30,1.0,,,kilo,,3,idle,,5,idle,,,,,,
d_ex_armory_07_25,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_25,True,,S_30,4,1.0,,,kilo,,3,idle,,5,idle,,,,,,
d_ex_armory_07_26,d_ex_armory_07,Speech,eunhwa,Locale_SuddenStory:d_ex_armory_07_26,True,,4,4,1.0,,,eunhwa,,3,idle,,5,idle,,,,,,
d_ex_armory_07_27,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_27,True,,4,4,1.0,,,kilo,,3,idle,,5,idle,,,,,,
d_ex_armory_07_28,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_28,True,,4,4,1.0,,,kilo,,3,idle,,5,idle,,,,,,
d_ex_armory_07_29,d_ex_armory_07,Speech,eunhwa,Locale_SuddenStory:d_ex_armory_07_29,False,,4,4,1.0,,,eunhwa,,3,idle,,5,idle,,,,,,
d_ex_armory_07_30,d_ex_armory_07,Speech,eunhwa,Locale_SuddenStory:d_ex_armory_07_30,True,,4,4,1.0,,,eunhwa,,3,idle,,5,idle,,,,,,
d_ex_armory_07_31,d_ex_armory_07,Speech,eunhwa,Locale_SuddenStory:d_ex_armory_07_31,True,,4,4,1.0,,,eunhwa,,3,idle,,5,idle,,,,,,
d_ex_armory_07_32,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_32,True,,4,S_30,1.0,,,kilo,,3,idle,,5,idle,,,,,,
d_ex_armory_07_33,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_33,True,,S_30,S_30,1.0,,,kilo,,3,idle,,5,idle,,,,,,
d_ex_armory_07_34,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_34,True,,S_30,S_30,1.0,,,kilo,,3,idle,,5,idle,,,,,,
d_ex_armory_07_35,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_35,True,,S_30,4,1.0,,,kilo,,3,idle,,5,idle,,,,,,
d_ex_armory_07_36,d_ex_armory_07,Speech,eunhwa,Locale_SuddenStory:d_ex_armory_07_36,True,,4,4,1.0,,,eunhwa,,3,idle,,5,idle,,,,,,
d_ex_armory_07_37,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_37,True,,4,4,1.0,,,kilo,,3,idle,,5,idle,,,,,,
d_ex_armory_07_38,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_38,True,,4,4,1.0,,,kilo,,3,idle,,5,idle,,,,,,
d_ex_armory_07_39,d_ex_armory_07,Speech,eunhwa,Locale_SuddenStory:d_ex_armory_07_39,True,,4,4,1.0,,,eunhwa,,3,idle,,5,angry,,,,,,
d_ex_armory_07_40,d_ex_armory_07,Speech,eunhwa,Locale_SuddenStory:d_ex_armory_07_40,True,,4,4,1.0,,,eunhwa,,3,idle,,5,angry,,,,,,
d_ex_armory_07_41,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_41,True,,4,4,1.0,,,kilo,,3,idle,,5,angry,,,,,,
d_ex_armory_07_42,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_42,True,,4,4,1.0,,,kilo,,3,idle,,5,angry,,,,,,
d_ex_armory_07_43,d_ex_armory_07,Speech,eunhwa,Locale_SuddenStory:d_ex_armory_07_43,True,,4,4,1.0,,,eunhwa,,3,idle,,5,angry,,,,,,
d_ex_armory_07_44,d_ex_armory_07,Speech,eunhwa,Locale_SuddenStory:d_ex_armory_07_44,True,,4,4,1.0,,,eunhwa,,3,idle,,5,angry,,,,,,
d_ex_armory_07_45,d_ex_armory_07,Speech,kilo,Locale_SuddenStory:d_ex_armory_07_45,True,,4,4,1.0,,,kilo,,3,idle,,5,angry,,,,,,
