id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id
d_ex_observationpost_03_1,d_ex_observationpost_03,Monologue,Locale_SuddenStory:d_ex_observationpost_03_1,False,black,17,9,3.0,none,,,,,,,,
d_ex_observationpost_03_2,d_ex_observationpost_03,Narration,Locale_SuddenStory:d_ex_observationpost_03_2,False,BriefingRoom,9,9,1.0,,sfx_scn_autodooropen,,,,,,,
d_ex_observationpost_03_3,d_ex_observationpost_03,Monologue,Locale_SuddenStory:d_ex_observationpost_03_3,False,,9,9,1.0,,,,,,,,,
d_ex_observationpost_03_4,d_ex_observationpost_03,Narration,Locale_SuddenStory:d_ex_observationpost_03_4,False,,9,9,1.0,,sfx_scn_boxopen,,,,,,,
d_ex_observationpost_03_5,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_5,True,,9,9,1.0,,,unknown,unknown,,,,,
d_ex_observationpost_03_6,d_ex_observationpost_03,Self,Locale_SuddenStory:d_ex_observationpost_03_6,False,,9,9,1.0,,,,,,,,,
d_ex_observationpost_03_7,d_ex_observationpost_03,Self,Locale_SuddenStory:d_ex_observationpost_03_7,False,,9,1,0.5,,,,,,,,,
d_ex_observationpost_03_8,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_8,True,,1,1,1.0,,,unknown,unknown,,,,,
d_ex_observationpost_03_9,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_9,True,,1,1,1.0,bgm_story_leisuretime,,snowwhite,snowwhite,snowwhite,1,idle,,
d_ex_observationpost_03_10,d_ex_observationpost_03,Self,Locale_SuddenStory:d_ex_observationpost_03_10,False,,1,1,1.0,,,snowwhite,,,1,idle,,
d_ex_observationpost_03_11,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_11,True,,1,1,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_12,d_ex_observationpost_03,Self,Locale_SuddenStory:d_ex_observationpost_03_12,False,,1,1,1.0,,,snowwhite,,,1,idle,,
d_ex_observationpost_03_13,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_13,True,,1,1,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_14,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_14,True,,1,1,1.0,,,snowwhite,snowwhite,,1,pain,,
d_ex_observationpost_03_15,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_15,True,,1,L_10,1.0,,,snowwhite,snowwhite,,1,pain,,
d_ex_observationpost_03_16,d_ex_observationpost_03,Self,Locale_SuddenStory:d_ex_observationpost_03_16,False,,L_10,L_10,1.0,,,snowwhite,,,1,idle,,
d_ex_observationpost_03_17,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_17,True,,L_10,L_10,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_18,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_18,True,,L_10,L_10,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_19,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_19,True,,L_10,L_10,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_20,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_20,True,,L_10,1,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_21,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_21,True,,1,1,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_22,d_ex_observationpost_03,Self,Locale_SuddenStory:d_ex_observationpost_03_22,False,,1,1,1.0,,,snowwhite,,,1,idle,,
d_ex_observationpost_03_23,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_23,True,,1,1,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_24,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_24,True,,1,1,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_25,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_25,True,,1,L_100,0.5,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_26,d_ex_observationpost_03,Narration,Locale_SuddenStory:d_ex_observationpost_03_26,False,,L_100,L_100,1.0,,sfx_scn_emergencysignal,snowwhite,,,1,idle,,
d_ex_observationpost_03_27,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_27,True,,L_100,1,1.0,,,snowwhite,snowwhite,,1,pain,,
d_ex_observationpost_03_28,d_ex_observationpost_03,Choice,Locale_SuddenStory:d_ex_observationpost_03_28,False,,1,1,1.0,,,snowwhite,,,1,pain,d_ex_observationpost_03_30,
d_ex_observationpost_03_29,d_ex_observationpost_03,Choice,Locale_SuddenStory:d_ex_observationpost_03_29,False,,1,1,1.0,,,snowwhite,,,1,pain,d_ex_observationpost_03_39,
d_ex_observationpost_03_30,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_30,True,,1,1,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_31,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_31,True,,1,1,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_32,d_ex_observationpost_03,Self,Locale_SuddenStory:d_ex_observationpost_03_32,False,,1,1,1.0,,,snowwhite,,,1,idle,,
d_ex_observationpost_03_33,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_33,True,,1,1,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_34,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_34,True,,1,L_10,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_35,d_ex_observationpost_03,Self,Locale_SuddenStory:d_ex_observationpost_03_35,False,,L_10,L_10,1.0,,,snowwhite,,,1,idle,,
d_ex_observationpost_03_36,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_36,True,,L_10,L_10,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_37,d_ex_observationpost_03,Self,Locale_SuddenStory:d_ex_observationpost_03_37,False,,L_10,L_10,1.0,,,snowwhite,,,1,idle,,
d_ex_observationpost_03_38,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_38,True,,L_10,L_100,0.5,,,snowwhite,snowwhite,,1,idle,d_ex_observationpost_03_49,
d_ex_observationpost_03_39,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_39,True,,1,1,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_40,d_ex_observationpost_03,Self,Locale_SuddenStory:d_ex_observationpost_03_40,False,,1,1,1.0,,,snowwhite,,,1,idle,,
d_ex_observationpost_03_41,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_41,True,,1,L_10,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_42,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_42,True,,L_10,L_10,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_43,d_ex_observationpost_03,Self,Locale_SuddenStory:d_ex_observationpost_03_43,False,,L_10,L_10,1.0,,,snowwhite,,,1,idle,,
d_ex_observationpost_03_44,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_44,True,,L_10,L_10,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_45,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_45,True,,L_10,L_10,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_46,d_ex_observationpost_03,Self,Locale_SuddenStory:d_ex_observationpost_03_46,False,,L_10,L_10,1.0,,,snowwhite,,,1,idle,,
d_ex_observationpost_03_47,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_47,True,,L_10,L_10,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_48,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_48,True,,L_10,L_100,1.0,,,snowwhite,snowwhite,,1,idle,d_ex_observationpost_03_49,
d_ex_observationpost_03_49,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_49,True,,L_100,1,1.0,,,snowwhite,snowwhite,,1,pain,,
d_ex_observationpost_03_50,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_50,True,,1,1,1.0,,,snowwhite,snowwhite,,1,pain,,
