id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_main_18af_04_1,d_main_18af_04,Monologue,Locale_MainScenario:d_main_18af_04_1,False,City,50,50,1.0,none,,,,,,,
d_main_18af_04_2,d_main_18af_04,Monologue,Locale_MainScenario:d_main_18af_04_2,False,,50,500,1.0,,,,,,,,
d_main_18af_04_3,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_3,True,,black,black,1.0,,unknown,unknown,,,,,
d_main_18af_04_4,d_main_18af_04,Narration,Locale_MainScenario:d_main_18af_04_4,False,,black,black,1.0,,,,sfx_scn_aim,,,,
d_main_18af_04_5,d_main_18af_04,Self,Locale_MainScenario:d_main_18af_04_5,False,,500,50,1.0,bgm_mystery,,,,,,,
d_main_18af_04_6,d_main_18af_04,Monologue,Locale_MainScenario:d_main_18af_04_6,False,,black,black,1.0,,,,,,,,
d_main_18af_04_7,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_7,True,,black,black,1.0,,unknown,unknown,,,,,
d_main_18af_04_8,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_8,True,,black,black,1.0,,unknown,unknown,,,,,
d_main_18af_04_9,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_9,True,,black,black,1.0,,unknown,unknown,,,,,
d_main_18af_04_10,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_10,True,,black,black,1.0,,unknown,unknown,,,,,
d_main_18af_04_11,d_main_18af_04,Self,Locale_MainScenario:d_main_18af_04_11,False,,50,50,1.0,,,,,,,,
d_main_18af_04_12,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_12,True,,50,10,2.0,,crow,crow,,crow,1,good,
d_main_18af_04_13,d_main_18af_04,Self,Locale_MainScenario:d_main_18af_04_13,False,,10,10,1.0,,,,,,1,good,
d_main_18af_04_14,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_14,True,,10,100,1.0,,crow,crow,,,1,delight,
d_main_18af_04_15,d_main_18af_04,Self,Locale_MainScenario:d_main_18af_04_15,False,,100,100,1.0,,,,,,1,delight,
d_main_18af_04_16,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_16,True,,100,100,1.0,,crow,crow,,,1,delight,
d_main_18af_04_17,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_17,True,,100,10,1.0,,crow,crow,,,1,delight,
d_main_18af_04_18,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_18,True,,10,1,1.0,,crow,crow,,,1,delight,
d_main_18af_04_19,d_main_18af_04,Self,Locale_MainScenario:d_main_18af_04_19,False,,1,1,1.0,,,,,,1,delight,
d_main_18af_04_20,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_20,True,,1,1,1.0,,crow,crow,,,1,idle,
d_main_18af_04_21,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_21,True,,1,1,1.0,,crow,crow,,,1,idle,
d_main_18af_04_22,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_22,True,,1,1,1.0,,crow,crow,,,1,idle,
d_main_18af_04_23,d_main_18af_04,Self,Locale_MainScenario:d_main_18af_04_23,False,,1,1,1.0,,,,,,1,idle,
d_main_18af_04_24,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_24,True,,1,10,1.0,,crow,crow,,,1,idle,
d_main_18af_04_25,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_25,True,,10,10,1.0,,crow,crow,,,1,idle,
d_main_18af_04_26,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_26,True,,10,10,1.0,,crow,crow,,,1,idle,
d_main_18af_04_27,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_27,True,,10,10,1.0,,crow,crow,,,1,idle,
d_main_18af_04_28,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_28,True,,10,10,1.0,,crow,crow,,,1,idle,
d_main_18af_04_29,d_main_18af_04,Self,Locale_MainScenario:d_main_18af_04_29,False,,10,10,1.0,,,,,,1,idle,
d_main_18af_04_30,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_30,True,,10,1,1.0,,crow,crow,,,1,idle,
d_main_18af_04_31,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_31,True,,1,1,1.0,,crow,crow,,,1,idle,
d_main_18af_04_32,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_32,True,,1,1,1.0,,crow,crow,,,1,idle,
d_main_18af_04_33,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_33,True,,1,1,1.0,,crow,crow,,,1,idle,
d_main_18af_04_34,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_34,True,,1,1,1.0,,crow,crow,,,1,idle,
d_main_18af_04_35,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_35,True,,1,100,1.0,,crow,crow,,,1,idle,
d_main_18af_04_36,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_36,True,,100,100,1.0,,crow,crow,,,1,idle,
d_main_18af_04_37,d_main_18af_04,Self,Locale_MainScenario:d_main_18af_04_37,False,,100,100,1.0,,,,,,1,idle,
d_main_18af_04_38,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_38,True,,100,100,1.0,,crow,crow,,,1,delight,
d_main_18af_04_39,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_39,True,,100,10,1.0,,crow,crow,,,1,delight,
d_main_18af_04_40,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_40,True,,10,10,1.0,,crow,crow,,,1,delight,
d_main_18af_04_41,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_41,True,,10,10,1.0,,crow,crow,,,1,delight,
d_main_18af_04_42,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_42,True,,10,10,1.0,,crow,crow,,,1,delight,
d_main_18af_04_43,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_43,True,,10,10,1.0,,crow,crow,,,1,delight,
d_main_18af_04_44,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_44,True,,10,100,1.0,,crow,crow,,,1,delight,
d_main_18af_04_45,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_45,True,,100,100,1.0,,crow,crow,,,1,idle,
d_main_18af_04_46,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_46,True,,100,100,1.0,,crow,crow,,,1,idle,
d_main_18af_04_47,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_47,True,,100,100,1.0,,crow,crow,,,1,idle,
d_main_18af_04_48,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_48,True,,100,100,1.0,,crow,crow,,,1,idle,
d_main_18af_04_49,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_49,True,,100,100,1.0,,crow,crow,,,1,idle,
d_main_18af_04_50,d_main_18af_04,Speech,Locale_MainScenario:d_main_18af_04_50,True,,black,black,1.0,,crow,crow,,,1,idle,
d_main_18af_04_51,d_main_18af_04,Monologue,Locale_MainScenario:d_main_18af_04_51,False,,black,black,1.0,,,,,,1,idle,crow
d_main_18af_04_52,d_main_18af_04,Self,Locale_MainScenario:d_main_18af_04_52,False,,black,black,1.0,,,,,,,,
