id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_trainstation_06_1,d_ex_trainstation_06,Speech,mast,mast,Locale_SuddenStory:d_ex_trainstation_06_1,True,Station,2,2,1.0,bgm_story_orangepop,,mast,3,angry2,,soline,1,idle,
d_ex_trainstation_06_2,d_ex_trainstation_06,Speech,mast,mast,Locale_SuddenStory:d_ex_trainstation_06_2,True,,2,2,1.0,,,,3,angry2,,,1,idle,
d_ex_trainstation_06_3,d_ex_trainstation_06,Speech,mast,mast,Locale_SuddenStory:d_ex_trainstation_06_3,True,,2,2,1.0,,,,3,angry2,,,1,idle,
d_ex_trainstation_06_4,d_ex_trainstation_06,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_06_4,True,,2,2,1.0,,,,3,angry2,,,1,angry,
d_ex_trainstation_06_5,d_ex_trainstation_06,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_06_5,True,,2,2,1.0,,,,3,angry2,,,1,angry,
d_ex_trainstation_06_6,d_ex_trainstation_06,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_06_6,True,,2,2,1.0,,,,3,angry2,,,1,angry,
d_ex_trainstation_06_7,d_ex_trainstation_06,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_06_7,True,,2,2,1.0,,,,3,angry2,,,1,angry,
d_ex_trainstation_06_8,d_ex_trainstation_06,Speech,mast,mast,Locale_SuddenStory:d_ex_trainstation_06_8,True,,2,2,1.0,,,,3,idle2,,,1,angry,
d_ex_trainstation_06_9,d_ex_trainstation_06,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_06_9,True,,2,S_10,1.0,,,,3,idle2,,,1,idle,
d_ex_trainstation_06_10,d_ex_trainstation_06,Choice,,,Locale_SuddenStory:d_ex_trainstation_06_10,False,,S_10,S_10,1.0,,d_ex_trainstation_06_12,,3,idle2,,,1,idle,
d_ex_trainstation_06_11,d_ex_trainstation_06,Choice,,,Locale_SuddenStory:d_ex_trainstation_06_11,False,,S_10,S_10,1.0,,d_ex_trainstation_06_15,,3,idle2,,,1,idle,
