id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_shopping_08_1,d_ex_shopping_08,Monologue,Locale_SuddenStory:d_ex_shopping_08_1,False,clay,2,idle,ShoppingMall,8,8,1.0,bgm_story_orangepop,,,,,,,,
d_ex_shopping_08_2,d_ex_shopping_08,Monologue,Locale_SuddenStory:d_ex_shopping_08_2,False,,2,idle,,8,8,1.0,,,,,,,,,
d_ex_shopping_08_3,d_ex_shopping_08,Monologue,Locale_SuddenStory:d_ex_shopping_08_3,False,,2,idle,,8,8,1.0,,,,,,,,,
d_ex_shopping_08_4,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_4,False,,2,idle,,8,8,1.0,,,,,,,,,
d_ex_shopping_08_5,d_ex_shopping_08,Narration,Locale_SuddenStory:d_ex_shopping_08_5,False,,2,idle,,8,8,1.0,,clay,,,,,,,
d_ex_shopping_08_6,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_6,True,,2,idle,,8,8,1.0,,clay,clay,sfx_scn_pompom3,,,,,
d_ex_shopping_08_7,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_7,True,,2,idle,,8,8,1.0,,clay,clay,,,,,,
d_ex_shopping_08_8,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_8,True,,2,idle,,8,8,1.0,,clay,clay,,,,,,
d_ex_shopping_08_9,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_9,True,,2,delight,,8,8,1.0,,clay,clay,,,,,,
d_ex_shopping_08_10,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_10,False,,2,delight,,8,2,1.0,,clay,speaker,,,,,,
d_ex_shopping_08_11,d_ex_shopping_08,Monologue,Locale_SuddenStory:d_ex_shopping_08_11,False,,2,delight,,2,2,1.0,,clay,,,,,,,
d_ex_shopping_08_12,d_ex_shopping_08,Monologue,Locale_SuddenStory:d_ex_shopping_08_12,False,,2,delight,,2,2,1.0,,clay,,,,,,,
d_ex_shopping_08_13,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_13,True,,2,delight,,2,20,1.0,,clay,clay,,,,,,
d_ex_shopping_08_14,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_14,False,,2,delight,,20,20,1.0,,clay,speaker,,,,,,
d_ex_shopping_08_15,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_15,True,,2,delight,,20,200,1.0,,clay,clay,,,,,,
d_ex_shopping_08_16,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_16,False,,2,delight,,200,200,1.0,,clay,speaker,,,,,,
d_ex_shopping_08_17,d_ex_shopping_08,Monologue,Locale_SuddenStory:d_ex_shopping_08_17,False,,2,delight,,200,200,1.0,,clay,,,,,,,
d_ex_shopping_08_18,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_18,False,,2,delight,,200,200,1.0,,clay,,,,,,,
