id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,set_camera_shake
d_main_21_08_s_1,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_1,True,anis,5,void,rapi,3,idle,johan,1,idle,cecil_op_l,OP_leftup,idle,Desert_02,1,1,1.0,bgm_intotheswarm_b,,,,,,
d_main_21_08_s_2,d_main_21_08_s,Speech,johan,johan,Locale_MainScenario:d_main_21_08_s_2,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,1,L_10,1.0,,,,,,,
d_main_21_08_s_3,d_main_21_08_s,Narration,johan,Narration,Locale_MainScenario:d_main_21_08_s_3,False,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,L_10,L_100,1.0,,sfx_scn_toolpass,,,,,
d_main_21_08_s_4,d_main_21_08_s,Monologue,johan,Monologue,Locale_MainScenario:d_main_21_08_s_4,False,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,L_100,L_100,1.0,,,,,,,
d_main_21_08_s_5,d_main_21_08_s,Speech,johan,johan,Locale_MainScenario:d_main_21_08_s_5,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,L_100,L_10,1.0,,,,,,,
d_main_21_08_s_6,d_main_21_08_s,Speech,johan,johan,Locale_MainScenario:d_main_21_08_s_6,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,L_10,L_10,1.0,,,,,,,
d_main_21_08_s_7,d_main_21_08_s,Self,johan,Self,Locale_MainScenario:d_main_21_08_s_7,False,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,L_10,L_10,1.0,,,,,,,
d_main_21_08_s_8,d_main_21_08_s,Speech,johan,johan,Locale_MainScenario:d_main_21_08_s_8,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,L_10,L_10,1.0,,,,,,,
d_main_21_08_s_9,d_main_21_08_s,Self,johan,Self,Locale_MainScenario:d_main_21_08_s_9,False,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,L_10,L_10,1.0,,,,,,,
d_main_21_08_s_10,d_main_21_08_s,Speech,johan,johan,Locale_MainScenario:d_main_21_08_s_10,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,L_10,L_10,1.0,,,,,,,
d_main_21_08_s_11,d_main_21_08_s,Speech,johan,johan,Locale_MainScenario:d_main_21_08_s_11,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,L_10,L_100,2.0,,,,,,,
d_main_21_08_s_12,d_main_21_08_s,Narration,,Narration,Locale_MainScenario:d_main_21_08_s_12,False,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,L_100,1,1.0,,sfx_scn_rapturehowlhuge,,,,,
d_main_21_08_s_13,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_13,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,1,1,1.0,,,,,,,
d_main_21_08_s_14,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_14,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,1,1,1.0,,,,,,,
d_main_21_08_s_15,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_15,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,1,1,1.0,,,,,,,
d_main_21_08_s_16,d_main_21_08_s,Narration,,Narration,Locale_MainScenario:d_main_21_08_s_16,False,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,1,1,1.0,,sfx_scn_rapturehowlhuge,,,,,
d_main_21_08_s_17,d_main_21_08_s,Monologue,,Monologue,Locale_MainScenario:d_main_21_08_s_17,False,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,1,1,1.0,,,,,,,
d_main_21_08_s_18,d_main_21_08_s,Monologue,,Monologue,Locale_MainScenario:d_main_21_08_s_18,False,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,1,1,1.0,,,,,,,
