id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/8/hide_char_id,play_sound,characters/6/hide_char_id,characters/7/hide_char_id,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/9/hide_char_id
d_main_30_09_s_1,d_main_30_09_s,Speech,anis,anis,Locale_MainScenario:d_main_30_09_s_1,True,rapi,5,idle,anis,9,worry,neon,7,idle,hammering,1,etc,drilley,13,idle,elegg,3,idle,liveryn,17,idle,fragile,15,idle,HarmonyCube,90,90,1.0,bgm_chapter30_field_whitecity,,,,,,,,,,,,,,,,,,
d_main_30_09_s_2,d_main_30_09_s,Speech,rapi,rapi,Locale_MainScenario:d_main_30_09_s_2,True,,5,idle,,9,worry,,7,idle,,1,etc,,13,idle,,3,idle,,17,idle,,15,idle,,50,50,1.0,,,,,,,,,,,,,,,,,,,
d_main_30_09_s_3,d_main_30_09_s,Speech,rapi,rapi,Locale_MainScenario:d_main_30_09_s_3,True,,5,idle,,9,worry,,7,idle,,1,etc,,13,idle,,3,idle,,17,idle,,15,idle,,50,50,1.0,,,,,,,,,,,,,,,,,,,
d_main_30_09_s_4,d_main_30_09_s,Speech,neon,neon,Locale_MainScenario:d_main_30_09_s_4,True,,5,idle,,9,void,,7,surprise,,1,etc,,13,idle,,3,idle,,17,idle,,15,idle,,50,6,1.0,,,,,,,,,,,,,,,,,,,
d_main_30_09_s_5,d_main_30_09_s,Speech,elegg,elegg,Locale_MainScenario:d_main_30_09_s_5,True,,5,idle,,9,void,,7,surprise,,1,etc,,13,idle,,3,idle,,17,idle,,15,idle,,6,4,1.0,,,,,,,,,,,,,,,,,,,
d_main_30_09_s_6,d_main_30_09_s,Speech,elegg,elegg,Locale_MainScenario:d_main_30_09_s_6,True,,5,idle,,9,void,,7,surprise,,1,etc,,13,idle,,3,idle,,17,idle,,15,idle,,4,4,1.0,,,,,,,,,,,,,,,,,,,
d_main_30_09_s_7,d_main_30_09_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_30_09_s_7,True,,5,idle,,9,void,,7,idle,,1,etc,,13,idle,,3,idle,,17,idle,,15,idle,,4,4,1.0,,trony_op_r,OP_rightup,idle,,,,,,,,,,,,,,,
d_main_30_09_s_8,d_main_30_09_s,Speech,elegg,elegg,Locale_MainScenario:d_main_30_09_s_8,True,,5,idle,,9,void,,7,idle,,1,etc,,13,idle,,3,idle,,17,idle,,15,idle,,4,S_30,1.0,,,OP_rightup,idle,,,,,,,,,,,,,,,
d_main_30_09_s_9,d_main_30_09_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_30_09_s_9,True,,5,idle,,9,void,,7,idle,,1,etc,,13,idle,,3,idle,,17,idle,,15,idle,,S_30,S_30,1.0,,,OP_rightup,idle,,,,,,,,,,,,,,,
d_main_30_09_s_10,d_main_30_09_s,Speech,elegg,elegg,Locale_MainScenario:d_main_30_09_s_10,True,,5,idle,,9,void,,7,idle,,1,etc,,13,idle,,3,idle,,17,idle,,15,idle,,S_30,S_30,1.0,,,OP_rightup,idle,,,,,,,,,,,,,,,
d_main_30_09_s_11,d_main_30_09_s,Speech,elegg,elegg,Locale_MainScenario:d_main_30_09_s_11,True,,5,idle,,9,void,,7,idle,,1,etc,,13,idle,,3,think,,17,idle,,15,idle,,S_30,S_30,1.0,,,OP_rightup,idle,,,,,,,,,,,,,,,
d_main_30_09_s_12,d_main_30_09_s,Speech,elegg,elegg,Locale_MainScenario:d_main_30_09_s_12,True,,5,idle,,9,void,,7,idle,,1,etc,,13,idle,,3,think,,17,idle,,15,idle,,S_30,S_30,1.0,,,OP_rightup,idle,,,,,,,,,,,,,,,
d_main_30_09_s_13,d_main_30_09_s,Speech,elegg,elegg,Locale_MainScenario:d_main_30_09_s_13,True,,5,idle,,9,void,,7,idle,,1,etc,,13,idle,,3,idle,,17,idle,,15,idle,,S_30,S_30,1.0,,,OP_rightup,idle,,,,,,,,,,,,,,,
d_main_30_09_s_14,d_main_30_09_s,Speech,elegg,elegg,Locale_MainScenario:d_main_30_09_s_14,True,,5,idle,,9,void,,7,idle,,1,etc,,13,idle,,3,idle,,17,idle,,15,idle,,S_30,S_30,1.0,,,OP_rightup,idle,,,,,,,,,,,,,,,
d_main_30_09_s_15,d_main_30_09_s,Speech,elegg,elegg,Locale_MainScenario:d_main_30_09_s_15,True,,5,idle,,9,void,,7,idle,,1,etc,,13,idle,,3,idle,,17,idle,,15,idle,,S_30,S_30,1.0,,,OP_rightup,idle,,,,,,,,,,,,,,,
d_main_30_09_s_16,d_main_30_09_s,Speech,hammering,hammering,Locale_MainScenario:d_main_30_09_s_16,True,,5,idle,,9,void,,7,idle,,1,etc,,13,idle,,3,idle,,17,idle,,15,idle,,S_30,2,1.0,,,OP_rightup,idle,trony_op_r,,,,,,,,,,,,,,
d_main_30_09_s_17,d_main_30_09_s,Speech,drilley,drilley,Locale_MainScenario:d_main_30_09_s_17,True,,5,idle,,9,void,,7,idle,,1,etc,,13,sad,,3,idle,,17,idle,,15,idle,,2,12,1.0,,,,,,,,,,,,,,,,,,,
d_main_30_09_s_18,d_main_30_09_s,Speech,hammering,hammering,Locale_MainScenario:d_main_30_09_s_18,True,,5,idle,,9,void,,7,idle,,1,etc,,13,sad,,3,idle,,17,idle,,15,idle,,12,12,1.0,,,,,,,,,,,,,,,,,,,
