id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_33_05_s_1,d_main_33_05_s,Narration,Locale_MainScenario:d_main_33_05_s_1,False,BlackPuddle,black,black,1.0,sfx_scn_walkinwater,bgm_chapter33_field_blackwave_a,,,rapi,1,idle,,anis,13,void,,neon,15,surprise,,,,,,,,,,,
d_main_33_05_s_2,d_main_33_05_s,Speech,Locale_MainScenario:d_main_33_05_s_2,True,,S_150,S_1500,1.0,,,neon,neon,,1,idle,,,13,void,,,15,surprise,,,,,,,,,,,
d_main_33_05_s_3,d_main_33_05_s,Speech,Locale_MainScenario:d_main_33_05_s_3,True,,100,100,1.0,,,rapi,rapi,,1,idle,,,13,void,,,15,surprise,,,,,,,,,,,
d_main_33_05_s_4,d_main_33_05_s,Speech,Locale_MainScenario:d_main_33_05_s_4,True,,S_1500,S_1500,1.0,,,neon,neon,,1,idle,,,13,void,,,15,surprise,,,,,,,,,,,
d_main_33_05_s_5,d_main_33_05_s,Speech,Locale_MainScenario:d_main_33_05_s_5,True,,S_1500,S_150,1.0,,,neon,neon,,1,idle,,,13,void,,,15,surprise,,,,,,,,,,,
d_main_33_05_s_6,d_main_33_05_s,Speech,Locale_MainScenario:d_main_33_05_s_6,False,,10,10,1.0,,,rapi,rapi,,1,idle,,,13,void,,,15,surprise,,,,,,,,,,,
d_main_33_05_s_7,d_main_33_05_s,Speech,Locale_MainScenario:d_main_33_05_s_7,True,,10,10,1.0,,,rapi,rapi,,1,idle,,,13,void,,,15,surprise,,,,,,,,,,,
d_main_33_05_s_8,d_main_33_05_s,Monologue,Locale_MainScenario:d_main_33_05_s_8,False,,10,50,1.5,,,rapi,,,1,idle,,,13,void,,,15,surprise,,,,,,,,,,,
d_main_33_05_s_9,d_main_33_05_s,Monologue,Locale_MainScenario:d_main_33_05_s_9,False,,50,50,1.0,,,rapi,,,1,idle,,,13,void,,,15,surprise,,,,,,,,,,,
d_main_33_05_s_10,d_main_33_05_s,Monologue,Locale_MainScenario:d_main_33_05_s_10,False,,50,5,1.0,,,rapi,,,1,idle,,,13,void,,,15,surprise,,,,,,,,,,,
d_main_33_05_s_11,d_main_33_05_s,Self,Locale_MainScenario:d_main_33_05_s_11,False,,5,5,1.0,,,rapi,,,1,idle,,,13,void,,,15,surprise,,,,,,,,,,,
d_main_33_05_s_12,d_main_33_05_s,Speech,Locale_MainScenario:d_main_33_05_s_12,True,,5,1,1.5,,,rapi,rapi,,1,idle,,,13,void,,,15,surprise,,,,,,,,,,,
d_main_33_05_s_13,d_main_33_05_s,Speech,Locale_MainScenario:d_main_33_05_s_13,True,,1,113,1.0,,,anis,anis,,1,idle,,,13,void,,,15,surprise,,,,,,,,,,,
d_main_33_05_s_14,d_main_33_05_s,Speech,Locale_MainScenario:d_main_33_05_s_14,True,,113,113,1.0,,,rapi,rapi,,1,idle,,,13,void,,,15,surprise,,,,,,,,,,,
d_main_33_05_s_15,d_main_33_05_s,Speech,Locale_MainScenario:d_main_33_05_s_15,True,,113,113,1.0,,,rapi,rapi,,1,idle,,,13,void,,,15,surprise,,,,,,,,,,,
d_main_33_05_s_16,d_main_33_05_s,Speech,Locale_MainScenario:d_main_33_05_s_16,True,,113,1315,1.0,,,neon,neon,,1,idle,,,13,void,,,15,surprise,,,,,,,,,,,
d_main_33_05_s_17,d_main_33_05_s,Monologue,Locale_MainScenario:d_main_33_05_s_17,False,,black,black,1.0,sfx_scn_darkwaterrustle,,neon,,,1,idle,,,13,void,,,15,surprise,,,,,,,,,,,
d_main_33_05_s_18,d_main_33_05_s,Monologue,Locale_MainScenario:d_main_33_05_s_18,False,,black,black,1.0,,,neon,,,1,idle,,,13,void,,,15,surprise,,,,,,,,,,,
d_main_33_05_s_19,d_main_33_05_s,Speech,Locale_MainScenario:d_main_33_05_s_19,True,,1315,1315,1.0,,,anis,anis,,1,idle,,,13,worry,,,15,surprise,,,,,,,,,,,
d_main_33_05_s_20,d_main_33_05_s,Speech,Locale_MainScenario:d_main_33_05_s_20,True,,1315,1315,1.0,,,neon,neon,,1,idle,,,13,worry,,,15,no,,,,,,,,,,,
d_main_33_05_s_21,d_main_33_05_s,Speech,Locale_MainScenario:d_main_33_05_s_21,True,,1315,1315,1.0,,,neon,neon,,1,idle,,,13,worry,,,15,no,,,,,,,,,,,
