id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_ex_trainstation_02_1,d_ex_trainstation_02,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_02_1,True,soline,1,angry,diesel,13,idle,Station,113,113,1.0,bgm_story_languor,,,,,,
d_ex_trainstation_02_2,d_ex_trainstation_02,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_02_2,True,,1,angry,,13,delight,,113,113,1.0,,,,,,,
d_ex_trainstation_02_3,d_ex_trainstation_02,Speech,soline,soline,Locale_SuddenStory:d_ex_trainstation_02_3,True,,1,angry,,13,delight,,113,113,1.0,,,,,,,
d_ex_trainstation_02_4,d_ex_trainstation_02,Self,,,Locale_SuddenStory:d_ex_trainstation_02_4,False,,1,angry,,13,idle,,113,113,1.0,,,,,,,
d_ex_trainstation_02_5,d_ex_trainstation_02,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_02_5,True,,1,angry,,13,delight,,113,13,1.0,,,,,,,
d_ex_trainstation_02_6,d_ex_trainstation_02,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_02_6,True,,1,angry,,13,idle,,13,13,1.0,,,,,,,
d_ex_trainstation_02_7,d_ex_trainstation_02,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_02_7,True,,1,angry,,13,idle,,13,130,1.0,,,,,,,
d_ex_trainstation_02_8,d_ex_trainstation_02,Self,,,Locale_SuddenStory:d_ex_trainstation_02_8,False,,1,angry,,13,idle,,130,130,1.0,,,,,,,
d_ex_trainstation_02_9,d_ex_trainstation_02,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_02_9,True,,1,angry,,13,idle,,130,130,1.0,,,,,,,
d_ex_trainstation_02_10,d_ex_trainstation_02,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_02_10,True,,1,angry,,13,idle,,130,130,1.0,,,,,,,
d_ex_trainstation_02_11,d_ex_trainstation_02,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_02_11,True,,1,angry,,13,idle,,130,130,1.0,,,,,,,
d_ex_trainstation_02_12,d_ex_trainstation_02,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_02_12,True,,1,angry,,13,idle,,130,130,1.0,,,,,,,
d_ex_trainstation_02_13,d_ex_trainstation_02,Self,,,Locale_SuddenStory:d_ex_trainstation_02_13,False,,1,angry,,13,idle,,130,130,1.0,,,,,,,
d_ex_trainstation_02_14,d_ex_trainstation_02,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_02_14,True,,1,angry,,13,delight,,130,130,1.0,,,,,,,
d_ex_trainstation_02_15,d_ex_trainstation_02,Speech,diesel,diesel,Locale_SuddenStory:d_ex_trainstation_02_15,True,,1,angry,,13,idle,,130,1300,1.0,,,,,,,
d_ex_trainstation_02_16,d_ex_trainstation_02,Choice,,,Locale_SuddenStory:d_ex_trainstation_02_16,False,,1,angry,,13,idle,,1300,1300,1.0,,d_ex_trainstation_02_18,,,,,
d_ex_trainstation_02_17,d_ex_trainstation_02,Choice,,,Locale_SuddenStory:d_ex_trainstation_02_17,False,,1,angry,,13,idle,,1300,1300,1.0,,d_ex_trainstation_02_21,,,,,
