id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_22_04_s_1,d_main_22_04_s,Narration,Locale_MainScenario:d_main_22_04_s_1,False,CoinRushIndoor,black,black,1.0,bgm_story_conflict,,,blanc,1,think,noir,3,surprise,rosanna,13,idle
d_main_22_04_s_2,d_main_22_04_s,Narration,Locale_MainScenario:d_main_22_04_s_2,False,,black,black,1.0,,,,,1,think,,3,surprise,,13,idle
d_main_22_04_s_3,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_3,True,,L_10,L_10,1.0,,blanc,blanc,,1,think,,3,surprise,,13,idle
d_main_22_04_s_4,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_4,True,,L_10,31,2.0,,noir,noir,,1,think,,3,surprise,,13,idle
d_main_22_04_s_5,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_5,True,,31,31,1.0,,blanc,blanc,,1,think,,3,surprise,,13,idle
d_main_22_04_s_6,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_6,True,,31,31,1.0,,noir,noir,,1,think,,3,surprise,,13,idle
d_main_22_04_s_7,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_7,True,,31,13,2.0,,rosanna,rosanna,,1,think,,3,surprise,,13,idle
d_main_22_04_s_8,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_8,True,,13,13,1.0,,rosanna,rosanna,,1,think,,3,surprise,,13,good
d_main_22_04_s_9,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_9,True,,13,113,1.0,,blanc,blanc,,1,think,,3,surprise,,13,idle
d_main_22_04_s_10,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_10,True,,113,113,1.0,,blanc,blanc,,1,think,,3,surprise,,13,idle
d_main_22_04_s_11,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_11,True,,113,113,1.0,,rosanna,rosanna,,1,think,,3,surprise,,13,good
d_main_22_04_s_12,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_12,True,,113,113,1.0,,rosanna,rosanna,,1,think,,3,surprise,,13,idle
d_main_22_04_s_13,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_13,True,,113,113,1.0,,rosanna,rosanna,,1,think,,3,surprise,,13,idle
d_main_22_04_s_14,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_14,True,,113,113,1.0,,rosanna,rosanna,,1,think,,3,surprise,,13,good
d_main_22_04_s_15,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_15,True,,113,113,1.0,,blanc,blanc,,1,think,,3,surprise,,13,idle
d_main_22_04_s_16,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_16,True,,113,113,1.0,,blanc,blanc,,1,think,,3,surprise,,13,idle
d_main_22_04_s_17,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_17,True,,113,13,2.0,,rosanna,rosanna,,1,think,,3,surprise,,13,idle
d_main_22_04_s_18,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_18,True,,13,130,1.0,,rosanna,rosanna,,1,think,,3,surprise,,13,idle
d_main_22_04_s_19,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_19,True,,130,130,1.0,,rosanna,rosanna,,1,think,,3,surprise,,13,idle
d_main_22_04_s_20,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_20,True,,130,130,1.0,,rosanna,rosanna,,1,think,,3,surprise,,13,idle
d_main_22_04_s_21,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_21,False,,130,130,1.0,,blanc,blanc,,1,think,,3,surprise,,13,idle
d_main_22_04_s_22,d_main_22_04_s,Speech,Locale_MainScenario:d_main_22_04_s_22,True,,130,L_30,2.0,,noir,noir,,1,think,,3,surprise,,13,idle
