id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,fade
d_main_06_03_1,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_1,True,alice,3,idle,ludmilla,1,idle,rapi,13,idle,anis,15,void,neon,17,idle,ArkRuinIndoor,9,1,3.0,bgm_frostpillar,,,,,,,
d_main_06_03_2,d_main_06_03,Self,ludmilla,Self,Locale_MainScenario:d_main_06_03_2,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,1,1,1.0,,,,,,,,
d_main_06_03_3,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_3,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,1,1,1.0,,,,,,,,
d_main_06_03_4,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_4,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,1,1,1.0,,,,,,,,
d_main_06_03_5,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_5,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,1,10,1.0,,,,,,,,
d_main_06_03_6,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_6,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,10,100,1.0,,,,,,,,
d_main_06_03_7,d_main_06_03,Self,ludmilla,Self,Locale_MainScenario:d_main_06_03_7,False,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,100,100,1.0,,,,,,,,
d_main_06_03_8,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_8,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,100,100,1.0,,,,,,,,
d_main_06_03_9,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_9,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,100,31,1.0,,,,,,,,
d_main_06_03_10,d_main_06_03,Speech,alice,alice,Locale_MainScenario:d_main_06_03_10,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,31,31,1.0,,,,,,,,
d_main_06_03_11,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_11,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,31,31,1.0,,,,,,,,
d_main_06_03_12,d_main_06_03,Speech,alice,alice,Locale_MainScenario:d_main_06_03_12,True,,3,surprise,,1,idle,,13,idle,,15,void,,17,idle,,31,31,1.0,,,,,,,,
d_main_06_03_13,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_13,True,,3,surprise,,1,idle,,13,idle,,15,void,,17,idle,,31,31,1.0,,,,,,,,
d_main_06_03_14,d_main_06_03,Monologue,ludmilla,,Locale_MainScenario:d_main_06_03_14,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,31,S_300,1.0,,,,,,,,
d_main_06_03_15,d_main_06_03,Monologue,ludmilla,,Locale_MainScenario:d_main_06_03_15,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,S_300,S_300,1.0,,,,,,,,
d_main_06_03_16,d_main_06_03,Speech,rapi,rapi,Locale_MainScenario:d_main_06_03_16,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,130,130,1.0,,,,,,,,
d_main_06_03_17,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_17,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,130,10,1.0,,,,,,,,
d_main_06_03_18,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_18,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,10,10,1.0,,,,,,,,
d_main_06_03_19,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_19,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,10,10,1.0,,,,,,,,
d_main_06_03_20,d_main_06_03,Speech,alice,alice,Locale_MainScenario:d_main_06_03_20,True,,3,delight,,1,idle,,13,idle,,15,void,,17,idle,,S_300,S_300,1.0,,,,,,,,
d_main_06_03_21,d_main_06_03,Monologue,alice,,Locale_MainScenario:d_main_06_03_21,True,,3,delight,,1,idle,,13,idle,,15,void,,17,idle,,S_300,S_300,1.0,,Blur_Low,,,,,,
d_main_06_03_22,d_main_06_03,Monologue,alice,,Locale_MainScenario:d_main_06_03_22,True,,3,delight,,1,idle,,13,idle,,15,void,,17,idle,,S_300,S_300,1.0,,Blur_Middle,,,,,,
d_main_06_03_23,d_main_06_03,Speech,alice,alice,Locale_MainScenario:d_main_06_03_23,True,,3,delight,,1,idle,,13,idle,,15,void,,17,idle,,S_300,S_300,1.0,,Blur_High,,,,,,
d_main_06_03_24,d_main_06_03,Self,alice,Self,Locale_MainScenario:d_main_06_03_24,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,black,black,1.0,,,alice,ludmilla,rapi,anis,neon,
d_main_06_03_25,d_main_06_03,Monologue,alice,,Locale_MainScenario:d_main_06_03_25,True,,,,,,,,,,,,,,,,,black,black,1.0,,,,,,,,
d_main_06_03_26,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_26,True,,,,,,,,,,,,,,,,,black,black,1.0,,,,,,,,
d_main_06_03_27,d_main_06_03,Monologue,ludmilla,,Locale_MainScenario:d_main_06_03_27,False,,,,,,,,,,,,,,,,,black,black,1.0,,,,,,,,
d_main_06_03_28,d_main_06_03,Narration,ludmilla,Narration,Locale_MainScenario:d_main_06_03_28,True,alice,3,idle,ludmilla,1,idle,rapi,13,idle,anis,15,void,neon,17,idle,,13,13,1.0,,,,,,,,black
d_main_06_03_29,d_main_06_03,Speech,rapi,rapi,Locale_MainScenario:d_main_06_03_29,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,13,13,1.0,,,,,,,,
d_main_06_03_30,d_main_06_03,Speech,rapi,rapi,Locale_MainScenario:d_main_06_03_30,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,13,13,1.0,,,,,,,,
d_main_06_03_31,d_main_06_03,Self,rapi,Self,Locale_MainScenario:d_main_06_03_31,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,13,13,1.0,,,,,,,,
d_main_06_03_32,d_main_06_03,Speech,rapi,rapi,Locale_MainScenario:d_main_06_03_32,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,13,130,1.0,,,,,,,,
