id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_main_14_12_1,d_main_14_12,Narration,Locale_MainScenario:d_main_14_12_1,False,CommanderRoom,black,black,1.0,none,,,,,,,
d_main_14_12_2,d_main_14_12,Monologue,Locale_MainScenario:d_main_14_12_2,False,,1,1,1.0,,,,,,,,
d_main_14_12_3,d_main_14_12,Monologue,Locale_MainScenario:d_main_14_12_3,False,,1,1,1.0,,,,,,,,
d_main_14_12_4,d_main_14_12,Monologue,Locale_MainScenario:d_main_14_12_4,False,,1,1,1.0,,,,,,,,
d_main_14_12_5,d_main_14_12,Monologue,Locale_MainScenario:d_main_14_12_5,False,OuterRim,1,5,1.0,,Grey,,,,,,
d_main_14_12_6,d_main_14_12,Monologue,Locale_MainScenario:d_main_14_12_6,False,Office,5,9,1.0,,Grey,,,,,,
d_main_14_12_7,d_main_14_12,Monologue,Locale_MainScenario:d_main_14_12_7,False,,9,9,1.0,,Grey,,,,,,
d_main_14_12_8,d_main_14_12,Monologue,Locale_MainScenario:d_main_14_12_8,False,,9,9,1.0,,Grey,,,,,,
d_main_14_12_9,d_main_14_12,Monologue,Locale_MainScenario:d_main_14_12_9,False,,9,9,1.0,,Grey,,,,,,
d_main_14_12_10,d_main_14_12,Monologue,Locale_MainScenario:d_main_14_12_10,False,ElevatorOut,9,7,1.0,,Grey,,,,,,
d_main_14_12_11,d_main_14_12,Monologue,Locale_MainScenario:d_main_14_12_11,False,,7,7,1.0,,Grey,,,,,,
d_main_14_12_12,d_main_14_12,Monologue,Locale_MainScenario:d_main_14_12_12,False,OutpostOut,7,5,1.0,,Grey,,,,,,
d_main_14_12_13,d_main_14_12,Monologue,Locale_MainScenario:d_main_14_12_13,False,CommanderRoom,black,black,1.0,,Grey,,,,,,
d_main_14_12_14,d_main_14_12,Speech,Locale_MainScenario:d_main_14_12_14,True,,L_10,L_10,1.0,,Grey,ingrid,ingrid,ingrid,1,idle,
d_main_14_12_15,d_main_14_12,Speech,Locale_MainScenario:d_main_14_12_15,True,,L_10,L_100,1.0,,Grey,ingrid,ingrid,,1,idle,
d_main_14_12_16,d_main_14_12,Monologue,Locale_MainScenario:d_main_14_12_16,False,,black,black,1.0,,,,,,1,idle,ingrid
d_main_14_12_17,d_main_14_12,Monologue,Locale_MainScenario:d_main_14_12_17,False,,1,1,1.0,,,,,,,,
d_main_14_12_18,d_main_14_12,Monologue,Locale_MainScenario:d_main_14_12_18,False,,1,1,1.0,,,,,,,,
d_main_14_12_19,d_main_14_12,Monologue,Locale_MainScenario:d_main_14_12_19,False,,1,100,1.0,,,,,,,,
