id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_28_11_s_1,d_main_28_11_s,Speech,neon,neon,Locale_MainScenario:d_main_28_11_s_1,True,CrystalField_1,S_50,S_50,1.0,bgm_destroyingcalamity,,,,neon,5,idle,,anis,3,void,,rapi,1,idle,,hammering,13,worry,,,,,
d_main_28_11_s_2,d_main_28_11_s,Speech,anis,anis,Locale_MainScenario:d_main_28_11_s_2,True,,S_50,4,1.0,,,,,,5,idle,,,3,void,,,1,idle,,,13,worry,,,,,
d_main_28_11_s_3,d_main_28_11_s,Speech,neon,neon,Locale_MainScenario:d_main_28_11_s_3,True,,4,4,1.0,,,,,,5,no,,,3,void,,,1,idle,,,13,worry,,,,,
d_main_28_11_s_4,d_main_28_11_s,Speech,anis,anis,Locale_MainScenario:d_main_28_11_s_4,True,,4,4,1.0,,,,,,5,no,,,3,void,,,1,idle,,,13,worry,,,,,
d_main_28_11_s_5,d_main_28_11_s,Speech,neon,neon,Locale_MainScenario:d_main_28_11_s_5,True,,4,4,1.0,,,,,,5,no,,,3,void,,,1,idle,,,13,worry,,,,,
d_main_28_11_s_6,d_main_28_11_s,Speech,anis,anis,Locale_MainScenario:d_main_28_11_s_6,True,,4,4,1.0,,,,,,5,no,,,3,no,,,1,idle,,,13,worry,,,,,
d_main_28_11_s_7,d_main_28_11_s,Speech,neon,neon,Locale_MainScenario:d_main_28_11_s_7,True,,4,4,1.0,,,,,,5,angry,,,3,no,,,1,idle,,,13,worry,,,,,
d_main_28_11_s_8,d_main_28_11_s,Speech,anis,anis,Locale_MainScenario:d_main_28_11_s_8,True,,4,4,1.0,,,,,,5,angry,,,3,idle,,,1,idle,,,13,worry,,,,,
d_main_28_11_s_9,d_main_28_11_s,Speech,neon,neon,Locale_MainScenario:d_main_28_11_s_9,True,,4,4,1.0,,,,,,5,surprise,,,3,idle,,,1,idle,,,13,worry,,,,,
d_main_28_11_s_10,d_main_28_11_s,Speech,anis,anis,Locale_MainScenario:d_main_28_11_s_10,True,,4,4,1.0,,,,,,5,surprise,,,3,sad,,,1,idle,,,13,worry,,,,,
d_main_28_11_s_11,d_main_28_11_s,Speech,neon,neon,Locale_MainScenario:d_main_28_11_s_11,True,,4,4,1.0,,,,,,5,worry,,,3,sad,,,1,idle,,,13,worry,,,,,
d_main_28_11_s_12,d_main_28_11_s,Speech,rapi,rapi,Locale_MainScenario:d_main_28_11_s_12,True,,4,1,1.0,,,,,,5,worry,,,3,sad,,,1,idle,,,13,worry,,,,,
d_main_28_11_s_13,d_main_28_11_s,Self,rapi,,Locale_MainScenario:d_main_28_11_s_13,False,,1,1,1.0,,,,,,5,worry,,,3,sad,,,1,idle,,,13,worry,,,,,
d_main_28_11_s_14,d_main_28_11_s,Self,rapi,,Locale_MainScenario:d_main_28_11_s_14,False,,1,1,1.0,,,,,,5,worry,,,3,sad,,,1,idle,,,13,worry,,,,,
d_main_28_11_s_15,d_main_28_11_s,Speech,rapi,rapi,Locale_MainScenario:d_main_28_11_s_15,True,,1,1,1.0,,,,,,5,idle,,,3,idle,,,1,worry,,,13,worry,,,,,
d_main_28_11_s_16,d_main_28_11_s,Self,rapi,,Locale_MainScenario:d_main_28_11_s_16,False,,1,1,1.0,,,,,,5,idle,,,3,idle,,,1,worry,,,13,worry,,,,,
d_main_28_11_s_17,d_main_28_11_s,Speech,shifty,shifty,Locale_MainScenario:d_main_28_11_s_17,True,,1,1,1.0,,,,,,5,idle,,,3,idle,,,1,worry,,,13,worry,,shifty,OP_leftup,idle,
d_main_28_11_s_18,d_main_28_11_s,Speech,shifty,shifty,Locale_MainScenario:d_main_28_11_s_18,True,,1,1,1.0,,,,,,5,idle,,,3,idle,,,1,worry,,,13,worry,,,OP_leftup,idle,
