id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/2/hide_char_id,play_sound
d_main_09_05_s_1,d_main_09_05_s,Speech,rapi,rapi,Locale_MainScenario:d_main_09_05_s_1,True,anis,3,void,rapi,1,idle,neon,13,idle,WasteLand_01,10,10,1.0,bgm_heartdestroyer,,,,,,
d_main_09_05_s_2,d_main_09_05_s,Speech,anis,anis,Locale_MainScenario:d_main_09_05_s_2,True,,3,void,,1,idle,,13,idle,,10,30,1.0,,,,,,,
d_main_09_05_s_3,d_main_09_05_s,Speech,shifty,shifty,Locale_MainScenario:d_main_09_05_s_3,True,,3,void,,1,idle,,13,idle,,30,2,1.0,,shifty,OP_leftup,idle,,,
d_main_09_05_s_4,d_main_09_05_s,Speech,shifty,shifty,Locale_MainScenario:d_main_09_05_s_4,True,,3,void,,1,idle,,13,idle,,2,2,1.0,,,OP_leftup,idle,,,
d_main_09_05_s_5,d_main_09_05_s,Speech,rapi,rapi,Locale_MainScenario:d_main_09_05_s_5,True,,3,void,,1,idle,,13,idle,,2,10,1.0,,,OP_leftup,idle,shifty,,
d_main_09_05_s_6,d_main_09_05_s,Speech,neon,neon,Locale_MainScenario:d_main_09_05_s_6,True,,3,void,,1,idle,,13,idle,,10,S_130,1.0,,,,,,,
d_main_09_05_s_7,d_main_09_05_s,Narration,neon,,Locale_MainScenario:d_main_09_05_s_7,False,,3,void,,1,idle,,13,idle,,black,black,1.0,,,,,,neon,sfx_scn_explosions
d_main_09_05_s_8,d_main_09_05_s,Speech,rapi,rapi,Locale_MainScenario:d_main_09_05_s_8,False,,3,void,,1,idle,,,,,10,100,0.5,,,,,,,
d_main_09_05_s_9,d_main_09_05_s,Monologue,rapi,,Locale_MainScenario:d_main_09_05_s_9,False,,3,void,,1,idle,,,,,black,black,1.0,,,,,,,
d_main_09_05_s_10,d_main_09_05_s,Speech,anis,anis,Locale_MainScenario:d_main_09_05_s_10,True,,3,angry,,1,angry,,,,,30,300,0.5,,,,,,,
d_main_09_05_s_11,d_main_09_05_s,Speech,neon,neon,Locale_MainScenario:d_main_09_05_s_11,True,,3,angry,,1,idle,,,,,300,2,2.0,,,,,,,
d_main_09_05_s_12,d_main_09_05_s,Monologue,neon,,Locale_MainScenario:d_main_09_05_s_12,False,,3,angry,,1,idle,,,,,2,2,1.0,,,,,,,
d_main_09_05_s_13,d_main_09_05_s,Speech,neon,neon,Locale_MainScenario:d_main_09_05_s_13,True,,3,angry,,1,idle,,,,,2,2,1.0,,,,,,,
d_main_09_05_s_14,d_main_09_05_s,Speech,rapi,rapi,Locale_MainScenario:d_main_09_05_s_14,True,,3,angry,,1,worry,,,,,2,10,2.0,,,,,,,
d_main_09_05_s_15,d_main_09_05_s,Speech,neon,neon,Locale_MainScenario:d_main_09_05_s_15,False,,3,angry,,1,worry,,,,,10,10,1.0,,,,,,,
d_main_09_05_s_16,d_main_09_05_s,Speech,rapi,rapi,Locale_MainScenario:d_main_09_05_s_16,True,,3,angry,,1,idle,,,,,10,10,1.0,,,,,,,
d_main_09_05_s_17,d_main_09_05_s,Speech,rapi,rapi,Locale_MainScenario:d_main_09_05_s_17,True,,3,angry,,1,idle,,,,,10,10,1.0,,,,,,,
d_main_09_05_s_18,d_main_09_05_s,Speech,anis,anis,Locale_MainScenario:d_main_09_05_s_18,True,,3,angry,,1,idle,,,,,10,30,1.0,,,,,,,
d_main_09_05_s_19,d_main_09_05_s,Speech,shifty,shifty,Locale_MainScenario:d_main_09_05_s_19,True,,3,angry,,1,idle,,,,,30,30,1.0,,shifty,OP_leftup,surprise,,,
d_main_09_05_s_20,d_main_09_05_s,Self,shifty,,Locale_MainScenario:d_main_09_05_s_20,False,,3,angry,,1,idle,neon,13,idle,,black,black,1.0,,,OP_leftup,surprise,shifty,,
d_main_09_05_s_21,d_main_09_05_s,Speech,neon,neon,Locale_MainScenario:d_main_09_05_s_21,True,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,,
d_main_09_05_s_22,d_main_09_05_s,Speech,neon,neon,Locale_MainScenario:d_main_09_05_s_22,True,,3,void,,1,idle,,13,idle,,S_130,S_130,1.0,,,,,,,
d_main_09_05_s_23,d_main_09_05_s,Speech,rapi,rapi,Locale_MainScenario:d_main_09_05_s_23,True,,3,void,,1,idle,,13,idle,,S_130,10,1.0,,,,,,,
d_main_09_05_s_24,d_main_09_05_s,Self,rapi,,Locale_MainScenario:d_main_09_05_s_24,False,,3,void,,1,idle,,13,idle,,10,10,1.0,,,,,,,
d_main_09_05_s_25,d_main_09_05_s,Speech,rapi,rapi,Locale_MainScenario:d_main_09_05_s_25,True,,3,void,,1,idle,,13,idle,,10,10,1.0,,,,,,,
