id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_ex_hotel_11_1,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_1,True,Hotel,1,1,1.0,bgm_story_cottoncandy,,,bready,1,idle,
d_ex_hotel_11_2,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_2,True,,1,1,1.0,,,,,1,idle,
d_ex_hotel_11_3,d_ex_hotel_11,Self,bready,,Locale_SuddenStory:d_ex_hotel_11_3,False,,1,1,1.0,,,,,1,idle,
d_ex_hotel_11_4,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_4,True,,1,1,1.0,,,,,1,idle,
d_ex_hotel_11_5,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_5,True,,1,1,1.0,,,,,1,idle,
d_ex_hotel_11_6,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_6,True,,1,1,1.0,,,,,1,delight,
d_ex_hotel_11_7,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_7,True,,1,1,1.0,,,,,1,delight,
d_ex_hotel_11_8,d_ex_hotel_11,Self,bready,,Locale_SuddenStory:d_ex_hotel_11_8,False,,1,1,1.0,,,,,1,delight,
d_ex_hotel_11_9,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_9,True,,1,S_10,1.0,,,,,1,delight,
d_ex_hotel_11_10,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_10,True,,S_10,S_10,1.0,,,,,1,delight,
d_ex_hotel_11_11,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_11,True,,S_10,S_10,1.0,,,,,1,delight,
d_ex_hotel_11_12,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_12,True,,S_10,S_10,1.0,,,,,1,delight,
d_ex_hotel_11_13,d_ex_hotel_11,Self,bready,,Locale_SuddenStory:d_ex_hotel_11_13,False,,S_10,S_10,1.0,,,,,1,delight,
d_ex_hotel_11_14,d_ex_hotel_11,Narration,bready,,Locale_SuddenStory:d_ex_hotel_11_14,False,ShowerRoom,S_10,1,1.0,,sfx_scn_shower,,,1,delight,bready
d_ex_hotel_11_15,d_ex_hotel_11,Monologue,bready,,Locale_SuddenStory:d_ex_hotel_11_15,False,,1,1,1.0,,,,,,,
d_ex_hotel_11_16,d_ex_hotel_11,Monologue,bready,,Locale_SuddenStory:d_ex_hotel_11_16,False,,1,1,1.0,,,,,,,
d_ex_hotel_11_17,d_ex_hotel_11,Self,bready,,Locale_SuddenStory:d_ex_hotel_11_17,False,,1,1,1.0,,,,,,,
d_ex_hotel_11_18,d_ex_hotel_11,Narration,bready,,Locale_SuddenStory:d_ex_hotel_11_18,False,,1,1,1.0,,sfx_scn_shower,,,,,
d_ex_hotel_11_19,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_19,True,,1,1,1.0,,,,,,,
d_ex_hotel_11_20,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_20,True,,1,1,1.0,,,,,,,
d_ex_hotel_11_21,d_ex_hotel_11,Self,bready,,Locale_SuddenStory:d_ex_hotel_11_21,False,,1,1,1.0,,,,,,,
d_ex_hotel_11_22,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_22,True,Hotel,S_10,S_10,1.0,,,black,bready,1,delight,
d_ex_hotel_11_23,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_23,True,,S_10,S_10,1.0,,,,,1,delight,
d_ex_hotel_11_24,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_24,True,,S_10,S_10,1.0,,,,,1,shy,
d_ex_hotel_11_25,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_25,True,,S_10,S_100,1.0,,,,,1,shy,
d_ex_hotel_11_26,d_ex_hotel_11,Narration,bready,,Locale_SuddenStory:d_ex_hotel_11_26,False,,S_100,S_100,1.0,,sfx_scn_knock,,,1,shy,
