id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_main_14_07_1,d_main_14_07,Speech,rapi,rapi,Locale_MainScenario:d_main_14_07_1,True,ArkRuinIndoor,10,10,1.0,bgm_enemyclose,,,,rapi,1,idle,,marian_p,3,idle,,anis,13,idle,,neon,15,surprise,,,,,,,,,,,
d_main_14_07_2,d_main_14_07,Speech,marian_p,marian_p,Locale_MainScenario:d_main_14_07_2,True,,30,30,1.0,,,,,,1,idle,,,3,surprise,,,13,idle,,,15,surprise,,,,,,,,,,,
d_main_14_07_3,d_main_14_07,Speech,anis,anis,Locale_MainScenario:d_main_14_07_3,True,,130,130,1.0,,,,,,1,idle,,,3,surprise,,,13,angry,,,15,surprise,,,,,,,,,,,
d_main_14_07_4,d_main_14_07,Speech,marian_p,marian_p,Locale_MainScenario:d_main_14_07_4,True,,30,30,1.0,,,,,,1,idle,,,3,angry,,,13,angry,,,15,surprise,,,,,,,,,,,
d_main_14_07_5,d_main_14_07,Narration,,,Locale_MainScenario:d_main_14_07_5,False,,30,30,1.0,,,,,,1,idle,,,8,angry,,,13,angry,,,15,surprise,,,,,,,,,,,
d_main_14_07_6,d_main_14_07,Speech,anis,anis,Locale_MainScenario:d_main_14_07_6,True,,130,130,1.0,,,,,,1,idle,,,8,angry,,,13,sad,,,15,surprise,,,,,,,,,,,
d_main_14_07_7,d_main_14_07,Speech,neon,neon,Locale_MainScenario:d_main_14_07_7,True,,S_150,S_150,1.0,,,,,,1,idle,,,8,angry,,,13,sad,,,15,surprise,,,,,,,,,,,
d_main_14_07_8,d_main_14_07,Speech,anis,anis,Locale_MainScenario:d_main_14_07_8,False,,130,130,1.0,,,,,,1,idle,,,8,idle,,,13,no,,,15,surprise,,,,,,,,,,,
d_main_14_07_9,d_main_14_07,Speech,rapi,rapi,Locale_MainScenario:d_main_14_07_9,False,,10,10,1.0,,,,,,1,idle,,,8,idle,,,13,no,,,15,surprise,,,,,,,,,,,
d_main_14_07_10,d_main_14_07,Speech,neon,neon,Locale_MainScenario:d_main_14_07_10,True,,10,1315,1.0,,,,,,1,idle,,,8,idle,,,13,no,,,15,worry,,,,,,,,,,,
d_main_14_07_11,d_main_14_07,Speech,anis,anis,Locale_MainScenario:d_main_14_07_11,True,,1315,1315,1.0,,,,,,1,idle,,,8,idle,,,13,worry,,,15,worry,,,,,,,,,,,
d_main_14_07_12,d_main_14_07,Narration,,,Locale_MainScenario:d_main_14_07_12,False,,1315,1315,1.0,,sfx_scn_emergencysignal,,,,1,idle,,,8,idle,,,13,worry,,,15,worry,,,,,,,,,,,
d_main_14_07_13,d_main_14_07,Speech,marian_p,marian_p,Locale_MainScenario:d_main_14_07_13,True,,80,80,1.0,,,,,,1,idle,,,8,surprise,,,13,worry,,,15,worry,,,,,,,,,,,
d_main_14_07_14,d_main_14_07,Narration,,,Locale_MainScenario:d_main_14_07_14,False,,80,80,1.0,,,,,,1,idle,,,8,surprise,,,13,idle,,,15,idle,,,,,,,,,,,
