id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,jump_target,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_observationpost_07_1,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_1,False,exia,1,idle,signal,13,idle,BriefingRoom,S_100,S_100,1.0,bgm_story_whosdumber,,,,,,,
d_ex_observationpost_07_2,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_2,False,,1,idle,,13,idle,,XS_1300,XS_1300,1.0,,,,,,,,
d_ex_observationpost_07_3,d_ex_observationpost_07,Monologue,signal,,Locale_SuddenStory:d_ex_observationpost_07_3,False,,1,idle,,13,idle,,XS_1300,12,1.0,,,,,,,,
d_ex_observationpost_07_4,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_4,True,,1,idle,,13,idle,,12,12,1.0,,,,,,,,
d_ex_observationpost_07_5,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_5,True,,1,idle,,13,sad,,12,12,1.0,,,,,,,,
d_ex_observationpost_07_6,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_6,True,,1,idle,,13,sad,,12,12,1.0,,,,,,,,
d_ex_observationpost_07_7,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_7,True,,1,idle,,13,sad,,12,XS_130,1.0,,,,,,,,
d_ex_observationpost_07_8,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_8,True,,1,idle,,13,sad,,XS_130,XS_130,1.0,,,,,,,,
d_ex_observationpost_07_9,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_9,True,,1,idle,,13,sad,,XS_130,XS_130,1.0,,,,,,,,
d_ex_observationpost_07_10,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_10,True,,1,idle,,13,sad,,XS_130,S_10,0.6,,,,,,,,
d_ex_observationpost_07_11,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_11,True,,1,surprise,,13,sad,,S_10,S_10,1.0,,,,,,,,
d_ex_observationpost_07_12,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_12,True,,1,idle,,13,idle,,S_10,12,1.0,,,,,,,,
d_ex_observationpost_07_13,d_ex_observationpost_07,Monologue,signal,,Locale_SuddenStory:d_ex_observationpost_07_13,False,,1,idle,,13,idle,,12,12,1.0,,sfx_scn_handtouch,,,,,,
d_ex_observationpost_07_14,d_ex_observationpost_07,Self,signal,,Locale_SuddenStory:d_ex_observationpost_07_14,False,,1,idle,,13,idle,,12,12,1.0,,,,,,,,
d_ex_observationpost_07_15,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_15,True,,1,idle,,13,delight,,12,12,1.0,,,,,,,,
d_ex_observationpost_07_16,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_16,True,,1,surprise,,13,delight,,12,12,1.0,,,,,,,,
d_ex_observationpost_07_17,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_17,True,,1,surprise,,13,delight,,12,1,1.0,,,,,,,,
d_ex_observationpost_07_18,d_ex_observationpost_07,Self,exia,,Locale_SuddenStory:d_ex_observationpost_07_18,False,,1,surprise,,13,delight,,1,1,1.0,,,,,,,,
d_ex_observationpost_07_19,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_19,True,,1,delight,,13,delight,,1,1,1.0,,,,,,,,
d_ex_observationpost_07_20,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_20,True,,1,delight,,13,delight,,1,S_10,1.0,,,,,,,,
d_ex_observationpost_07_21,d_ex_observationpost_07,Self,exia,,Locale_SuddenStory:d_ex_observationpost_07_21,False,,1,delight,,13,delight,,S_10,S_10,1.0,,,,,,,,
d_ex_observationpost_07_22,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_22,True,,1,delight,,13,idle,,S_10,12,1.0,,,,,,,,
d_ex_observationpost_07_23,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_23,True,,1,delight,,13,idle,,12,12,1.0,,,,,,,,
d_ex_observationpost_07_24,d_ex_observationpost_07,Self,signal,,Locale_SuddenStory:d_ex_observationpost_07_24,False,,1,delight,,13,idle,,12,12,1.0,,,,,,,,
d_ex_observationpost_07_25,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_25,True,,1,idle,,13,idle,,12,1,1.0,,,,,,,,
d_ex_observationpost_07_26,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_26,True,,1,idle,,13,idle,,1,1,1.0,,,,,,,,
d_ex_observationpost_07_27,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_27,True,,1,idle,,13,idle,,1,1,1.0,,,,,,,,
d_ex_observationpost_07_28,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_28,True,,1,idle,,13,idle,,1,1,1.0,,,,,,,,
d_ex_observationpost_07_29,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_29,True,,1,idle,,13,idle,,1,1,1.0,,,,,,,,
d_ex_observationpost_07_30,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_30,True,,1,idle,,13,idle,,1,S_10,0.6,,,,,,,,
d_ex_observationpost_07_31,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_31,True,,1,idle,,13,idle,,S_10,S_100,0.6,,,,,,,,
d_ex_observationpost_07_32,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_32,True,,1,idle,,13,idle,,XS_1300,XS_1300,1.0,,,,,,,,
d_ex_observationpost_07_33,d_ex_observationpost_07,Self,signal,,Locale_SuddenStory:d_ex_observationpost_07_33,False,,1,idle,,13,idle,,XS_1300,XS_1300,1.0,,,,,,,,
d_ex_observationpost_07_34,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_34,True,,1,idle,,13,idle,,S_100,S_100,1.0,,,,,,,,
d_ex_observationpost_07_35,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_35,True,,1,idle,,13,idle,,S_100,S_100,1.0,,,,,,,,
d_ex_observationpost_07_36,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_36,True,,1,idle,,13,idle,,S_100,S_10,1.0,,,,,,,,
d_ex_observationpost_07_37,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_37,True,,1,idle,,13,idle,,S_10,S_10,1.0,,,,,,,,
d_ex_observationpost_07_38,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_38,True,,1,sad,,13,idle,,S_10,S_10,1.0,,,,,,,,
d_ex_observationpost_07_39,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_39,True,,1,sad,,13,idle,,S_10,S_10,1.0,,,,,,,,
d_ex_observationpost_07_40,d_ex_observationpost_07,Self,,,Locale_SuddenStory:d_ex_observationpost_07_40,False,,1,sad,,13,idle,,S_10,S_10,1.0,,,,,,,,
d_ex_observationpost_07_41,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_41,True,,1,sad,,13,idle,,S_10,S_10,1.0,,,,,,,,
d_ex_observationpost_07_42,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_42,True,,1,idle,,13,idle,,S_10,S_10,1.0,,,,,,,,
d_ex_observationpost_07_43,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_43,True,,1,idle,,13,idle,,S_10,S_10,1.0,,,,,,,,
d_ex_observationpost_07_44,d_ex_observationpost_07,Monologue,exia,,Locale_SuddenStory:d_ex_observationpost_07_44,False,,1,idle,,13,idle,,S_10,S_100,1.0,none,sfx_scn_hairtouch,Low_2,,,,,
d_ex_observationpost_07_45,d_ex_observationpost_07,Monologue,exia,,Locale_SuddenStory:d_ex_observationpost_07_45,False,,1,idle,,13,idle,,black,black,1.0,event_bgm_spot_holycrab,sfx_scn_remotesignal,,,,,,
d_ex_observationpost_07_46,d_ex_observationpost_07,Self,,,Locale_SuddenStory:d_ex_observationpost_07_46,False,,1,idle,,13,idle,,black,black,1.0,,,,,,,,
d_ex_observationpost_07_47,d_ex_observationpost_07,Monologue,,,Locale_SuddenStory:d_ex_observationpost_07_47,False,,1,idle,,13,idle,,black,black,1.0,,,,,,,,
d_ex_observationpost_07_48,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_48,True,,1,idle,,13,idle,,S_100,S_100,1.0,,,,,,,,
d_ex_observationpost_07_49,d_ex_observationpost_07,Monologue,,,Locale_SuddenStory:d_ex_observationpost_07_49,False,,1,idle,,13,idle,,S_100,S_100,1.0,none,sfx_scn_hairtouch,Low_2,,,,,
d_ex_observationpost_07_50,d_ex_observationpost_07,Monologue,,,Locale_SuddenStory:d_ex_observationpost_07_50,False,,1,idle,,13,idle,,black,black,1.0,event_bgm_spot_bassbomb,sfx_scn_remotesignal,,,,,,
d_ex_observationpost_07_51,d_ex_observationpost_07,Self,,,Locale_SuddenStory:d_ex_observationpost_07_51,False,,1,idle,,13,idle,,black,black,1.0,,,,,,,,
d_ex_observationpost_07_52,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_52,True,,1,idle,,13,idle,,S_100,S_100,1.0,,,,,,,,
d_ex_observationpost_07_53,d_ex_observationpost_07,Choice,,,Locale_SuddenStory:d_ex_observationpost_07_53,False,,1,idle,,13,idle,,S_100,S_100,1.0,,,,d_ex_observationpost_07_55,,,,
d_ex_observationpost_07_54,d_ex_observationpost_07,Choice,,,Locale_SuddenStory:d_ex_observationpost_07_54,False,,1,idle,,13,idle,,S_100,S_100,1.0,,,,d_ex_observationpost_07_58,,,,
d_ex_observationpost_07_55,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_55,True,,1,surprise,,13,idle,,S_100,S_100,1.0,,,,,,,,
d_ex_observationpost_07_56,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_56,True,,1,good,,13,idle,,S_100,S_10,1.0,,,,d_ex_observationpost_07_57,,,,
d_ex_observationpost_07_57,d_ex_observationpost_07,Self,,,Locale_SuddenStory:d_ex_observationpost_07_57,False,,1,good,,13,idle,,S_10,S_10,1.0,,,,d_ex_observationpost_07_61,,,,
d_ex_observationpost_07_58,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_58,True,,1,good,,13,idle,,S_100,S_100,1.0,,,,,,,,
d_ex_observationpost_07_59,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_59,True,,1,good,,13,idle,,S_100,S_10,1.0,,,,d_ex_observationpost_07_60,,,,
d_ex_observationpost_07_60,d_ex_observationpost_07,Self,,,Locale_SuddenStory:d_ex_observationpost_07_60,False,,1,good,,13,idle,,S_10,S_10,1.0,,,,d_ex_observationpost_07_61,,,,
d_ex_observationpost_07_61,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_61,True,,1,good,,13,idle,,S_10,S_10,1.0,none,sfx_scn_hairtouch,,,,,,
d_ex_observationpost_07_62,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_62,True,,1,idle,,13,idle,,S_10,S_10,1.0,bgm_story_epicjazzymoods,,,,,,,
d_ex_observationpost_07_63,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_63,True,,1,idle,,13,idle,,S_10,12,1.0,,,,,,,,
d_ex_observationpost_07_64,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_64,True,,1,idle,,13,idle,,12,12,1.0,,,,,,,,
d_ex_observationpost_07_65,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_65,True,,1,idle,,13,idle,,12,12,1.0,,,,,,,,
d_ex_observationpost_07_66,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_66,True,,1,idle,,13,idle,,12,12,1.0,,,,,,,,
d_ex_observationpost_07_67,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_67,True,,1,delight,,13,idle,,12,12,0.6,,,,,,,,
