id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,speaker
d_ex_police_10_1,d_ex_police_10,Monologue,privaty_m,Locale_SuddenStory:d_ex_police_10_1,False,Police,2,2,1.0,bgm_story_languor,,,,,,,
d_ex_police_10_2,d_ex_police_10,Monologue,privaty_m,Locale_SuddenStory:d_ex_police_10_2,False,,2,2,1.0,,privaty_m,3,idle,milk_b,1,angry1,
d_ex_police_10_3,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_3,True,,30,30,1.0,,,3,idle,,1,angry1,privaty_m
d_ex_police_10_4,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_4,True,,30,30,1.0,,,3,idle,,1,angry1,privaty_m
d_ex_police_10_5,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_5,True,,30,30,1.0,,,3,idle,,1,angry1,privaty_m
d_ex_police_10_6,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_6,True,,30,10,1.0,,,3,idle,,1,angry1,milk_b
d_ex_police_10_7,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_7,True,,10,10,1.0,,,3,idle,,1,angry1,milk_b
d_ex_police_10_8,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_8,True,,10,10,1.0,,,3,idle,,1,angry1,milk_b
d_ex_police_10_9,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_9,True,,10,10,1.0,,,3,idle,,1,angry1,milk_b
d_ex_police_10_10,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_10,True,,10,2,1.0,,,3,shy,,1,angry1,privaty_m
d_ex_police_10_11,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_11,True,,2,2,1.0,,,3,shy,,1,angry1,privaty_m
d_ex_police_10_12,d_ex_police_10,Self,privaty_m,Locale_SuddenStory:d_ex_police_10_12,False,,2,2,1.0,,,3,shy,,1,angry1,
d_ex_police_10_13,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_13,True,,2,2,1.0,,,3,surprise,,1,angry1,privaty_m
d_ex_police_10_14,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_14,True,,2,10,1.0,,,3,surprise,,1,good,milk_b
d_ex_police_10_15,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_15,True,,10,10,1.0,,,3,surprise,,1,good,milk_b
d_ex_police_10_16,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_16,True,,10,10,1.0,,,3,surprise,,1,good,milk_b
d_ex_police_10_17,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_17,True,,10,30,0.8,,,3,idle,,1,good,privaty_m
d_ex_police_10_18,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_18,True,,30,30,1.0,,,3,idle,,1,good,privaty_m
d_ex_police_10_19,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_19,True,,30,30,1.0,,,3,idle,,1,good,privaty_m
d_ex_police_10_20,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_20,True,,30,30,1.0,,,3,idle,,1,good,privaty_m
d_ex_police_10_21,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_21,True,,30,2,1.0,,,3,idle,,1,angry1,milk_b
d_ex_police_10_22,d_ex_police_10,Self,milk_b,Locale_SuddenStory:d_ex_police_10_22,False,,2,2,1.0,,,3,idle,,1,angry1,
d_ex_police_10_23,d_ex_police_10,Self,milk_b,Locale_SuddenStory:d_ex_police_10_23,False,,2,2,1.0,,,3,idle,,1,angry1,
d_ex_police_10_24,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_24,True,,2,2,1.0,,,3,idle,,1,idle,milk_b
d_ex_police_10_25,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_25,True,,2,2,1.0,,,3,idle,,1,idle,privaty_m
d_ex_police_10_26,d_ex_police_10,Self,privaty_m,Locale_SuddenStory:d_ex_police_10_26,False,,2,2,1.0,,,3,idle,,1,idle,
d_ex_police_10_27,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_27,True,,2,10,1.0,,,3,idle,,1,idle,milk_b
d_ex_police_10_28,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_28,True,,10,10,1.0,,,3,idle,,1,idle,milk_b
d_ex_police_10_29,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_29,True,,10,10,1.0,,,3,idle,,1,idle,milk_b
d_ex_police_10_30,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_30,True,,10,10,1.0,,,3,idle,,1,idle,milk_b
d_ex_police_10_31,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_31,True,,10,100,1.0,,,3,idle,,1,idle,milk_b
d_ex_police_10_32,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_32,True,,100,100,1.0,,,3,idle,,1,idle,milk_b
d_ex_police_10_33,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_33,True,,100,100,1.0,,,3,idle,,1,angry1,milk_b
d_ex_police_10_34,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_34,True,,300,300,1.0,,,3,shy,,1,angry1,privaty_m
d_ex_police_10_35,d_ex_police_10,Self,privaty_m,Locale_SuddenStory:d_ex_police_10_35,False,,300,300,1.0,,,3,shy,,1,angry1,
d_ex_police_10_36,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_36,True,,300,30,1.0,,,3,sad,,1,angry1,privaty_m
d_ex_police_10_37,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_37,True,,30,30,1.0,,,3,idle,,1,angry1,privaty_m
d_ex_police_10_38,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_38,True,,30,30,1.0,,,3,idle,,1,angry1,privaty_m
d_ex_police_10_39,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_39,True,,30,30,1.0,,,3,idle,,1,angry1,privaty_m
d_ex_police_10_40,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_40,True,,30,30,1.0,,,3,idle,,1,angry1,privaty_m
d_ex_police_10_41,d_ex_police_10,Self,privaty_m,Locale_SuddenStory:d_ex_police_10_41,False,,30,30,1.0,,,3,idle,,1,angry1,
d_ex_police_10_42,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_42,True,,30,300,1.0,,,3,no,,1,angry1,privaty_m
d_ex_police_10_43,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_43,True,,300,300,1.0,,,3,no,,1,angry1,privaty_m
d_ex_police_10_44,d_ex_police_10,Self,privaty_m,Locale_SuddenStory:d_ex_police_10_44,False,,300,300,1.0,,,3,no,,1,angry1,
d_ex_police_10_45,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_45,True,,300,30,1.0,,,3,happy,,1,angry1,privaty_m
d_ex_police_10_46,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_46,True,,30,30,1.0,,,3,happy,,1,angry1,privaty_m
d_ex_police_10_47,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_47,True,,30,2,0.8,,,3,happy,,1,angry1,milk_b
d_ex_police_10_48,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_48,True,,2,2,1.0,,,3,no,,1,angry1,privaty_m
d_ex_police_10_49,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_49,True,,2,2,1.0,,,3,no,,1,angry1,privaty_m
d_ex_police_10_50,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_50,True,,2,2,1.0,,,3,no,,1,angry1,milk_b
d_ex_police_10_51,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_51,True,,2,2,1.0,,,3,no,,1,no,milk_b
d_ex_police_10_52,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_52,True,,2,2,1.0,,,3,no,,1,no,milk_b
d_ex_police_10_53,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_53,True,,2,2,1.0,,,3,shy,,1,no,privaty_m
d_ex_police_10_54,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_54,True,,2,2,1.0,,,3,shy,,1,no,privaty_m
d_ex_police_10_55,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_55,True,,2,2,1.0,,,3,shy,,1,angry1,milk_b
d_ex_police_10_56,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_56,True,,2,2,1.0,,,3,shy,,1,angry1,milk_b
d_ex_police_10_57,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_57,True,,2,2,1.0,,,3,shy,,1,angry1,milk_b
d_ex_police_10_58,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_58,True,,2,2,1.0,,,3,shy,,1,angry1,milk_b
d_ex_police_10_59,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_59,True,,2,2,1.0,,,3,shy,,1,no,milk_b
d_ex_police_10_60,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_60,True,,2,2,1.0,,,3,shy,,1,no,privaty_m
d_ex_police_10_61,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_61,True,,2,2,1.0,,,3,shy,,1,no,privaty_m
d_ex_police_10_62,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_62,True,,2,2,1.0,,,3,shy,,1,no,privaty_m
d_ex_police_10_63,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_63,True,,2,2,1.0,,,3,shy,,1,no,privaty_m
d_ex_police_10_64,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_64,True,,2,2,1.0,,,3,shy,,1,no,privaty_m
d_ex_police_10_65,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_65,True,,2,10,1.0,,,3,shy,,1,good,milk_b
d_ex_police_10_66,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_66,True,,10,10,1.0,,,3,shy,,1,good,milk_b
d_ex_police_10_67,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_67,True,,10,10,1.0,,,3,shy,,1,good,milk_b
d_ex_police_10_68,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_68,True,,30,30,1.0,,,3,sad,,1,good,privaty_m
d_ex_police_10_69,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_69,True,,30,30,1.0,,,3,no,,1,good,privaty_m
d_ex_police_10_70,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_70,True,,30,30,1.0,,,3,shy,,1,good,privaty_m
d_ex_police_10_71,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_71,True,,10,10,1.0,,,3,shy,,1,angry2,milk_b
d_ex_police_10_72,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_72,True,,30,30,1.0,,,3,shy,,1,angry2,privaty_m
d_ex_police_10_73,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_73,True,,10,10,1.0,,,3,shy,,1,angry2,milk_b
d_ex_police_10_74,d_ex_police_10,Self,milk_b,Locale_SuddenStory:d_ex_police_10_74,False,,10,10,1.0,,,3,shy,,1,angry2,
d_ex_police_10_75,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_75,True,,10,2,1.2,,,3,idle,,1,idle,milk_b
d_ex_police_10_76,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_76,True,,2,2,1.0,,,3,idle,,1,idle,privaty_m
d_ex_police_10_77,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_77,True,,2,2,1.0,,,3,idle,,1,idle,milk_b
d_ex_police_10_78,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_78,True,,2,2,1.0,,,3,idle,,1,idle,milk_b
