id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_police_07_1,d_ex_police_07,Narration,Locale_SuddenStory:d_ex_police_07_1,False,Police,black,black,1.0,sfx_scn_autodooropen,none,,,,leona_no,1,idle,timi,5,idle,quiry,3,idle
d_ex_police_07_2,d_ex_police_07,Speech,Locale_SuddenStory:d_ex_police_07_2,True,,Leo_10,Leo_10,1.0,,,leona_no,leona_no,,,1,idle,,5,idle,,3,idle
d_ex_police_07_3,d_ex_police_07,Self,Locale_SuddenStory:d_ex_police_07_3,False,,Leo_10,Leo_10,1.0,,,,,,,1,idle,,5,idle,,3,idle
d_ex_police_07_4,d_ex_police_07,Self,Locale_SuddenStory:d_ex_police_07_4,False,,Leo_10,Leo_10,1.0,,,,,,,1,idle,,5,idle,,3,idle
d_ex_police_07_5,d_ex_police_07,Speech,Locale_SuddenStory:d_ex_police_07_5,True,,Leo_10,Leo_10,1.0,,bgm_story_whosdumber,leona_no,leona_no,,,1,idle,,5,idle,,3,idle
d_ex_police_07_6,d_ex_police_07,Speech,Locale_SuddenStory:d_ex_police_07_6,True,,Leo_10,Leo_10,1.0,,,leona_no,leona_no,,,1,idle,,5,idle,,3,idle
d_ex_police_07_7,d_ex_police_07,Speech,Locale_SuddenStory:d_ex_police_07_7,True,,Leo_10,Leo_10,1.0,,,leona_no,leona_no,,,1,idle,,5,idle,,3,idle
d_ex_police_07_8,d_ex_police_07,Self,Locale_SuddenStory:d_ex_police_07_8,False,,Leo_10,Leo_10,1.0,,,,,,,1,idle,,5,idle,,3,idle
d_ex_police_07_9,d_ex_police_07,Monologue,Locale_SuddenStory:d_ex_police_07_9,False,,Leo_10,S_30,1.0,,,,,,,1,idle,,5,idle,,3,surprise
d_ex_police_07_10,d_ex_police_07,Speech,Locale_SuddenStory:d_ex_police_07_10,True,,S_30,S_30,1.0,,,quiry,quiry,,,1,idle,,5,idle,,3,surprise
d_ex_police_07_11,d_ex_police_07,Speech,Locale_SuddenStory:d_ex_police_07_11,True,,S_30,S_30,1.0,,,quiry,quiry,,,1,idle,,5,idle,,3,surprise
