id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,play_sound,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_elevator_05_1,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_1,False,ElevatorOut,black,black,1.0,none,,,,,,,,,,,,
d_ex_elevator_05_2,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_2,False,,black,black,1.0,,,,,,,,,,,,,
d_ex_elevator_05_3,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_3,True,,black,black,1.0,bgm_story_fairytalesend_if,rosanna,rosanna,rosanna,1,idle,,,,,,,
d_ex_elevator_05_4,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_4,False,,1,1,1.0,,,,,1,idle,,,,,,,
d_ex_elevator_05_5,d_ex_elevator_05,Self,Locale_SuddenStory:d_ex_elevator_05_5,False,,1,1,1.0,,,,,1,idle,,,,,,,
d_ex_elevator_05_6,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_6,True,,1,10,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_7,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_7,True,,10,10,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_8,d_ex_elevator_05,Self,Locale_SuddenStory:d_ex_elevator_05_8,False,,10,10,1.0,,,,,1,idle,,,,,,,
d_ex_elevator_05_9,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_9,True,,10,10,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_10,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_10,True,,10,10,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_11,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_11,False,,black,black,1.0,,,,,1,idle,,,,,,,
d_ex_elevator_05_12,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_12,False,,black,black,1.0,,,,,1,idle,,,,,,,
d_ex_elevator_05_13,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_13,True,,10,10,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_14,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_14,True,,10,1,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_15,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_15,True,,1,1,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_16,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_16,True,,1,1,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_17,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_17,True,,1,1,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_18,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_18,True,,1,10,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_19,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_19,True,,10,10,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_20,d_ex_elevator_05,Self,Locale_SuddenStory:d_ex_elevator_05_20,False,,10,10,1.0,,,,,1,idle,,,,,,,
d_ex_elevator_05_21,d_ex_elevator_05,Self,Locale_SuddenStory:d_ex_elevator_05_21,False,,10,10,1.0,,,,,1,idle,,,,,,,
d_ex_elevator_05_22,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_22,True,,10,10,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_23,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_23,True,,10,10,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_24,d_ex_elevator_05,Self,Locale_SuddenStory:d_ex_elevator_05_24,False,,10,10,1.0,,,,,1,idle,,,,,,,
d_ex_elevator_05_25,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_25,True,,10,10,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_26,d_ex_elevator_05,Choice,Locale_SuddenStory:d_ex_elevator_05_26,False,,10,10,1.0,,,,,1,idle,d_ex_elevator_05_28,,,,,,
d_ex_elevator_05_27,d_ex_elevator_05,Choice,Locale_SuddenStory:d_ex_elevator_05_27,False,,10,10,1.0,,,,,1,idle,d_ex_elevator_05_31,,,,,,
d_ex_elevator_05_28,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_28,True,,10,10,1.0,,rosanna,rosanna,,1,good,,,,,,,
d_ex_elevator_05_29,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_29,False,,10,10,1.0,,,,,1,good,,,,,,,
d_ex_elevator_05_30,d_ex_elevator_05,Self,Locale_SuddenStory:d_ex_elevator_05_30,False,,10,10,1.0,,,,,1,good,d_ex_elevator_05_31,,,,,,
d_ex_elevator_05_31,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_31,True,,10,10,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_32,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_32,False,,10,10,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_33,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_33,True,,10,100,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_34,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_34,True,,100,100,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_35,d_ex_elevator_05,Self,Locale_SuddenStory:d_ex_elevator_05_35,False,,100,100,1.0,,,,,1,idle,,,,,,,
d_ex_elevator_05_36,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_36,True,,100,100,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_37,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_37,False,Elevator,black,black,1.0,,,,,1,idle,,,,,,,
d_ex_elevator_05_38,d_ex_elevator_05,Narration,Locale_SuddenStory:d_ex_elevator_05_38,False,,100,100,1.0,,,,,1,idle,,,,,,,
d_ex_elevator_05_39,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_39,False,,100,100,1.0,,,,,1,idle,,,,,,,
d_ex_elevator_05_40,d_ex_elevator_05,Self,Locale_SuddenStory:d_ex_elevator_05_40,False,,100,100,1.0,,,,,1,idle,,,,,,,
d_ex_elevator_05_41,d_ex_elevator_05,Narration,Locale_SuddenStory:d_ex_elevator_05_41,False,,100,10,1.0,none,,,,1,idle,,sfx_scn_machinestopsudden,Low_2,,,,
d_ex_elevator_05_42,d_ex_elevator_05,Self,Locale_SuddenStory:d_ex_elevator_05_42,False,,10,10,1.0,,,,,1,idle,,,,,,,
d_ex_elevator_05_43,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_43,True,,10,10,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_44,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_44,False,,10,10,1.0,,,,,1,idle,,,,,,,
d_ex_elevator_05_45,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_45,True,,10,10,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_46,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_46,True,,10,10,1.0,bgm_story_armageddon,rosanna,rosanna,,1,good,,,,,,,
d_ex_elevator_05_47,d_ex_elevator_05,Narration,Locale_SuddenStory:d_ex_elevator_05_47,False,,10,10,1.0,,,,,1,good,,,,,,,
d_ex_elevator_05_48,d_ex_elevator_05,Narration,Locale_SuddenStory:d_ex_elevator_05_48,False,,10,10,1.0,,,,,1,good,,,,,,,
d_ex_elevator_05_49,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_49,False,,10,10,1.0,,,,,1,good,,,,,,,
d_ex_elevator_05_50,d_ex_elevator_05,Choice,Locale_SuddenStory:d_ex_elevator_05_50,False,,10,10,1.0,,,,,1,good,d_ex_elevator_05_52,,,,,,
d_ex_elevator_05_51,d_ex_elevator_05,Choice,Locale_SuddenStory:d_ex_elevator_05_51,False,,10,10,1.0,,,,,1,good,d_ex_elevator_05_52,,,,,,
d_ex_elevator_05_52,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_52,False,,10,10,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_53,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_53,False,,10,100,1.0,,,,,1,idle,,,,,,,
d_ex_elevator_05_54,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_54,True,,100,100,1.0,,rosanna,rosanna,,1,angry,,,,,,,
d_ex_elevator_05_55,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_55,True,,100,100,1.0,,rosanna,rosanna,,1,angry,,,,,,,
d_ex_elevator_05_56,d_ex_elevator_05,Narration,Locale_SuddenStory:d_ex_elevator_05_56,False,,100,100,1.0,,,,,1,angry,,,,,,,
d_ex_elevator_05_57,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_57,False,,100,100,1.0,,,,,1,angry,,,,,,,
d_ex_elevator_05_58,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_58,True,,100,10,1.0,,rosanna,rosanna,,1,delight,,,,,,,
d_ex_elevator_05_59,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_59,True,,10,10,1.0,,rosanna,rosanna,,1,delight,,,,,,,
d_ex_elevator_05_60,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_60,True,,10,10,1.0,,rosanna,rosanna,,1,delight,,,,,,,
d_ex_elevator_05_61,d_ex_elevator_05,Narration,Locale_SuddenStory:d_ex_elevator_05_61,False,,10,10,1.0,,,,,1,delight,,sfx_scn_machinestopsudden,Low_2,,,,
