id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,set_filter_01,fade,play_sound
d_main_29_05_s_1,d_main_29_05_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_05_s_1,True,rapi,7,idle,neon,5,idle,anis,3,void,elegg,1,special,drilley,13,idle,fragile,15,idle,CrystalCity,1,S_10,0.6,bgm_chapter29_field_drifting_b,Low_2,,,,,,,,,,,,
d_main_29_05_s_2,d_main_29_05_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_05_s_2,True,,7,idle,,5,idle,,3,void,,1,special,,13,idle,,15,idle,,S_10,S_100,0.6,,Low_2,,,,,,,,,,,,
d_main_29_05_s_3,d_main_29_05_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_05_s_3,True,,7,idle,,5,idle,,3,void,,1,special,,13,idle,,15,idle,,S_100,S_100,1.0,,Low_2,,,,,,,,,,,,
d_main_29_05_s_4,d_main_29_05_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_05_s_4,True,,7,idle,,5,idle,,3,void,,1,special,,13,idle,,15,idle,,S_100,S_100,1.0,,,,,,,,,,,,,,
d_main_29_05_s_5,d_main_29_05_s,Speech,anis,anis,Locale_MainScenario:d_main_29_05_s_5,True,,7,idle,,5,worry,,3,worry,,1,special,,13,idle,,15,idle,,4,4,1.0,,,,,,,,,,,,,,
d_main_29_05_s_6,d_main_29_05_s,Speech,neon,neon,Locale_MainScenario:d_main_29_05_s_6,True,,7,idle,,5,worry,,3,worry,,1,special,,13,idle,,15,idle,,4,4,1.0,,,,,,,,,,,,,,
d_main_29_05_s_7,d_main_29_05_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_05_s_7,True,,7,idle,,5,worry,,3,worry,,1,special,,13,idle,,15,idle,,4,6,1.0,,,,,,,,,,,,,,
d_main_29_05_s_8,d_main_29_05_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_05_s_8,True,,7,idle,,5,worry,,3,void,,1,delight,,13,idle,,15,idle,,S_100,S_100,1.0,,,,,,,,,,,,,,
d_main_29_05_s_9,d_main_29_05_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_05_s_9,True,,7,idle,,5,idle,,3,void,,1,delight,,13,idle,,15,idle,,S_100,S_10,1.0,,,trony_op_r,OP_rightup,shy,,,,,,,,,
d_main_29_05_s_10,d_main_29_05_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_05_s_10,True,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,OP_rightup,shy,,,,,,,,,
d_main_29_05_s_11,d_main_29_05_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_05_s_11,True,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,OP_rightup,shy,,,,,,,,,
d_main_29_05_s_12,d_main_29_05_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_05_s_12,True,,7,idle,,5,idle,,3,void,,1,delight,,13,idle,,15,idle,,S_10,S_10,1.0,,,,OP_rightup,shy,,,,,,,,,
d_main_29_05_s_13,d_main_29_05_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_05_s_13,True,,7,idle,,5,idle,,3,void,,1,delight,,13,idle,,15,idle,,S_10,S_10,1.0,,,,OP_rightup,delight,,,,,,,,,
d_main_29_05_s_14,d_main_29_05_s,Self,elegg,,Locale_MainScenario:d_main_29_05_s_14,False,,7,idle,,5,idle,,3,void,,1,delight,,13,idle,,15,idle,,S_10,S_10,1.0,,,,OP_rightup,delight,trony_op_r,,,,,,,,
d_main_29_05_s_15,d_main_29_05_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_05_s_15,True,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,
d_main_29_05_s_16,d_main_29_05_s,Self,elegg,,Locale_MainScenario:d_main_29_05_s_16,False,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,
d_main_29_05_s_17,d_main_29_05_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_05_s_17,True,,7,idle,,5,idle,,3,void,,1,delight,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,
d_main_29_05_s_18,d_main_29_05_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_05_s_18,True,,7,idle,,5,idle,,3,void,,1,delight,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,
d_main_29_05_s_19,d_main_29_05_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_05_s_19,True,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,
d_main_29_05_s_20,d_main_29_05_s,Self,elegg,,Locale_MainScenario:d_main_29_05_s_20,False,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,
d_main_29_05_s_21,d_main_29_05_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_05_s_21,True,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,
d_main_29_05_s_22,d_main_29_05_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_05_s_22,True,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,S_10,14,1.0,,,,,,,,,,,,,,
d_main_29_05_s_23,d_main_29_05_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_05_s_23,True,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,14,14,1.0,,,,,,,,,,,,,,
d_main_29_05_s_24,d_main_29_05_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_05_s_24,True,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,S_10,1,1.0,,,,,,,,,,,,,,
d_main_29_05_s_25,d_main_29_05_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_05_s_25,True,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,14,14,1.0,,,,,,,,,,,,,,
d_main_29_05_s_26,d_main_29_05_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_05_s_26,True,,7,idle,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,14,14,1.0,,,,,,,,,,,,,,
d_main_29_05_s_27,d_main_29_05_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_05_s_27,True,,7,idle,,5,idle,,3,void,,1,surprise,,13,idle,,15,idle,,1,1,1.0,,,,,,,,,,,,,,
d_main_29_05_s_28,d_main_29_05_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_05_s_28,True,,7,idle,,5,idle,,3,void,,1,pain,,13,idle,,15,idle,,1,1,1.0,,,,,,,,,,,,,,
d_main_29_05_s_29,d_main_29_05_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_05_s_29,True,,7,idle,,5,idle,,3,void,,1,pain,,13,angry,,15,idle,,1,12,1.0,,,,,,,,,,,,,,
d_main_29_05_s_30,d_main_29_05_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_05_s_30,True,,7,idle,,5,idle,,3,void,,1,pain,,13,angry,,15,idle,,12,12,1.0,,,,,,,,,,,,,,
d_main_29_05_s_31,d_main_29_05_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_05_s_31,True,,7,idle,,5,idle,,3,void,,1,idle,,13,angry,,15,idle,,12,12,1.0,,,,,,,,,,,,,,
d_main_29_05_s_32,d_main_29_05_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_05_s_32,True,,7,idle,,5,idle,,3,void,,1,idle,,13,angry,,15,idle,,12,12,1.0,,,,,,,,,,,,,,
