id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_main_13_05_s_1,d_main_13_05_s,Speech,anis,anis,Locale_MainScenario:d_main_13_05_s_1,True,anis,3,no,rapi,1,idle,neon,13,surprise,brid,9,idle,soline,7,idle,diesel,5,idle,MachineRoom,30,30,1.0,bgm_thecalmbeforethestorm,,,,,,
d_main_13_05_s_2,d_main_13_05_s,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_s_2,True,,3,no,,1,idle,,13,surprise,,9,idle,,7,idle,,5,delight,,30,50,1.0,,,,,,,
d_main_13_05_s_3,d_main_13_05_s,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_s_3,True,,3,void,,1,idle,,13,surprise,,9,idle,,7,idle,,5,idle,,50,50,1.0,,,,,,,
d_main_13_05_s_4,d_main_13_05_s,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_s_4,True,,3,void,,1,idle,,13,surprise,,9,idle,,7,idle,,5,delight,,50,500,0.5,,,,,,,
d_main_13_05_s_5,d_main_13_05_s,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_s_5,True,,3,void,,1,idle,,13,surprise,,9,idle,,7,idle,,5,idle,,500,500,1.0,,,,,,,
d_main_13_05_s_6,d_main_13_05_s,Speech,soline,soline,Locale_MainScenario:d_main_13_05_s_6,True,,3,void,,1,idle,,13,surprise,,9,idle,,7,delight,,5,idle,,500,6,1.0,,,,,,,
d_main_13_05_s_7,d_main_13_05_s,Speech,anis,anis,Locale_MainScenario:d_main_13_05_s_7,True,,3,worry,,1,idle,,13,idle,,9,idle,,7,delight,,5,idle,,6,6,1.0,,,,,,,
d_main_13_05_s_8,d_main_13_05_s,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_s_8,True,,3,worry,,1,idle,,13,idle,,9,idle,,7,shy,,5,idle,,6,6,1.0,,,,,,,
d_main_13_05_s_9,d_main_13_05_s,Speech,brid,brid,Locale_MainScenario:d_main_13_05_s_9,True,,3,angry,,1,worry,,13,surprise,,9,idle,,7,pain,,5,surprise,,6,L_900,1.0,,,,,,,
d_main_13_05_s_10,d_main_13_05_s,Narration,brid,,Locale_MainScenario:d_main_13_05_s_10,True,,3,angry,,1,worry,,13,surprise,,9,idle,,7,pain,,5,surprise,,L_900,9,1.0,,sfx_scn_explosions,Low_2,,,,
