id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id,play_sound,set_camera_shake,fade
d_main_28_08_s_1,d_main_28_08_s,Narration,Locale_MainScenario:d_main_28_08_s_1,False,rapi,7,idle,neon,5,idle,anis,3,idle,liveryn,1,worry,elegg,13,think,hammering,15,worry,unknown_grave,18,idle,SealRoom,black,black,1.0,ambient_scn_crystalmachineroom,bgm_enemyclose,,,,,,,,,,,,,,,,
d_main_28_08_s_2,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_2,False,,7,idle,,5,idle,,3,idle,,1,worry,,13,think,,15,worry,,18,idle,,14,14,1.0,,,elegg,elegg,,,,,,,,,,,,,,
d_main_28_08_s_3,d_main_28_08_s,Narration,Locale_MainScenario:d_main_28_08_s_3,False,,7,idle,,5,idle,,3,idle,,1,worry,,13,think,,15,worry,,18,idle,,14,14,1.0,,,elegg,,,,,,,,,,,,,,,
d_main_28_08_s_4,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_4,True,,7,idle,,5,idle,,3,idle,,1,worry,,13,think,,15,worry,,18,idle,,14,14,1.0,,,hammering,hammering,,,,,,,,,,,,,,
d_main_28_08_s_5,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_5,True,,7,idle,,5,idle,,3,idle,,1,worry,,13,think,,15,worry,,18,idle,,14,12,1.0,,,elegg,elegg,,,,,,,,,,,,,,
d_main_28_08_s_6,d_main_28_08_s,Narration,Locale_MainScenario:d_main_28_08_s_6,False,,7,idle,,5,idle,,3,idle,,1,worry,,13,think,,15,worry,,18,idle,,12,12,1.0,,,liveryn,,,,,,,,,,,,,,,
d_main_28_08_s_7,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_7,True,,7,idle,,5,idle,,3,idle,,1,worry,,13,think,,15,worry,,18,idle,,12,12,1.0,,,liveryn,liveryn,,,,,,,,,,,,,,
d_main_28_08_s_8,d_main_28_08_s,Monologue,Locale_MainScenario:d_main_28_08_s_8,False,,7,idle,,5,idle,,3,idle,,1,worry,,13,idle,,15,worry,,18,idle,,black,black,1.0,,,liveryn,,rapi,neon,anis,liveryn,elegg,hammering,unknown_grave,,,,,,,
d_main_28_08_s_9,d_main_28_08_s,Monologue,Locale_MainScenario:d_main_28_08_s_9,False,,,,,,,,,,,,,,,,,,,,,,,1,sealroom_01,2.0,,,liveryn,,,,,,,,,,,,,,,
d_main_28_08_s_10,d_main_28_08_s,Monologue,Locale_MainScenario:d_main_28_08_s_10,False,,,,,,,,,,,,,,,,,,,,,,,sealroom_01,sealroom_01,1.0,,,liveryn,,,,,,,,,,,,,,,
d_main_28_08_s_11,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_11,True,,,,,,,,,,,,,,,,,,,,,,,sealroom_01,sealroom_01,1.0,,,elegg,elegg,,,,,,,,,,,,,,
d_main_28_08_s_12,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_12,True,,,,,,,,,,,,,,,,,,,,,,,sealroom_01,sealroom_01,1.0,,,elegg,elegg,,,,,,,,,,,,,,
d_main_28_08_s_13,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_13,True,,,,,,,,,,,,,,,,,,,,,,,sealroom_01,sealroom_01,1.0,,,anis,anis,,,,,,,,,,,,,,
d_main_28_08_s_14,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_14,True,,,,,,,,,,,,,,,,,,,,,,,sealroom_01,sealroom_01,1.0,,,rapi,rapi,,,,,,,,,,,,,,
d_main_28_08_s_15,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_15,True,,,,,,,,,,,,,,,,,,,,,,,sealroom_01,sealroom_02,2.0,,,rapi,rapi,,,,,,,,,,,,,,
d_main_28_08_s_16,d_main_28_08_s,Self,Locale_MainScenario:d_main_28_08_s_16,False,,,,,,,,,,,,,,,,,,,,,,,sealroom_02,sealroom_02,1.0,,,rapi,,,,,,,,,,,,,,,
d_main_28_08_s_17,d_main_28_08_s,Monologue,Locale_MainScenario:d_main_28_08_s_17,False,,,,,,,,,,,,,,,,,,,,,,,sealroom_02,sealroom_02,1.0,,,rapi,,,,,,,,,,,,,,,
d_main_28_08_s_18,d_main_28_08_s,Monologue,Locale_MainScenario:d_main_28_08_s_18,False,,,,,,,,,,,,,,,,,,,,,,,sealroom_02,sealroom_02,1.0,,,rapi,,,,,,,,,,,,,,,
d_main_28_08_s_19,d_main_28_08_s,Self,Locale_MainScenario:d_main_28_08_s_19,False,,,,,,,,,,,,,,,,,,,,,,,sealroom_02,sealroom_02,1.0,,,rapi,,,,,,,,,,,,,,,
d_main_28_08_s_20,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_20,True,,,,,,,,,,,,,,,,,,,,,,,sealroom_02,sealroom_02,1.0,,,rapi,rapi,,,,,,,,,,,,,,
d_main_28_08_s_21,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_21,False,,,,,,,,,,,,,,,,,,,,,,,sealroom_02,sealroom_02,1.0,,,rapi,rapi,,,,,,,,,,,,,,
d_main_28_08_s_22,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_22,True,rapi,7,angry,neon,5,idle,anis,3,idle,liveryn,1,idle,elegg,13,idle,hammering,15,worry,unknown_grave,18,idle,,black,black,1.0,,,rapi,rapi,,,,,,,,,,,,,,
d_main_28_08_s_23,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_23,True,,7,angry,,5,idle,,3,idle,,1,idle,,13,idle,,15,worry,,18,idle,,7,70,0.6,,,rapi,rapi,,,,,,,,,,,,,,
d_main_28_08_s_24,d_main_28_08_s,Self,Locale_MainScenario:d_main_28_08_s_24,False,,7,angry,,5,idle,,3,idle,,1,idle,,13,idle,,15,worry,,18,idle,,70,70,1.0,,,rapi,,,,,,,,,,,,,,,
d_main_28_08_s_25,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_25,True,,7,angry,,5,idle,,3,idle,,1,idle,,13,idle,,15,worry,,18,idle,,70,70,1.0,,,rapi,rapi,,,,,,,,,,,,,,
d_main_28_08_s_26,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_26,True,,7,angry,,5,idle,,3,idle,,1,idle,,13,idle,,15,worry,,18,idle,,70,7,1.0,,,rapi,rapi,,,,,,,,,,,,,,
d_main_28_08_s_27,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_27,True,,7,angry,,5,idle,,3,idle,,1,idle,,13,idle,,15,worry,,18,idle,,7,4,1.0,,,neon,neon,,,,,,,,,,,,,,
d_main_28_08_s_28,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_28,True,,7,angry,,5,idle,,3,worry,,1,idle,,13,idle,,15,worry,,18,idle,,4,4,1.0,,,anis,anis,,,,,,,,,,,,,,
d_main_28_08_s_29,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_29,True,,7,angry,,5,idle,,3,worry,,1,idle,,13,idle,,15,worry,,18,idle,,70,700,1.0,,,rapi,rapi,,,,,,,,,,,,,,
d_main_28_08_s_30,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_30,True,,7,angry,,5,idle,,3,worry,,1,idle,,13,idle,,15,worry,,18,idle,,L_1800,L_1800,1.0,none,bgm_story_armageddon,unknown_grave,unknown_grave,,,,,,,,,,,,,,
d_main_28_08_s_31,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_31,False,,7,angry,,5,idle,,3,angry,,1,idle,,13,idle,,15,worry,,18,idle,,70,70,1.0,,,rapi,rapi,,,,,,,,,,,,,,
d_main_28_08_s_32,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_32,True,,7,angry,,5,idle,,3,angry,,1,idle,,13,idle,,15,worry,,18,idle,,30,30,1.0,,,anis,anis,,,,,,,,,,,,,,
d_main_28_08_s_33,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_33,True,,7,idle,,5,idle,,3,angry,,1,idle,,13,idle,,15,worry,,18,idle,,L_1800,L_180,0.6,,,unknown_grave,unknown_grave,,,,,,,,,,,,,,
d_main_28_08_s_34,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_34,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,worry,,18,idle,,L_180,L_180,1.0,,,unknown_grave,unknown_grave,,,,,,,,,,,,,,
d_main_28_08_s_35,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_35,True,,7,idle,,5,surprise,,3,idle,,1,idle,,13,idle,,15,worry,,18,idle,,S_50,S_50,1.0,,,neon,neon,,,,,,,,,,,,,,
d_main_28_08_s_36,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_36,True,,7,idle,,5,surprise,,3,idle,,1,idle,,13,pain,,15,worry,,18,idle,,14,14,1.0,,,elegg,elegg,,,,,,,,,,,,,,
d_main_28_08_s_37,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_37,True,,7,idle,,5,surprise,,3,idle,,1,idle,,13,pain,,15,worry,,18,idle,,14,14,1.0,,,shifty,shifty,,,,,,,,shifty,OP_leftup,angry,,,,
d_main_28_08_s_38,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_38,True,,7,idle,,5,surprise,,3,idle,,1,surprise,,13,pain,,15,worry,,18,idle,,100,100,1.0,,,liveryn,liveryn,,,,,,,,,OP_leftup,angry,shifty,,,
d_main_28_08_s_39,d_main_28_08_s,Speech,Locale_MainScenario:d_main_28_08_s_39,True,,7,idle,,5,idle,,3,idle,,1,surprise,,13,pain,,15,angry,,18,idle,,150,150,1.0,,,hammering,hammering,,,,,,,,,,,,,,
