id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_main_21_04_s_1,d_main_21_04_s,Self,Self,Locale_MainScenario:d_main_21_04_s_1,False,johan,1,idle,Desert_02,1,1,1.0,bgm_intotheswarm_a,,,,
d_main_21_04_s_2,d_main_21_04_s,Speech,johan,Locale_MainScenario:d_main_21_04_s_2,True,,1,idle,,1,1,1.0,,johan,,,
d_main_21_04_s_3,d_main_21_04_s,Self,Self,Locale_MainScenario:d_main_21_04_s_3,False,,1,idle,,1,1,1.0,,johan,,,
d_main_21_04_s_4,d_main_21_04_s,Speech,johan,Locale_MainScenario:d_main_21_04_s_4,True,,1,idle,,1,L_10,1.0,,johan,,,
d_main_21_04_s_5,d_main_21_04_s,Speech,johan,Locale_MainScenario:d_main_21_04_s_5,True,,1,idle,,L_10,L_10,1.0,,johan,,,
d_main_21_04_s_6,d_main_21_04_s,Speech,johan,Locale_MainScenario:d_main_21_04_s_6,True,,1,idle,,L_10,L_10,1.0,,johan,,,
d_main_21_04_s_7,d_main_21_04_s,Speech,johan,Locale_MainScenario:d_main_21_04_s_7,True,,1,idle,,L_10,L_10,1.0,,johan,,,
d_main_21_04_s_8,d_main_21_04_s,Speech,johan,Locale_MainScenario:d_main_21_04_s_8,True,,1,idle,,L_10,L_10,1.0,,johan,,,
d_main_21_04_s_9,d_main_21_04_s,Self,Self,Locale_MainScenario:d_main_21_04_s_9,False,,1,idle,,L_10,L_10,1.0,,johan,,,
d_main_21_04_s_10,d_main_21_04_s,Speech,johan,Locale_MainScenario:d_main_21_04_s_10,True,,1,idle,,L_10,L_10,1.0,,johan,,,
d_main_21_04_s_11,d_main_21_04_s,Speech,johan,Locale_MainScenario:d_main_21_04_s_11,True,,1,idle,,L_10,L_10,1.0,,johan,,,
d_main_21_04_s_12,d_main_21_04_s,Speech,johan,Locale_MainScenario:d_main_21_04_s_12,True,,1,idle,,L_10,L_10,1.0,,johan,,,
d_main_21_04_s_13,d_main_21_04_s,Speech,johan,Locale_MainScenario:d_main_21_04_s_13,True,,1,idle,,L_10,L_10,1.0,,johan,,,
d_main_21_04_s_14,d_main_21_04_s,Speech,johan,Locale_MainScenario:d_main_21_04_s_14,True,,1,idle,,L_10,L_10,1.0,,johan,,,
d_main_21_04_s_15,d_main_21_04_s,Speech,johan,Locale_MainScenario:d_main_21_04_s_15,True,,1,idle,,L_10,L_10,1.0,,johan,,,
