id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,set_filter_01
d_main_16_10_1,d_main_16_10,Narration,Narration,Locale_MainScenario:d_main_16_10_1,False,RuinIndoor,5,1,2.0,none,,,,,,,
d_main_16_10_2,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_2,False,,1,1,1.0,,crow,crow,1,idle,,,
d_main_16_10_3,d_main_16_10,Monologue,,Locale_MainScenario:d_main_16_10_3,False,,1,1,1.0,,crow,,1,idle,,,
d_main_16_10_4,d_main_16_10,Self,Self,Locale_MainScenario:d_main_16_10_4,False,,1,1,1.0,,crow,,1,idle,,,
d_main_16_10_5,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_5,True,,1,1,1.0,,crow,,1,idle,,,
d_main_16_10_6,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_6,True,,1,1,1.0,,crow,,1,idle,,,
d_main_16_10_7,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_7,True,,1,10,1.0,,crow,,1,smile,,,
d_main_16_10_8,d_main_16_10,Monologue,,Locale_MainScenario:d_main_16_10_8,False,,black,black,1.0,,crow,,1,smile,,,
d_main_16_10_9,d_main_16_10,Narration,Narration,Locale_MainScenario:d_main_16_10_9,False,,black,black,1.0,bgm_story_crawlinganxiety,crow,,1,smile,,,
d_main_16_10_10,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_10,True,,10,10,1.0,,crow,,1,idle,,,
d_main_16_10_11,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_11,True,,10,10,1.0,,crow,,1,idle,,,
d_main_16_10_12,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_12,True,,10,10,1.0,,crow,,1,idle,,,
d_main_16_10_13,d_main_16_10,Choice,,Locale_MainScenario:d_main_16_10_13,False,,10,10,1.0,,crow,,1,idle,d_main_16_10_15,,
d_main_16_10_14,d_main_16_10,Choice,,Locale_MainScenario:d_main_16_10_14,False,,10,10,1.0,,crow,,1,idle,d_main_16_10_15,,
d_main_16_10_15,d_main_16_10,Monologue,,Locale_MainScenario:d_main_16_10_15,False,,10,100,1.5,,crow,,1,idle,,,
d_main_16_10_16,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_16,True,,100,100,1.0,,crow,,1,idle,,,
d_main_16_10_17,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_17,True,,100,100,1.0,,crow,,1,idle,,,
d_main_16_10_18,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_18,True,,100,100,1.0,,crow,,1,idle,,,
d_main_16_10_19,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_19,True,,100,100,1.0,,crow,,1,idle,,,
d_main_16_10_20,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_20,True,,100,10,1.5,,crow,,1,smile,,,
d_main_16_10_21,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_21,True,EventScene_Main_15_After_01,matis_event_02,matis_event_01,3.0,,crow,,1,smile,,crow,Grey
d_main_16_10_22,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_22,True,,matis_event_01,matis_event_05,3.0,,crow,,,,,,Grey
d_main_16_10_23,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_23,True,Ark,matis_event_05,1,3.0,,crow,,,,,,Grey
d_main_16_10_24,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_24,True,,1,1,1.0,,crow,,,,,,Grey
d_main_16_10_25,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_25,True,RuinIndoor,1,1,1.0,,crow,crow,1,smile,,,
d_main_16_10_26,d_main_16_10,Choice,,Locale_MainScenario:d_main_16_10_26,False,,1,1,1.0,,crow,,1,smile,d_main_16_10_28,,
d_main_16_10_27,d_main_16_10,Choice,,Locale_MainScenario:d_main_16_10_27,False,,1,1,1.0,,crow,,1,smile,d_main_16_10_28,,
d_main_16_10_28,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_28,False,,1,10,2.0,,crow,,1,surprise,,,
d_main_16_10_29,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_29,True,,10,10,1.0,,crow,,1,surprise,,,
d_main_16_10_30,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_30,True,,10,10,1.0,,crow,,1,surprise,,,
d_main_16_10_31,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_31,True,,10,1,1.0,,crow,,1,idle,,,
d_main_16_10_32,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_32,True,,1,1,1.0,,crow,,1,idle,,,
d_main_16_10_33,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_33,True,,1,1,1.0,,crow,,1,idle,,,
d_main_16_10_34,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_34,True,,1,1,1.0,,crow,,1,idle,,,
d_main_16_10_35,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_35,True,,1,1,1.0,,crow,,1,idle,,,
d_main_16_10_36,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_36,True,,1,10,2.0,,crow,,1,delight,,,
d_main_16_10_37,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_37,True,,10,10,1.0,,crow,,1,delight,,,
d_main_16_10_38,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_38,True,,10,10,1.0,,crow,,1,delight,,,
d_main_16_10_39,d_main_16_10,Speech,crow,Locale_MainScenario:d_main_16_10_39,True,,10,10,1.0,,crow,,1,delight,,,
