id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade
d_ex_gym_07_1,d_ex_gym_07,Self,Locale_SuddenStory:d_ex_gym_07_1,False,Gym,1,1,1.0,bgm_story_leisuretime,,,,,,,,,,,,,,
d_ex_gym_07_2,d_ex_gym_07,Self,Locale_SuddenStory:d_ex_gym_07_2,False,,1,1,1.0,,,,,,,,,,,,,,,
d_ex_gym_07_3,d_ex_gym_07,Speech,Locale_SuddenStory:d_ex_gym_07_3,True,,1,XS_10,1.0,,alice_b,alice_b,alice_b,1,idle,,,,,,,,,
d_ex_gym_07_4,d_ex_gym_07,Speech,Locale_SuddenStory:d_ex_gym_07_4,True,,XS_10,XS_10,1.0,,alice_b,alice_b,,1,delight,,,,,,,,,
d_ex_gym_07_5,d_ex_gym_07,Speech,Locale_SuddenStory:d_ex_gym_07_5,True,,XS_10,XS_10,1.0,,alice_b,alice_b,,1,delight,,,,,,,,,
d_ex_gym_07_6,d_ex_gym_07,Self,Locale_SuddenStory:d_ex_gym_07_6,False,,XS_10,XS_10,1.0,,,,,1,delight,,,,,,,,,
d_ex_gym_07_7,d_ex_gym_07,Self,Locale_SuddenStory:d_ex_gym_07_7,False,,XS_10,XS_10,1.0,,,,,1,delight,,,,,,,,,
d_ex_gym_07_8,d_ex_gym_07,Speech,Locale_SuddenStory:d_ex_gym_07_8,True,,black,black,1.0,,timi,timi,,1,delight,timi,3,idle,sfx_scn_lionroar,Low_2,,,,
d_ex_gym_07_9,d_ex_gym_07,Speech,Locale_SuddenStory:d_ex_gym_07_9,True,,2,2,1.0,,alice_b,alice_b,,1,surprise,,3,idle,,,,,,
d_ex_gym_07_10,d_ex_gym_07,Speech,Locale_SuddenStory:d_ex_gym_07_10,True,,2,2,1.0,,alice_b,alice_b,,1,surprise,,3,idle,,,,,,
d_ex_gym_07_11,d_ex_gym_07,Self,Locale_SuddenStory:d_ex_gym_07_11,False,,2,2,1.0,,alice_b,,,1,surprise,,3,idle,,,,,,
d_ex_gym_07_12,d_ex_gym_07,Speech,Locale_SuddenStory:d_ex_gym_07_12,True,,2,Leo_130,1.0,,leona_no,leona_no,,1,surprise,,3,idle,,,leona_no,13,idle,
d_ex_gym_07_13,d_ex_gym_07,Speech,Locale_SuddenStory:d_ex_gym_07_13,True,,Leo_130,Leo_130,1.0,,leona_no,leona_no,,1,surprise,,3,idle,,,,13,idle,
d_ex_gym_07_14,d_ex_gym_07,Speech,Locale_SuddenStory:d_ex_gym_07_14,True,,Leo_130,Leo_130,1.0,,leona_no,leona_no,,1,surprise,,3,idle,,,,13,idle,
d_ex_gym_07_15,d_ex_gym_07,Speech,Locale_SuddenStory:d_ex_gym_07_15,True,,Leo_130,Leo_130,1.0,,leona_no,leona_no,,1,surprise,,3,idle,,,,13,idle,
d_ex_gym_07_16,d_ex_gym_07,Self,Locale_SuddenStory:d_ex_gym_07_16,False,,Leo_130,Leo_130,1.0,,leona_no,,,1,surprise,,3,idle,,,,13,idle,
d_ex_gym_07_17,d_ex_gym_07,Speech,Locale_SuddenStory:d_ex_gym_07_17,True,,Leo_130,12,1.0,,alice_b,alice_b,,1,delight,,3,idle,,,,13,idle,
d_ex_gym_07_18,d_ex_gym_07,Speech,Locale_SuddenStory:d_ex_gym_07_18,True,,12,12,1.0,,leona_no,leona_no,,1,delight,,3,idle,,,,13,delight,
d_ex_gym_07_19,d_ex_gym_07,Speech,Locale_SuddenStory:d_ex_gym_07_19,True,,12,12,1.0,,leona_no,leona_no,,1,delight,,3,idle,,,,13,delight,
d_ex_gym_07_20,d_ex_gym_07,Speech,Locale_SuddenStory:d_ex_gym_07_20,True,,12,12,1.0,,alice_b,alice_b,,1,delight,,3,idle,,,,13,delight,
