id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id
d_main_38_06_1,d_main_38_06,Narration,Locale_MainScenario:d_main_38_06_1,False,Gym,16,16,1.0,bgm_story_apricot,,,,,,,,,,,,
d_main_38_06_2,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_2,True,,16,12,1.0,,anis,anis,neon,3,idle,anis,1,idle,mint,13,idle,
d_main_38_06_3,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_3,True,,12,12,1.0,,anis,anis,,3,idle,,1,idle,,13,idle,
d_main_38_06_4,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_4,True,,12,12,1.0,,mint,mint,,3,idle,,1,idle,,13,idle,
d_main_38_06_5,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_5,True,,12,12,1.0,,mint,mint,,3,idle,,1,idle,,13,idle,
d_main_38_06_6,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_6,True,,12,12,1.0,,anis,anis,,3,idle,,1,idle,,13,idle,
d_main_38_06_7,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_7,True,,12,12,1.0,,mint,mint,,3,idle,,1,idle,,13,smile,
d_main_38_06_8,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_8,True,,12,12,1.0,,anis,anis,,3,idle,,1,idle,,13,smile,
d_main_38_06_9,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_9,True,,12,12,1.0,,mint,mint,,3,idle,,1,idle,,13,idle,
d_main_38_06_10,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_10,True,,12,12,1.0,,mint,mint,,3,idle,,1,idle,,13,idle,
d_main_38_06_11,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_11,True,,12,12,1.0,,anis,anis,,3,idle,,1,void,,13,idle,
d_main_38_06_12,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_12,True,,12,12,1.0,,mint,mint,,3,idle,,1,void,,13,shy,
d_main_38_06_13,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_13,False,,12,12,1.0,,anis,anis,,3,idle,,1,void,,13,shy,
d_main_38_06_14,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_14,True,,12,12,1.0,,anis,anis,,3,idle,,1,void,,13,shy,
d_main_38_06_15,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_15,True,,12,12,1.0,,mint,mint,,3,idle,,1,void,,13,shy,
d_main_38_06_16,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_16,True,,12,12,1.0,,anis,anis,,3,idle,,1,void,,13,shy,
d_main_38_06_17,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_17,True,,12,12,1.0,,mint,mint,,3,idle,,1,void,,13,idle,
d_main_38_06_18,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_18,True,,12,12,1.0,,mint,mint,,3,idle,,1,void,,13,idle,
d_main_38_06_19,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_19,True,,12,12,1.0,,anis,anis,,3,idle,,1,idle,,13,idle,
d_main_38_06_20,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_20,False,,12,2,1.0,,neon,neon,,3,idle,,1,idle,,13,idle,
d_main_38_06_21,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_21,True,,2,2,1.0,,anis,anis,,3,idle,,1,worry,,13,idle,
d_main_38_06_22,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_22,True,,2,2,1.0,,neon,neon,,3,worry,,1,worry,,13,idle,
d_main_38_06_23,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_23,True,,2,2,1.0,,neon,neon,,3,worry,,1,worry,,13,idle,
d_main_38_06_24,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_24,True,,2,2,1.0,,anis,anis,,3,worry,,1,sad,,13,idle,
d_main_38_06_25,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_25,True,,2,12,1.0,,anis,anis,,3,idle,,1,idle,,13,idle,
d_main_38_06_26,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_26,True,,12,12,1.0,,anis,anis,,3,idle,,1,idle,,13,idle,
d_main_38_06_27,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_27,True,,12,12,1.0,,mint,mint,,3,idle,,1,idle,,13,idle,
d_main_38_06_28,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_28,True,,12,12,1.0,,mint,mint,,3,idle,,1,idle,,13,idle,
d_main_38_06_29,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_29,True,,12,12,1.0,,anis,anis,,3,idle,,1,idle,,13,idle,
d_main_38_06_30,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_30,True,,12,12,1.0,,mint,mint,,3,idle,,1,idle,,13,smile,
d_main_38_06_31,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_31,True,,12,10,1.0,,anis,anis,,3,idle,,1,idle,,13,smile,
d_main_38_06_32,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_32,True,,10,10,1.0,,anis,anis,,3,idle,,1,idle,,13,smile,
d_main_38_06_33,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_33,True,,10,10,1.0,,anis,anis,,3,idle,,1,idle,,13,smile,
d_main_38_06_34,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_34,False,,130,130,1.0,,mint,mint,,3,idle,,1,idle,,13,surprise,
d_main_38_06_35,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_35,True,,130,130,1.0,,mint,mint,,3,idle,,1,idle,,13,sad,
d_main_38_06_36,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_36,True,,10,10,1.0,,anis,anis,,3,idle,,1,worry,,13,sad,
d_main_38_06_37,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_37,False,,10,12,1.0,,mint,mint,,3,idle,,1,worry,,13,shy,
d_main_38_06_38,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_38,False,,12,12,1.0,,anis,anis,,3,idle,,1,worry,,13,shy,
d_main_38_06_39,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_39,True,,12,12,1.0,,anis,anis,,3,idle,,1,worry,,13,shy,
d_main_38_06_40,d_main_38_06,Narration,Locale_MainScenario:d_main_38_06_40,False,,12,130,1.0,,mint,,,3,idle,,1,worry,,13,sad,
d_main_38_06_41,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_41,True,,130,130,1.0,,mint,mint,,3,idle,,1,worry,,13,sad,
d_main_38_06_42,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_42,True,,130,130,1.0,,mint,mint,,3,idle,,1,worry,,13,sad,
d_main_38_06_43,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_43,True,,S_30,S_30,1.0,,neon,neon,,3,idle,,1,worry,,13,sad,
d_main_38_06_44,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_44,True,,130,130,1.0,,mint,mint,,3,idle,,1,worry,,13,idle,
d_main_38_06_45,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_45,True,,130,130,1.0,,mint,mint,,3,idle,,1,worry,,13,idle,
d_main_38_06_46,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_46,True,,130,130,1.0,,mint,mint,,3,idle,,1,worry,,13,idle,
d_main_38_06_47,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_47,True,,130,130,1.0,,mint,mint,,3,idle,,1,worry,,13,idle,
d_main_38_06_48,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_48,True,,S_30,S_30,1.0,,neon,neon,,3,worry,,1,worry,,13,idle,
d_main_38_06_49,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_49,True,,130,130,1.0,,mint,mint,,3,worry,,1,worry,,13,smile,
d_main_38_06_50,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_50,True,,130,12,1.0,,anis,anis,,3,idle,,1,void,,13,smile,
d_main_38_06_51,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_51,False,,12,12,1.0,,mint,mint,,3,idle,,1,void,,13,shy,
d_main_38_06_52,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_52,True,,12,12,1.0,,mint,mint,,3,idle,,1,void,,13,bad,
d_main_38_06_53,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_53,True,,12,12,1.0,,anis,anis,,3,idle,,1,worry,,13,bad,
d_main_38_06_54,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_54,True,,12,130,1.0,,mint,mint,,3,idle,,1,worry,,13,sad,
d_main_38_06_55,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_55,True,,130,130,1.0,,mint,mint,,3,idle,,1,worry,,13,sad,
d_main_38_06_56,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_56,True,,S_30,S_30,1.0,,neon,neon,,3,idle,,1,worry,,13,sad,
d_main_38_06_57,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_57,True,,130,130,1.0,,mint,mint,,3,idle,,1,worry,,13,smile,
d_main_38_06_58,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_58,True,,130,130,1.0,,mint,mint,,3,idle,,1,worry,,13,idle,
d_main_38_06_59,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_59,True,,130,130,1.0,,mint,mint,,3,idle,,1,worry,,13,idle,
d_main_38_06_60,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_60,True,,130,130,1.0,,mint,mint,,3,idle,,1,worry,,13,sad,
d_main_38_06_61,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_61,True,,130,12,1.0,,anis,anis,,3,idle,,1,worry,,13,sad,
d_main_38_06_62,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_62,True,,12,12,1.0,,anis,anis,,3,idle,,1,void,,13,sad,
d_main_38_06_63,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_63,True,,12,12,1.0,,mint,mint,,3,idle,,1,void,,13,shy,
d_main_38_06_64,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_64,True,,12,12,1.0,,mint,mint,,3,idle,,1,void,,13,shy,
d_main_38_06_65,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_65,True,,12,12,1.0,,mint,mint,,3,idle,,1,void,,13,shy,
d_main_38_06_66,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_66,True,,12,12,1.0,,mint,mint,,3,idle,,1,void,,13,shy,
d_main_38_06_67,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_67,True,,12,12,1.0,,anis,anis,,3,idle,,1,worry,,13,shy,
d_main_38_06_68,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_68,True,,12,12,1.0,,mint,mint,,3,idle,,1,worry,,13,delight,
d_main_38_06_69,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_69,True,,12,12,1.0,,mint,mint,,3,idle,,1,worry,,13,delight,
d_main_38_06_70,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_70,False,,12,10,1.0,,anis,anis,,3,idle,,1,sad,,13,delight,
d_main_38_06_71,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_71,True,,10,10,1.0,,anis,anis,,3,idle,,1,sad,,13,delight,
d_main_38_06_72,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_72,True,,130,130,1.0,,mint,mint,,3,idle,,1,sad,,13,angry,
d_main_38_06_73,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_73,True,,10,10,1.0,,anis,anis,,3,idle,,1,worry,,13,angry,
d_main_38_06_74,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_74,True,,10,1,1.0,,anis,anis,,3,idle,,1,sad,,13,angry,
d_main_38_06_75,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_75,True,,1,12,1.0,,mint,mint,,3,idle,,1,sad,,13,shy,
d_main_38_06_76,d_main_38_06,Speech,Locale_MainScenario:d_main_38_06_76,True,,12,12,1.0,,mint,mint,,3,idle,,1,sad,,13,shy,
