id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_32_af_01_1,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_1,False,Hospital,3,S_300,0.5,none,,,,,,,,,,,,,
d_main_32_af_01_2,d_main_32_af_01,Monologue,Locale_MainScenario:d_main_32_af_01_2,False,,S_300,S_300,1.0,,,,,,,,,,,,,,
d_main_32_af_01_3,d_main_32_af_01,Monologue,Locale_MainScenario:d_main_32_af_01_3,False,,S_300,S_300,1.0,bgm_story_treatment,,,,,,,,,,,,,
d_main_32_af_01_4,d_main_32_af_01,Monologue,Locale_MainScenario:d_main_32_af_01_4,False,,S_300,S_30,1.0,,,,,,,,,,,,,,
d_main_32_af_01_5,d_main_32_af_01,Monologue,Locale_MainScenario:d_main_32_af_01_5,False,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_main_32_af_01_6,d_main_32_af_01,Monologue,Locale_MainScenario:d_main_32_af_01_6,False,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_main_32_af_01_7,d_main_32_af_01,Monologue,Locale_MainScenario:d_main_32_af_01_7,False,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_main_32_af_01_8,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_8,False,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_main_32_af_01_9,d_main_32_af_01,Monologue,Locale_MainScenario:d_main_32_af_01_9,False,,S_30,3,1.0,,sfx_scn_blanket,,,,,,,,,,,,
d_main_32_af_01_10,d_main_32_af_01,Monologue,Locale_MainScenario:d_main_32_af_01_10,False,,3,1,1.0,,,,,,,,,,,,,,
d_main_32_af_01_11,d_main_32_af_01,Monologue,Locale_MainScenario:d_main_32_af_01_11,False,,1,1,1.0,,,,,,,,,,,,,,
d_main_32_af_01_12,d_main_32_af_01,Monologue,Locale_MainScenario:d_main_32_af_01_12,False,,1,1,1.0,,,cinderella,1,idle,,,,,,,,,
d_main_32_af_01_13,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_13,False,,1,1,1.0,,,,1,idle,cinderella,,,,,,,,
d_main_32_af_01_14,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_14,True,,1,S_10,1.0,,,,1,idle,cinderella,cinderella,,,,,,,
d_main_32_af_01_15,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_15,True,,S_10,S_10,1.0,,,,1,idle,cinderella,cinderella,,,,,,,
d_main_32_af_01_16,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_16,False,,S_10,S_10,1.0,,,,1,idle,cinderella,,,,,,,,
d_main_32_af_01_17,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_17,True,,S_10,S_10,1.0,,,,1,delight,cinderella,cinderella,,,,,,,
d_main_32_af_01_18,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_18,True,,S_10,S_10,1.0,,,,1,delight,cinderella,cinderella,,,,,,,
d_main_32_af_01_19,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_19,False,,S_10,S_10,1.0,,,,1,delight,cinderella,,,,,,,,
d_main_32_af_01_20,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_20,True,,S_10,S_10,1.0,,,,1,idle,cinderella,cinderella,,,,,,,
d_main_32_af_01_21,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_21,True,,S_10,S_10,1.0,,,,1,idle,cinderella,cinderella,,,,,,,
d_main_32_af_01_22,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_22,True,,S_10,S_10,1.0,,,,1,idle,cinderella,cinderella,,,,,,,
d_main_32_af_01_23,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_23,True,,S_10,S_10,1.0,,,,1,idle,cinderella,cinderella,,,,,,,
d_main_32_af_01_24,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_24,True,,S_10,1,1.0,,,,1,idle,cinderella,cinderella,,,,,,,
d_main_32_af_01_25,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_25,True,,1,1,1.0,,,,1,idle,cinderella,cinderella,,,,,,,
d_main_32_af_01_26,d_main_32_af_01,Monologue,Locale_MainScenario:d_main_32_af_01_26,False,CountryVillage_d,1,13,1.0,,,,1,idle,,,cinderella,,,,,,
d_main_32_af_01_27,d_main_32_af_01,Monologue,Locale_MainScenario:d_main_32_af_01_27,False,,13,13,1.0,,,,,,,,,,,,,,
d_main_32_af_01_28,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_28,True,,13,13,1.0,,,,,,anis,anis,,anis,13,idle,neon,15,idle
d_main_32_af_01_29,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_29,True,,13,1315,1.0,,,,,,neon,neon,,,13,idle,,15,idle
d_main_32_af_01_30,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_30,False,,1315,1315,1.0,,,,,,neon,,,,13,idle,,15,idle
d_main_32_af_01_31,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_31,False,,1315,1315,1.0,,,,,,neon,,,,13,idle,,15,idle
d_main_32_af_01_32,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_32,True,,1315,1315,1.0,,,,,,anis,anis,,,13,idle,,15,idle
d_main_32_af_01_33,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_33,True,,1315,1315,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_34,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_34,True,,1315,1315,1.0,,,,,,neon,neon,,,13,worry,,15,idle
d_main_32_af_01_35,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_35,True,,1315,1315,1.0,,,,,,anis,anis,,,13,worry,,15,idle
