id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
d_subquest_1281_e_1,d_subquest_1281_e,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1281_e_1,True,neon,4,idle,anis,1,idle,rapi,13,idle,WasteLand_03,13,130,1.0,bgm_story_shopperholic,
d_subquest_1281_e_2,d_subquest_1281_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1281_e_2,True,,4,no,,1,idle,,13,idle,,S_40,S_40,1.0,,
d_subquest_1281_e_3,d_subquest_1281_e,Self,neon,Self,Locale_SubScenario:d_subquest_1281_e_3,False,,4,no,,1,idle,,13,idle,,S_40,S_40,1.0,,
d_subquest_1281_e_4,d_subquest_1281_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1281_e_4,True,,4,no,,1,idle,,13,idle,,S_40,1,2.0,,
d_subquest_1281_e_5,d_subquest_1281_e,Self,anis,Self,Locale_SubScenario:d_subquest_1281_e_5,False,,4,idle,,1,idle,,13,idle,,1,1,1.0,,
d_subquest_1281_e_6,d_subquest_1281_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1281_e_6,True,,4,idle,,1,delight,,13,idle,,1,10,2.0,,
d_subquest_1281_e_7,d_subquest_1281_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1281_e_7,True,,4,idle,,1,delight,,13,idle,,10,10,1.0,,
d_subquest_1281_e_8,d_subquest_1281_e,Narration,neon,Narration,Locale_SubScenario:d_subquest_1281_e_8,False,,4,surprise,,1,delight,,13,idle,,10,4,1.0,,sfx_scn_smallalarm
d_subquest_1281_e_9,d_subquest_1281_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1281_e_9,True,,4,surprise,,1,idle,,13,idle,,4,4,1.0,,
d_subquest_1281_e_10,d_subquest_1281_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1281_e_10,True,,4,worry,,1,worry,,13,idle,,1,1,1.0,,
d_subquest_1281_e_11,d_subquest_1281_e,Self,anis,Self,Locale_SubScenario:d_subquest_1281_e_11,False,,4,worry,,1,worry,,13,idle,,1,1,1.0,,
d_subquest_1281_e_12,d_subquest_1281_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1281_e_12,True,,4,idle,,1,delight,,13,idle,,1,10,1.0,,
