id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_goddessofvictory_08_1,d_ex_goddessofvictory_08,Monologue,Locale_SuddenStory:d_ex_goddessofvictory_08_1,False,WingOfVictory,12,12,1.0,bgm_story_leisuretime,,,,,,,cocoa,1,serious,,privaty_m,13,idle,
d_ex_goddessofvictory_08_2,d_ex_goddessofvictory_08,Monologue,Locale_SuddenStory:d_ex_goddessofvictory_08_2,False,,12,12,1.0,,,,,,,,,1,serious,,,13,idle,
d_ex_goddessofvictory_08_3,d_ex_goddessofvictory_08,Speech,Locale_SuddenStory:d_ex_goddessofvictory_08_3,True,,12,XS_10,1.0,,cocoa,cocoa,,,,,,1,serious,,,13,idle,
d_ex_goddessofvictory_08_4,d_ex_goddessofvictory_08,Speech,Locale_SuddenStory:d_ex_goddessofvictory_08_4,True,,XS_10,XS_100,1.0,,cocoa,cocoa,,,,,,1,delight,,,13,idle,
d_ex_goddessofvictory_08_5,d_ex_goddessofvictory_08,Speech,Locale_SuddenStory:d_ex_goddessofvictory_08_5,True,,XS_100,12,1.0,,privaty_m,privaty_m,,,,,,1,delight,,,13,idle,
d_ex_goddessofvictory_08_6,d_ex_goddessofvictory_08,Speech,Locale_SuddenStory:d_ex_goddessofvictory_08_6,True,,12,12,1.0,,cocoa,cocoa,,,,,,1,idle,,,13,idle,
d_ex_goddessofvictory_08_7,d_ex_goddessofvictory_08,Speech,Locale_SuddenStory:d_ex_goddessofvictory_08_7,True,,12,12,1.0,,cocoa,cocoa,,,,,,1,idle,,,13,idle,
d_ex_goddessofvictory_08_8,d_ex_goddessofvictory_08,Narration,Locale_SuddenStory:d_ex_goddessofvictory_08_8,False,,12,XS_10,1.0,,cocoa,,sfx_scn_1skippingstones,,,,,1,idle,,,13,idle,
d_ex_goddessofvictory_08_9,d_ex_goddessofvictory_08,Speech,Locale_SuddenStory:d_ex_goddessofvictory_08_9,True,,XS_10,XS_10,1.0,,cocoa,cocoa,,,,,,1,idle,,,13,idle,
d_ex_goddessofvictory_08_10,d_ex_goddessofvictory_08,Speech,Locale_SuddenStory:d_ex_goddessofvictory_08_10,True,,XS_10,XS_10,1.0,,cocoa,cocoa,,,,,,1,idle,,,13,idle,
d_ex_goddessofvictory_08_11,d_ex_goddessofvictory_08,Speech,Locale_SuddenStory:d_ex_goddessofvictory_08_11,True,,XS_10,XS_10,1.0,,cocoa,cocoa,,,,,,1,idle,,,13,idle,
d_ex_goddessofvictory_08_12,d_ex_goddessofvictory_08,Speech,Locale_SuddenStory:d_ex_goddessofvictory_08_12,True,,XS_10,XS_100,1.0,,cocoa,cocoa,,Low_2,,,,1,delight,,,13,idle,
d_ex_goddessofvictory_08_13,d_ex_goddessofvictory_08,Speech,Locale_SuddenStory:d_ex_goddessofvictory_08_13,True,,130,130,1.0,,privaty_m,privaty_m,,,,,,1,delight,,,13,sad,
d_ex_goddessofvictory_08_14,d_ex_goddessofvictory_08,Speech,Locale_SuddenStory:d_ex_goddessofvictory_08_14,True,,130,130,1.0,,privaty_m,privaty_m,,,,,,1,delight,,,13,sad,
d_ex_goddessofvictory_08_15,d_ex_goddessofvictory_08,Speech,Locale_SuddenStory:d_ex_goddessofvictory_08_15,True,,XS_100,XS_100,1.0,,cocoa,cocoa,,,,,,1,serious,,,13,sad,
d_ex_goddessofvictory_08_16,d_ex_goddessofvictory_08,Speech,Locale_SuddenStory:d_ex_goddessofvictory_08_16,True,,XS_100,12,1.0,,privaty_m,privaty_m,,,,,,1,serious,,,13,sad2,
