id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id
d_main_25_07_s_1,d_main_25_07_s,Speech,anis,anis,Locale_MainScenario:d_main_25_07_s_1,True,dorothy,3,think,anis,1,idle,neon,13,idle,CityForest_02_n,12,12,1.0,bgm_chaser,
d_main_25_07_s_2,d_main_25_07_s,Speech,neon,neon,Locale_MainScenario:d_main_25_07_s_2,True,,3,think,,1,idle,,13,idle,,12,12,1.0,,
d_main_25_07_s_3,d_main_25_07_s,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_07_s_3,True,,3,think,,1,idle,,13,idle,,12,2,1.0,,
d_main_25_07_s_4,d_main_25_07_s,Speech,anis,anis,Locale_MainScenario:d_main_25_07_s_4,True,,3,think,,1,void,,13,idle,,2,2,1.0,,
d_main_25_07_s_5,d_main_25_07_s,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_07_s_5,True,,3,think,,1,void,,13,idle,,2,2,1.0,,
d_main_25_07_s_6,d_main_25_07_s,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_07_s_6,True,,3,think,,1,void,,13,idle,,2,2,1.0,,
d_main_25_07_s_7,d_main_25_07_s,Speech,neon,neon,Locale_MainScenario:d_main_25_07_s_7,True,,3,think,,1,void,,13,surprise,,S_130,S_130,1.0,,
d_main_25_07_s_8,d_main_25_07_s,Speech,neon,neon,Locale_MainScenario:d_main_25_07_s_8,True,,3,think,,1,void,,13,surprise,,S_130,S_130,1.0,,
d_main_25_07_s_9,d_main_25_07_s,Speech,dorothy,dorothy,Locale_MainScenario:d_main_25_07_s_9,True,,3,angry,,1,void,,13,surprise,,30,30,1.0,,
d_main_25_07_s_10,d_main_25_07_s,Speech,neon,neon,Locale_MainScenario:d_main_25_07_s_10,True,,3,think,,1,void,,13,delight,,S_130,S_130,1.0,,
