id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_ex_clothingstore_02_1,d_ex_clothingstore_02,Speech,belorta,belorta,Locale_SuddenStory:d_ex_clothingstore_02_1,True,ClothingStore,XS_10,XS_10,1.0,bgm_story_languor,,,belorta,1,delight,alice,13,idle,mica,3,idle,,,
d_ex_clothingstore_02_2,d_ex_clothingstore_02,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_02_2,True,,S_130,S_130,0.5,,,,,1,idle,,13,delight,,3,idle,,,
d_ex_clothingstore_02_3,d_ex_clothingstore_02,Speech,mica,mica,Locale_SuddenStory:d_ex_clothingstore_02_3,True,,XS_30,XS_30,0.5,,,,,1,idle,,13,idle,,3,delight,,,
d_ex_clothingstore_02_4,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_4,False,,XS_30,31,1.0,,,,,1,idle,,13,idle,,3,delight,,,
d_ex_clothingstore_02_5,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_5,False,,31,31,1.0,,,,,1,idle,,13,idle,,3,delight,,,
d_ex_clothingstore_02_6,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_6,False,,31,113,1.0,,,,,1,idle,,13,idle,,3,delight,,,
d_ex_clothingstore_02_7,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_7,False,,113,113,1.0,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_8,d_ex_clothingstore_02,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_02_8,True,,113,S_130,1.0,,,,,1,idle,,13,delight,,3,idle,,,
d_ex_clothingstore_02_9,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_9,False,,S_130,S_130,1.0,,,,,1,idle,,13,delight,,3,idle,,,
d_ex_clothingstore_02_10,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_10,False,,S_130,S_130,1.0,,,,,1,idle,,13,delight,,3,idle,,,
d_ex_clothingstore_02_11,d_ex_clothingstore_02,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_02_11,True,,S_130,S_130,1.0,,,,,1,idle,,13,delight,,3,idle,,,
d_ex_clothingstore_02_12,d_ex_clothingstore_02,Speech,belorta,belorta,Locale_SuddenStory:d_ex_clothingstore_02_12,True,,S_130,113,1.0,,,,,1,angry,,13,delight,,3,idle,,,
d_ex_clothingstore_02_13,d_ex_clothingstore_02,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_02_13,True,,113,113,1.0,,,,,1,angry,,13,delight,,3,idle,,,
d_ex_clothingstore_02_14,d_ex_clothingstore_02,Choice,,,Locale_SuddenStory:d_ex_clothingstore_02_14,False,,113,113,1.0,,d_ex_clothingstore_02_16,,,1,angry,,13,delight,,3,idle,,,
d_ex_clothingstore_02_15,d_ex_clothingstore_02,Choice,,,Locale_SuddenStory:d_ex_clothingstore_02_15,False,,113,113,1.0,,d_ex_clothingstore_02_17,,,1,angry,,13,delight,,3,idle,,,
d_ex_clothingstore_02_16,d_ex_clothingstore_02,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_02_16,True,,113,S_130,1.0,,d_ex_clothingstore_02_18,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_17,d_ex_clothingstore_02,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_02_17,True,,113,S_130,1.0,,d_ex_clothingstore_02_18,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_18,d_ex_clothingstore_02,Speech,belorta,belorta,Locale_SuddenStory:d_ex_clothingstore_02_18,True,,S_130,S_130,1.0,,,,,1,delight,,13,idle,,3,idle,,,
d_ex_clothingstore_02_19,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_19,False,,S_130,XS_10,1.0,,,,,1,delight,,13,idle,,3,idle,,,
d_ex_clothingstore_02_20,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_20,False,,XS_10,XS_10,1.0,,,,,1,delight,,13,idle,,3,idle,,,
d_ex_clothingstore_02_21,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_21,False,,XS_10,XS_10,1.0,,,,,1,delight,,13,idle,,3,idle,,,
d_ex_clothingstore_02_22,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_22,False,,XS_10,XS_10,1.0,,,,,1,delight,,13,idle,,3,idle,,,
d_ex_clothingstore_02_23,d_ex_clothingstore_02,Speech,belorta,belorta,Locale_SuddenStory:d_ex_clothingstore_02_23,True,,XS_10,113,1.0,,,,,1,delight,,13,idle,,3,idle,,,
d_ex_clothingstore_02_24,d_ex_clothingstore_02,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_02_24,True,,113,113,1.0,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_25,d_ex_clothingstore_02,Speech,mica,mica,Locale_SuddenStory:d_ex_clothingstore_02_25,True,,113,31,1.0,,,,,1,idle,,13,idle,,3,delight,,,
d_ex_clothingstore_02_26,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_26,False,,black,black,1.0,,,,,1,idle,,13,idle,,3,delight,,,
d_ex_clothingstore_02_27,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_27,False,,black,black,1.0,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_28,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_28,False,,black,black,1.0,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_29,d_ex_clothingstore_02,Speech,belorta,belorta,Locale_SuddenStory:d_ex_clothingstore_02_29,True,,XS_10,XS_10,1.0,none,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_30,d_ex_clothingstore_02,Self,,,Locale_SuddenStory:d_ex_clothingstore_02_30,False,,XS_10,XS_10,1.0,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_31,d_ex_clothingstore_02,Speech,belorta,belorta,Locale_SuddenStory:d_ex_clothingstore_02_31,True,,XS_10,XS_10,0.5,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_32,d_ex_clothingstore_02,Speech,mica,mica,Locale_SuddenStory:d_ex_clothingstore_02_32,True,,XS_30,XS_30,0.5,,,,,1,idle,,13,idle,,3,delight,,,
d_ex_clothingstore_02_33,d_ex_clothingstore_02,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_02_33,True,,S_130,S_130,2.0,,,,,1,idle,,13,delight,,3,delight,,,
d_ex_clothingstore_02_34,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_34,False,,S_130,XS_30,3.0,,,,,1,delight,,13,delight,,3,delight,,,
d_ex_clothingstore_02_35,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_35,False,,XS_30,31,1.0,,,,,1,delight,,13,delight,,3,delight,,,
d_ex_clothingstore_02_36,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_36,False,,31,113,1.0,,,,,1,delight,,13,delight,,3,delight,,,
d_ex_clothingstore_02_37,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_37,False,,black,black,1.0,,,,,1,delight,,13,delight,,3,delight,,,
d_ex_clothingstore_02_38,d_ex_clothingstore_02,Narration,,,Locale_SuddenStory:d_ex_clothingstore_02_38,False,,black,black,1.0,,,,,1,delight,,13,delight,,3,delight,,,
d_ex_clothingstore_02_39,d_ex_clothingstore_02,Speech,belorta,belorta,Locale_SuddenStory:d_ex_clothingstore_02_39,True,,black,black,1.0,bgm_story_herecomestrouble,,,,1,delight,,13,delight,,3,delight,,,
d_ex_clothingstore_02_40,d_ex_clothingstore_02,Speech,mica,mica,Locale_SuddenStory:d_ex_clothingstore_02_40,True,,black,black,1.0,,,,,1,delight,,13,delight,,3,delight,,,
d_ex_clothingstore_02_41,d_ex_clothingstore_02,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_02_41,True,,black,black,1.0,,,,,1,delight,,13,delight,,3,delight,,,
d_ex_clothingstore_02_42,d_ex_clothingstore_02,Speech,belorta,belorta,Locale_SuddenStory:d_ex_clothingstore_02_42,True,,XS_10,XS_100,0.5,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_43,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_43,False,,XS_100,XS_100,1.0,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_44,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_44,False,,XS_100,XS_10,1.0,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_45,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_45,False,,XS_10,XS_10,1.0,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_46,d_ex_clothingstore_02,Choice,,,Locale_SuddenStory:d_ex_clothingstore_02_46,False,,XS_10,XS_10,1.0,,d_ex_clothingstore_02_48,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_47,d_ex_clothingstore_02,Choice,,,Locale_SuddenStory:d_ex_clothingstore_02_47,False,,XS_10,XS_10,1.0,,d_ex_clothingstore_02_52,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_48,d_ex_clothingstore_02,Speech,belorta,belorta,Locale_SuddenStory:d_ex_clothingstore_02_48,True,,XS_10,XS_100,0.5,,,,,1,delight,,13,idle,,3,idle,,,
d_ex_clothingstore_02_49,d_ex_clothingstore_02,Speech,belorta,belorta,Locale_SuddenStory:d_ex_clothingstore_02_49,True,,XS_100,XS_100,1.0,,,,,1,delight,,13,idle,,3,idle,,,
d_ex_clothingstore_02_50,d_ex_clothingstore_02,Speech,belorta,belorta,Locale_SuddenStory:d_ex_clothingstore_02_50,True,,XS_100,XS_100,0.5,,,,,1,delight,,13,idle,,3,idle,,,
d_ex_clothingstore_02_51,d_ex_clothingstore_02,Speech,mica,mica,Locale_SuddenStory:d_ex_clothingstore_02_51,True,,XS_30,XS_30,1.0,,d_ex_clothingstore_02_55,,,1,idle,,13,idle,,3,delight,,,
d_ex_clothingstore_02_52,d_ex_clothingstore_02,Speech,belorta,belorta,Locale_SuddenStory:d_ex_clothingstore_02_52,True,,XS_10,XS_10,1.0,,,,,1,angry,,13,idle,,3,idle,,,
d_ex_clothingstore_02_53,d_ex_clothingstore_02,Speech,belorta,belorta,Locale_SuddenStory:d_ex_clothingstore_02_53,True,,XS_10,XS_100,1.0,,,,,1,angry,,13,idle,,3,idle,,,
d_ex_clothingstore_02_54,d_ex_clothingstore_02,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_02_54,True,,S_130,S_130,1.0,,d_ex_clothingstore_02_55,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_55,d_ex_clothingstore_02,Speech,belorta,belorta,Locale_SuddenStory:d_ex_clothingstore_02_55,True,,XS_10,XS_10,1.0,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_56,d_ex_clothingstore_02,Speech,belorta,belorta,Locale_SuddenStory:d_ex_clothingstore_02_56,True,,XS_10,XS_10,1.0,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_57,d_ex_clothingstore_02,Speech,mica,mica,Locale_SuddenStory:d_ex_clothingstore_02_57,True,,XS_10,31,0.5,,,,,1,idle,,13,idle,,3,worry,,,
d_ex_clothingstore_02_58,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_58,False,,31,31,0.5,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_59,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_59,False,,31,31,1.0,,,,,1,idle,,13,idle,,3,idle,,,
