id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade,play_sound,set_camera_shake,characters/2/hide_char_id,characters/3/hide_char_id
d_main_23_07_e_1,d_main_23_07_e,Narration,Locale_MainScenario:d_main_23_07_e_1,False,OuterRim,6,6,1.0,bgm_greyhaze_b,,,,,,,,,,,,,,,,,,,,,
d_main_23_07_e_2,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_2,True,,6,6,1.0,,outerrimman,outerrimman,sakura,7,idle,outerrimman,5,idle,,,,,,,,,,,,,
d_main_23_07_e_3,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_3,True,,6,6,1.0,,outerrimman,outerrimman,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_4,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_4,True,,6,6,1.0,,sakura,sakura,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_5,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_5,True,,6,6,1.0,,sakura,sakura,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_6,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_6,True,,6,6,1.0,,outerrimman,outerrimman,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_7,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_7,True,,6,6,1.0,,outerrimman,outerrimman,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_8,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_8,True,,6,6,1.0,,outerrimman,outerrimman,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_9,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_9,True,,6,6,1.0,,outerrimman,outerrimman,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_10,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_10,True,,6,6,1.0,,sakura,sakura,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_11,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_11,True,,6,6,1.0,,outerrimman,outerrimman,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_12,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_12,True,,6,6,1.0,,sakura,sakura,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_13,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_13,True,,6,6,1.0,,sakura,sakura,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_14,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_14,True,,6,6,1.0,,sakura,sakura,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_15,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_15,False,,6,6,1.0,,outerrimman,outerrimman,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_16,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_16,True,,6,6,1.0,,sakura,sakura,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_17,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_17,True,,6,6,1.0,,sakura,sakura,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_18,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_18,True,,6,6,1.0,,outerrimman,outerrimman,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_19,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_19,True,,6,6,1.0,,outerrimman,outerrimman,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_20,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_20,True,,6,6,1.0,,sakura,sakura,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_21,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_21,True,,6,6,1.0,,sakura,sakura,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_22,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_22,True,,6,6,1.0,,sakura,sakura,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_23,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_23,False,,6,6,1.0,,outerrimman,outerrimman,,7,idle,,5,idle,,,,,,,,,,,,,
d_main_23_07_e_24,d_main_23_07_e,Speech,Locale_MainScenario:d_main_23_07_e_24,True,,6,70,1.0,,sakura,sakura,,7,angry,,5,idle,,,,,,,,,,,,,
