id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_maidcafe_07_1,d_ex_maidcafe_07,Monologue,Monologue,Locale_SuddenStory:d_ex_maidcafe_07_1,True,MaidCafe,2,12,1.0,sfx_scn_chimebell,none,,,tia,12,delight,,,,
d_ex_maidcafe_07_2,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_2,True,,12,12,1.0,,bgm_story_backtonormal,tia,,,12,delight,,,,
d_ex_maidcafe_07_3,d_ex_maidcafe_07,Narration,Narration,Locale_SuddenStory:d_ex_maidcafe_07_3,True,,12,1200,0.5,,,,,,12,delight,,,,
d_ex_maidcafe_07_4,d_ex_maidcafe_07,Self,Self,Locale_SuddenStory:d_ex_maidcafe_07_4,False,,1200,1200,1.0,,,,,,12,delight,,,,
d_ex_maidcafe_07_5,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_5,True,,1200,12,0.5,,,tia,,,12,delight,,,,
d_ex_maidcafe_07_6,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_6,True,,12,12,1.0,,,tia,,,12,delight,,,,
d_ex_maidcafe_07_7,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_7,True,,12,12,1.0,,,tia,,,12,delight,,,,
d_ex_maidcafe_07_8,d_ex_maidcafe_07,Monologue,Monologue,Locale_SuddenStory:d_ex_maidcafe_07_8,False,,12,6,2.0,,,,,,12,idle,,,,
d_ex_maidcafe_07_9,d_ex_maidcafe_07,Monologue,Monologue,Locale_SuddenStory:d_ex_maidcafe_07_9,False,,6,14,2.0,,,,,,14,idle,,,,
d_ex_maidcafe_07_10,d_ex_maidcafe_07,Self,Self,Locale_SuddenStory:d_ex_maidcafe_07_10,False,,14,14,1.0,,,,,,14,idle,,,,
d_ex_maidcafe_07_11,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_11,True,,14,14,1.0,,,tia,,,14,idle,,,,
d_ex_maidcafe_07_12,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_12,True,,14,14,1.0,,,tia,,,14,idle,,,,
d_ex_maidcafe_07_13,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_13,True,,14,14,1.0,,,tia,,,14,idle,,,,
d_ex_maidcafe_07_14,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_14,True,,14,14,1.0,,,tia,,,14,idle,,,,
d_ex_maidcafe_07_15,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_15,True,,14,14,1.0,,,tia,,,14,idle,,,,
d_ex_maidcafe_07_16,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_16,True,,14,14,1.0,,,tia,,,14,idle,,,,
d_ex_maidcafe_07_17,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_17,True,,14,14,1.0,,,tia,,,14,delight,,,,
d_ex_maidcafe_07_18,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_18,True,,14,14,1.0,,,tia,,,14,delight,,,,
d_ex_maidcafe_07_19,d_ex_maidcafe_07,Monologue,Monologue,Locale_SuddenStory:d_ex_maidcafe_07_19,False,,black,black,1.0,,,,,,14,delight,,,,
d_ex_maidcafe_07_20,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_20,True,,14,14,1.0,,,tia,,,14,delight,,,,
d_ex_maidcafe_07_21,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_21,True,,14,140,0.5,,,tia,,,14,delight,,,,
d_ex_maidcafe_07_22,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_22,True,,140,1400,0.5,,,tia,,,14,delight,,,,
d_ex_maidcafe_07_23,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_23,True,,1400,1400,1.0,,,tia,,,14,delight,,,,
d_ex_maidcafe_07_24,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_24,True,,1400,1400,1.0,,,tia,,,14,delight,,,,
d_ex_maidcafe_07_25,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_25,True,,1400,14,0.5,,,tia,,,14,delight,,,,
d_ex_maidcafe_07_26,d_ex_maidcafe_07,Narration,Narration,Locale_SuddenStory:d_ex_maidcafe_07_26,False,,14,14,1.0,sfx_scn_shutter,,,,,14,delight,,,,
d_ex_maidcafe_07_27,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_27,True,,14,13,0.5,,,tia,,,14,worry,,,,
d_ex_maidcafe_07_28,d_ex_maidcafe_07,Narration,Narration,Locale_SuddenStory:d_ex_maidcafe_07_28,False,,13,13,1.0,sfx_scn_shutter,,,,,14,worry,,,,
d_ex_maidcafe_07_29,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_29,True,,13,15,0.5,,,tia,,,14,worry,,,,
d_ex_maidcafe_07_30,d_ex_maidcafe_07,Narration,Narration,Locale_SuddenStory:d_ex_maidcafe_07_30,False,,15,15,1.0,sfx_scn_shutter,,,,,14,worry,,,,
d_ex_maidcafe_07_31,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_31,True,,15,14,0.5,,,tia,,,14,worry,,,,
d_ex_maidcafe_07_32,d_ex_maidcafe_07,Narration,Narration,Locale_SuddenStory:d_ex_maidcafe_07_32,False,,14,14,1.0,sfx_scn_3shutter,,,,,14,worry,,,,
d_ex_maidcafe_07_33,d_ex_maidcafe_07,Monologue,Monologue,Locale_SuddenStory:d_ex_maidcafe_07_33,False,,black,black,1.0,,,,,,14,worry,,,,
d_ex_maidcafe_07_34,d_ex_maidcafe_07,Monologue,Monologue,Locale_SuddenStory:d_ex_maidcafe_07_34,False,,black,black,1.0,,,,,,14,worry,,,,
d_ex_maidcafe_07_35,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_35,True,,14,14,1.0,,,tia,,,14,delight,,,,
d_ex_maidcafe_07_36,d_ex_maidcafe_07,Self,Self,Locale_SuddenStory:d_ex_maidcafe_07_36,False,,14,14,1.0,,,,,,14,delight,,,,
d_ex_maidcafe_07_37,d_ex_maidcafe_07,Choice,,Locale_SuddenStory:d_ex_maidcafe_07_37,False,,14,14,1.0,,,,d_ex_maidcafe_07_39,,14,idle,,,,
d_ex_maidcafe_07_38,d_ex_maidcafe_07,Choice,,Locale_SuddenStory:d_ex_maidcafe_07_38,False,,14,14,1.0,,,,d_ex_maidcafe_07_41,,14,delight,,,,
d_ex_maidcafe_07_39,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_39,True,,14,14,1.0,,,tia,,,14,idle,,,,
d_ex_maidcafe_07_40,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_40,True,,14,14,1.0,,,tia,d_ex_maidcafe_07_43,,14,idle,,,,
d_ex_maidcafe_07_41,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_41,True,,14,14,1.0,,,tia,,,14,delight,,,,
d_ex_maidcafe_07_42,d_ex_maidcafe_07,Speech,tia,Locale_SuddenStory:d_ex_maidcafe_07_42,True,,14,14,1.0,,,tia,,,14,delight,,,,
d_ex_maidcafe_07_43,d_ex_maidcafe_07,Monologue,Monologue,Locale_SuddenStory:d_ex_maidcafe_07_43,False,,14,14,1.0,,,,,,14,delight,,,,
d_ex_maidcafe_07_44,d_ex_maidcafe_07,Speech,marciana,Locale_SuddenStory:d_ex_maidcafe_07_44,True,,14,120,1.0,,,marciana,,,14,delight,marciana,12,delight,
