id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,characters/0/hide_char_id,play_sound
d_ex_goddessofvictory_01_1,d_ex_goddessofvictory_01,Monologue,Locale_SuddenStory:d_ex_goddessofvictory_01_1,False,Park,1,1,1.0,bgm_story_orangepop,,,,,,,,,
d_ex_goddessofvictory_01_2,d_ex_goddessofvictory_01,Monologue,Locale_SuddenStory:d_ex_goddessofvictory_01_2,False,,1,1,1.0,,,,,,,,,,
d_ex_goddessofvictory_01_3,d_ex_goddessofvictory_01,Monologue,Locale_SuddenStory:d_ex_goddessofvictory_01_3,False,,1,1,1.0,,,,,,,,,,
d_ex_goddessofvictory_01_4,d_ex_goddessofvictory_01,Choice,Locale_SuddenStory:d_ex_goddessofvictory_01_4,False,,1,1,1.0,,d_ex_goddessofvictory_01_6,,,,,,,,
d_ex_goddessofvictory_01_5,d_ex_goddessofvictory_01,Choice,Locale_SuddenStory:d_ex_goddessofvictory_01_5,False,,1,1,1.0,,d_ex_goddessofvictory_01_8,,,,,,,,
d_ex_goddessofvictory_01_6,d_ex_goddessofvictory_01,Narration,Locale_SuddenStory:d_ex_goddessofvictory_01_6,False,,1,1,1.0,,,,,,,,,,
d_ex_goddessofvictory_01_7,d_ex_goddessofvictory_01,Monologue,Locale_SuddenStory:d_ex_goddessofvictory_01_7,False,,1,1,1.0,,d_ex_goddessofvictory_01_11,,,,,,,,
d_ex_goddessofvictory_01_8,d_ex_goddessofvictory_01,Narration,Locale_SuddenStory:d_ex_goddessofvictory_01_8,False,,1,1,1.0,,,,,,,,,,
d_ex_goddessofvictory_01_9,d_ex_goddessofvictory_01,Monologue,Locale_SuddenStory:d_ex_goddessofvictory_01_9,False,,1,1,1.0,,,,,,,,,,
d_ex_goddessofvictory_01_10,d_ex_goddessofvictory_01,Self,Locale_SuddenStory:d_ex_goddessofvictory_01_10,False,,1,1,1.0,,d_ex_goddessofvictory_01_11,,,,,,,,
d_ex_goddessofvictory_01_11,d_ex_goddessofvictory_01,Speech,Locale_SuddenStory:d_ex_goddessofvictory_01_11,True,,1,1,1.0,,,snowwhite,unknown,snowwhite,1,special,Blur_Middle,,
