id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target
d_ex_clothingstore_07_1,d_ex_clothingstore_07,Narration,Locale_SuddenStory:d_ex_clothingstore_07_1,False,ClothingStore,12,12,1.0,sfx_scn_chimebell,bgm_story_leisuretime,,,,,,,,,
d_ex_clothingstore_07_2,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_2,True,,12,12,1.0,,,soda,soda,ade,1,idle,soda,13,idle,
d_ex_clothingstore_07_3,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_3,True,,12,12,1.0,,,soda,soda,,1,idle,,13,idle,
d_ex_clothingstore_07_4,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_4,True,,12,12,1.0,,,soda,soda,,1,idle,,13,idle,
d_ex_clothingstore_07_5,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_5,True,,12,12,1.0,,,ade,ade,,1,idle,,13,idle,
d_ex_clothingstore_07_6,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_6,True,,12,12,1.0,,,ade,ade,,1,idle,,13,idle,
d_ex_clothingstore_07_7,d_ex_clothingstore_07,Self,Locale_SuddenStory:d_ex_clothingstore_07_7,False,,12,12,1.0,,,ade,,,1,idle,,13,idle,
d_ex_clothingstore_07_8,d_ex_clothingstore_07,Self,Locale_SuddenStory:d_ex_clothingstore_07_8,False,,12,12,1.0,,,ade,,,1,idle,,13,idle,
d_ex_clothingstore_07_9,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_9,True,,12,12,1.0,,,ade,ade,,1,idle,,13,idle,
d_ex_clothingstore_07_10,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_10,True,,12,12,1.0,,,ade,ade,,1,idle,,13,idle,
d_ex_clothingstore_07_11,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_11,True,,12,12,1.0,,,ade,ade,,1,idle,,13,idle,
d_ex_clothingstore_07_12,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_12,True,,12,S_130,1.0,,,soda,soda,,1,idle,,13,idle,
d_ex_clothingstore_07_13,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_13,True,,S_130,S_130,1.0,,,soda,soda,,1,idle,,13,idle,
d_ex_clothingstore_07_14,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_14,True,,S_130,S_130,1.0,,,soda,soda,,1,idle,,13,idle,
d_ex_clothingstore_07_15,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_15,True,,S_130,S_130,1.0,,,soda,soda,,1,idle,,13,idle,
d_ex_clothingstore_07_16,d_ex_clothingstore_07,Self,Locale_SuddenStory:d_ex_clothingstore_07_16,False,,S_130,S_130,1.0,,,soda,,,1,idle,,13,idle,
d_ex_clothingstore_07_17,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_17,True,,S_130,S_130,1.0,,,soda,soda,,1,idle,,13,think,
d_ex_clothingstore_07_18,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_18,True,,S_130,12,1.0,,,soda,soda,,1,idle,,13,think,
d_ex_clothingstore_07_19,d_ex_clothingstore_07,Self,Locale_SuddenStory:d_ex_clothingstore_07_19,False,,12,12,1.0,,,soda,,,1,idle,,13,think,
d_ex_clothingstore_07_20,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_20,True,,12,10,1.0,,,ade,ade,,1,worried,,13,think,
d_ex_clothingstore_07_21,d_ex_clothingstore_07,Self,Locale_SuddenStory:d_ex_clothingstore_07_21,False,,10,10,1.0,,,ade,,,1,worried,,13,idle,
d_ex_clothingstore_07_22,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_22,True,,10,100,1.0,,,ade,ade,,1,worried,,13,idle,
d_ex_clothingstore_07_23,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_23,True,,100,100,1.0,,,ade,ade,,1,worried,,13,idle,
d_ex_clothingstore_07_24,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_24,True,,100,100,1.0,,,ade,ade,,1,worried,,13,idle,
d_ex_clothingstore_07_25,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_25,True,,100,100,1.0,,,ade,ade,,1,idle,,13,idle,
d_ex_clothingstore_07_26,d_ex_clothingstore_07,Self,Locale_SuddenStory:d_ex_clothingstore_07_26,False,,100,100,1.0,,,ade,,,1,idle,,13,idle,
d_ex_clothingstore_07_27,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_27,True,,100,12,1.0,,,soda,soda,,1,idle,,13,idle,
d_ex_clothingstore_07_28,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_28,True,,12,12,1.0,,,soda,soda,,1,idle,,13,sad,
d_ex_clothingstore_07_29,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_29,True,,12,12,1.0,,,soda,soda,,1,idle,,13,sad,
d_ex_clothingstore_07_30,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_30,True,,12,S_130,1.0,,,soda,soda,,1,idle,,13,idle,
d_ex_clothingstore_07_31,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_31,True,,S_130,S_130,1.0,,,soda,soda,,1,idle,,13,idle,
d_ex_clothingstore_07_32,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_32,True,,S_130,S_130,1.0,,,soda,soda,,1,idle,,13,idle,
d_ex_clothingstore_07_33,d_ex_clothingstore_07,Self,Locale_SuddenStory:d_ex_clothingstore_07_33,False,,S_130,S_130,1.0,,,soda,,,1,idle,,13,idle,
d_ex_clothingstore_07_34,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_34,True,,S_130,S_130,1.0,,,soda,soda,,1,idle,,13,idle,
d_ex_clothingstore_07_35,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_35,True,,S_130,12,1.0,,,soda,soda,,1,idle,,13,idle,
d_ex_clothingstore_07_36,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_36,True,,12,12,1.0,,,soda,soda,,1,idle,,13,idle,
d_ex_clothingstore_07_37,d_ex_clothingstore_07,Self,Locale_SuddenStory:d_ex_clothingstore_07_37,False,,12,12,1.0,,,soda,,,1,idle,,13,idle,
d_ex_clothingstore_07_38,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_38,True,,12,100,1.0,,,ade,ade,,1,idle,,13,idle,
d_ex_clothingstore_07_39,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_39,True,,100,100,1.0,,,ade,ade,,1,idle,,13,idle,
d_ex_clothingstore_07_40,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_40,True,,100,100,1.0,,,ade,ade,,1,idle,,13,idle,
d_ex_clothingstore_07_41,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_41,True,,100,100,1.0,,,ade,ade,,1,idle,,13,idle,
d_ex_clothingstore_07_42,d_ex_clothingstore_07,Self,Locale_SuddenStory:d_ex_clothingstore_07_42,False,,100,100,1.0,,,ade,,,1,idle,,13,idle,
d_ex_clothingstore_07_43,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_43,True,,S_130,S_130,1.0,,,soda,soda,,1,idle,,13,shy,
d_ex_clothingstore_07_44,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_44,True,,S_130,S_130,1.0,,,soda,soda,,1,idle,,13,shy,
d_ex_clothingstore_07_45,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_45,True,,S_130,12,1.0,,,ade,ade,,1,idle,,13,shy,
d_ex_clothingstore_07_46,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_46,True,,12,12,1.0,,,ade,ade,,1,idle,,13,shy,
d_ex_clothingstore_07_47,d_ex_clothingstore_07,Speech,Locale_SuddenStory:d_ex_clothingstore_07_47,True,,12,12,1.0,,,ade,ade,,1,idle,,13,shy,
d_ex_clothingstore_07_48,d_ex_clothingstore_07,Monologue,Locale_SuddenStory:d_ex_clothingstore_07_48,False,,12,12,1.0,,,ade,,,1,idle,,13,idle,
d_ex_clothingstore_07_49,d_ex_clothingstore_07,Monologue,Locale_SuddenStory:d_ex_clothingstore_07_49,False,,12,12,1.0,,,ade,,,1,idle,,13,idle,
d_ex_clothingstore_07_50,d_ex_clothingstore_07,Monologue,Locale_SuddenStory:d_ex_clothingstore_07_50,False,,12,12,1.0,,,ade,,,1,idle,,13,idle,
