id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/hide_char_id
d_main_33_01_1,d_main_33_01,Narration,Locale_MainScenario:d_main_33_01_1,False,CountryVillage_d,black,black,1.0,bgm_story_beforethenextstep,,,,,cinderella,1,idle,,rapi,3,idle,anis,13,void,,neon,15,idle,,,,,,,,,
d_main_33_01_2,d_main_33_01,Speech,Locale_MainScenario:d_main_33_01_2,True,,700,700,1.0,,shifty_c,shifty_c,,,,1,idle,,,3,idle,,13,void,,,15,idle,,shifty_c,OP_center,idle,,,,,
d_main_33_01_3,d_main_33_01,Speech,Locale_MainScenario:d_main_33_01_3,True,,700,700,1.0,,shifty_c,shifty_c,,,,1,idle,,,3,idle,,13,void,,,15,idle,,,OP_center,idle,,,,,
d_main_33_01_4,d_main_33_01,Speech,Locale_MainScenario:d_main_33_01_4,True,,700,700,1.0,,shifty_c,shifty_c,,,,1,idle,,,3,idle,,13,void,,,15,idle,,,OP_center,idle,,,,,
d_main_33_01_5,d_main_33_01,Speech,Locale_MainScenario:d_main_33_01_5,True,,700,700,1.0,,shifty_c,shifty_c,,,,1,idle,,,3,idle,,13,void,,,15,idle,,,OP_center,idle,,,,,
d_main_33_01_6,d_main_33_01,Self,Locale_MainScenario:d_main_33_01_6,False,,700,70,1.0,,shifty_c,,,,,1,idle,,,3,idle,,13,void,,,15,idle,,,OP_center,idle,,,,,
d_main_33_01_7,d_main_33_01,Speech,Locale_MainScenario:d_main_33_01_7,True,,130,130,1.0,,anis,anis,,,,1,idle,,,3,idle,,13,void,,,15,idle,,,OP_center,idle,shifty_c,,,,
d_main_33_01_8,d_main_33_01,Narration,Locale_MainScenario:d_main_33_01_8,False,,130,113,1.0,,anis,,,,,1,idle,,,3,idle,,13,worry,,,15,idle,,,,,,,,,
d_main_33_01_9,d_main_33_01,Speech,Locale_MainScenario:d_main_33_01_9,True,,113,113,1.0,,anis,anis,,,,1,idle,,,3,idle,,13,void,,,15,idle,,,,,,,,,
d_main_33_01_10,d_main_33_01,Self,Locale_MainScenario:d_main_33_01_10,False,,113,S_10,1.0,,shifty_r,,,,,1,idle,,,3,idle,,13,void,,,15,idle,,,,,,,,,
d_main_33_01_11,d_main_33_01,Speech,Locale_MainScenario:d_main_33_01_11,True,,S_10,S_10,1.0,,shifty_r,shifty_r,,,,1,idle,,,3,idle,,13,void,,,15,idle,,shifty_r,OP_rightup,think,,,,,
d_main_33_01_12,d_main_33_01,Speech,Locale_MainScenario:d_main_33_01_12,True,,S_10,S_10,1.0,,shifty_r,shifty_r,,,,1,idle,,,3,idle,,13,void,,,15,idle,,,OP_rightup,think,,,,,
