id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade
d_main_39_af_06_1,d_main_39_af_06,Speech,anis,anis,Locale_MainScenario:d_main_39_af_06_1,False,anis,1,sad,avistar,13,no,Hospital,100,100,1.0,bgm_inark,,
d_main_39_af_06_2,d_main_39_af_06,Speech,anis,anis,Locale_MainScenario:d_main_39_af_06_2,True,,1,sad,,13,no,,100,100,1.0,,,
d_main_39_af_06_3,d_main_39_af_06,Speech,anis,anis,Locale_MainScenario:d_main_39_af_06_3,True,,1,sad,,13,no,,100,10,1.0,,,
d_main_39_af_06_4,d_main_39_af_06,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_06_4,True,,1,sad,,13,no,,10,113,1.0,,,
d_main_39_af_06_5,d_main_39_af_06,Speech,anis,anis,Locale_MainScenario:d_main_39_af_06_5,True,,1,void,,13,no,,113,113,1.0,,,
d_main_39_af_06_6,d_main_39_af_06,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_06_6,True,,1,void,,13,no,,113,113,1.0,,,
d_main_39_af_06_7,d_main_39_af_06,Speech,anis,anis,Locale_MainScenario:d_main_39_af_06_7,True,,1,worry,,13,no,,113,113,1.0,,,
d_main_39_af_06_8,d_main_39_af_06,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_06_8,True,,1,worry,,13,no,,113,113,1.0,,,
d_main_39_af_06_9,d_main_39_af_06,Speech,anis,anis,Locale_MainScenario:d_main_39_af_06_9,True,,1,worry,,13,no,,113,113,1.0,,,
d_main_39_af_06_10,d_main_39_af_06,Speech,anis,anis,Locale_MainScenario:d_main_39_af_06_10,False,,1,worry,,13,no,,113,113,1.0,,,
d_main_39_af_06_11,d_main_39_af_06,Speech,anis,anis,Locale_MainScenario:d_main_39_af_06_11,True,,1,sad,,13,no,,10,100,0.5,,,
d_main_39_af_06_12,d_main_39_af_06,Narration,avistar,,Locale_MainScenario:d_main_39_af_06_12,False,,1,sad,,13,no,,black,black,1.0,,,
d_main_39_af_06_13,d_main_39_af_06,Speech,anis,anis,Locale_MainScenario:d_main_39_af_06_13,True,,1,sad,,13,no,,black,black,1.0,,,
d_main_39_af_06_14,d_main_39_af_06,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_06_14,False,,1,sad,,13,no,,L_1300,L_1300,1.0,,,
d_main_39_af_06_15,d_main_39_af_06,Speech,anis,anis,Locale_MainScenario:d_main_39_af_06_15,True,,1,sad,,13,no,,L_1300,100,1.0,,,
d_main_39_af_06_16,d_main_39_af_06,Speech,anis,anis,Locale_MainScenario:d_main_39_af_06_16,True,,1,sad,,13,no,,100,10,1.0,,,
d_main_39_af_06_17,d_main_39_af_06,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_06_17,True,,1,sad,,13,no,,10,113,1.0,,,
d_main_39_af_06_18,d_main_39_af_06,Speech,anis,anis,Locale_MainScenario:d_main_39_af_06_18,True,,1,worry,,13,no,,113,113,1.0,,,
d_main_39_af_06_19,d_main_39_af_06,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_06_19,True,,1,worry,,13,no,,113,113,1.0,,,
d_main_39_af_06_20,d_main_39_af_06,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_06_20,True,,1,worry,,13,no,,113,113,1.0,,,
d_main_39_af_06_21,d_main_39_af_06,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_06_21,True,,1,worry,,13,no,,113,113,1.0,,,
d_main_39_af_06_22,d_main_39_af_06,Speech,anis,anis,Locale_MainScenario:d_main_39_af_06_22,True,,1,worry,,13,no,,113,113,1.0,,,
