id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_main_19_02_1,d_main_19_02,Speech,anis,anis,Locale_MainScenario:d_main_19_02_1,True,rapi,4,idle,anis,2,idle,papillon,12,idle,neon,14,idle,WasteLand_02,3,3,1.0,bgm_peripeteia
d_main_19_02_2,d_main_19_02,Speech,anis,anis,Locale_MainScenario:d_main_19_02_2,True,,4,idle,,2,idle,,12,idle,,14,idle,,3,3,1.0,
d_main_19_02_3,d_main_19_02,Speech,rapi,rapi,Locale_MainScenario:d_main_19_02_3,True,,4,idle,,2,idle,,12,idle,,14,idle,,3,3,1.0,
d_main_19_02_4,d_main_19_02,Speech,neon,neon,Locale_MainScenario:d_main_19_02_4,True,,4,idle,,2,idle,,12,idle,,14,delight,,S_140,S_140,1.0,
d_main_19_02_5,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_5,True,,4,idle,,2,idle,,12,angry,,14,delight,,S_140,S_120,1.0,
d_main_19_02_6,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_6,True,,4,idle,,2,idle,,12,angry,,14,idle,,S_120,S_120,1.0,
d_main_19_02_7,d_main_19_02,Speech,anis,anis,Locale_MainScenario:d_main_19_02_7,True,,4,idle,,2,idle,,12,angry,,14,idle,,1,1,1.0,
d_main_19_02_8,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_8,True,,4,idle,,2,idle,,12,delight,,14,idle,,1,1,1.0,
d_main_19_02_9,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_9,True,,4,idle,,2,idle,,12,idle,,14,idle,,1,1,1.0,
d_main_19_02_10,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_10,True,,4,idle,,2,idle,,12,idle,,14,idle,,1,1,1.0,
d_main_19_02_11,d_main_19_02,Speech,neon,neon,Locale_MainScenario:d_main_19_02_11,True,,4,idle,,2,idle,,12,idle,,14,no,,1,13,0.7,
d_main_19_02_12,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_12,True,,4,idle,,2,idle,,12,angry,,14,no,,13,13,1.0,
d_main_19_02_13,d_main_19_02,Speech,anis,anis,Locale_MainScenario:d_main_19_02_13,True,,4,idle,,2,idle,,12,angry,,14,idle,,13,1,0.5,
d_main_19_02_14,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_14,True,,4,idle,,2,idle,,12,surprise,,14,idle,,1,1,1.0,
d_main_19_02_15,d_main_19_02,Speech,anis,anis,Locale_MainScenario:d_main_19_02_15,True,,4,idle,,2,delight,,12,surprise,,14,idle,,1,1,1.0,
d_main_19_02_16,d_main_19_02,Speech,anis,anis,Locale_MainScenario:d_main_19_02_16,True,,4,idle,,2,void,,12,surprise,,14,idle,,1,20,1.0,
d_main_19_02_17,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_17,True,,4,idle,,2,void,,12,surprise,,14,idle,,20,S_120,1.5,
d_main_19_02_18,d_main_19_02,Speech,anis,anis,Locale_MainScenario:d_main_19_02_18,True,,4,idle,,2,delight,,12,surprise,,14,idle,,1,1,1.0,
d_main_19_02_19,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_19,False,,4,idle,,2,delight,,12,think,,14,idle,,1,1,1.0,
d_main_19_02_20,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_20,True,,4,idle,,2,idle,,12,angry,,14,idle,,1,1,1.0,
d_main_19_02_21,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_21,True,,4,idle,,2,idle,,12,angry,,14,idle,,1,1,1.0,
d_main_19_02_22,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_22,True,,4,idle,,2,idle,,12,angry,,14,idle,,1,S_120,0.5,
d_main_19_02_23,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_23,True,,4,idle,,2,idle,,12,angry,,14,idle,,S_120,S_120,1.0,
d_main_19_02_24,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_24,True,,4,idle,,2,idle,,12,angry,,14,idle,,S_120,S_120,1.0,
d_main_19_02_25,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_25,True,,4,idle,,2,idle,,12,angry,,14,idle,,S_120,S_120,1.0,
d_main_19_02_26,d_main_19_02,Self,papillon,Self,Locale_MainScenario:d_main_19_02_26,False,,4,idle,,2,idle,,12,angry,,14,idle,,S_120,S_120,1.0,
d_main_19_02_27,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_27,True,,4,idle,,2,idle,,12,surprise,,14,idle,,S_120,S_120,1.0,
d_main_19_02_28,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_28,True,,4,idle,,2,idle,,12,surprise,,14,idle,,S_120,S_120,1.0,
d_main_19_02_29,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_29,True,,4,idle,,2,idle,,12,angry,,14,idle,,S_120,S_120,1.0,
d_main_19_02_30,d_main_19_02,Self,papillon,Self,Locale_MainScenario:d_main_19_02_30,False,,4,idle,,2,idle,,12,angry,,14,idle,,S_120,S_120,1.0,
d_main_19_02_31,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_31,True,,4,idle,,2,idle,,12,surprise,,14,idle,,S_120,S_120,1.0,
d_main_19_02_32,d_main_19_02,Self,papillon,Self,Locale_MainScenario:d_main_19_02_32,False,,4,idle,,2,idle,,12,surprise,,14,idle,,S_120,S_120,1.0,
d_main_19_02_33,d_main_19_02,Self,papillon,Self,Locale_MainScenario:d_main_19_02_33,False,,4,idle,,2,idle,,12,surprise,,14,idle,,S_120,S_120,1.0,
d_main_19_02_34,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_34,False,,4,idle,,2,idle,,12,think,,14,idle,,S_120,S_120,1.0,
d_main_19_02_35,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_35,True,,4,idle,,2,idle,,12,angry,,14,idle,,S_120,S_1200,1.0,
d_main_19_02_36,d_main_19_02,Speech,neon,neon,Locale_MainScenario:d_main_19_02_36,True,,4,idle,,2,idle,,12,angry,,14,idle,,13,13,1.0,
d_main_19_02_37,d_main_19_02,Speech,neon,neon,Locale_MainScenario:d_main_19_02_37,True,,4,idle,,2,idle,,12,angry,,14,idle,,13,13,1.0,
d_main_19_02_38,d_main_19_02,Speech,neon,neon,Locale_MainScenario:d_main_19_02_38,True,,4,idle,,2,idle,,12,angry,,14,idle,,13,13,1.0,
d_main_19_02_39,d_main_19_02,Speech,papillon,papillon,Locale_MainScenario:d_main_19_02_39,False,,4,idle,,2,idle,,12,think,,14,idle,,13,13,1.0,
d_main_19_02_40,d_main_19_02,Speech,anis,anis,Locale_MainScenario:d_main_19_02_40,True,,4,idle,,2,void,,12,think,,14,idle,,20,20,1.0,
