id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_ex_command_01_1,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_1,False,CommanderRoom,1,1,1.0,bgm_menu_commandersroom,,,,,,,,
d_ex_command_01_2,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_2,False,,1,1,1.0,,,,,,,,,
d_ex_command_01_3,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_3,False,,1,1,1.0,,,,,,,,,
d_ex_command_01_4,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_4,False,,1,1,1.0,,,,,,,,,
d_ex_command_01_5,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_5,False,,1,1,1.0,,,,,,,,,
d_ex_command_01_6,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_6,False,,1,1,1.0,,,,,,,,,
d_ex_command_01_7,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_7,False,,1,1,1.0,,Blur_Middle,,,,,,,
d_ex_command_01_8,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_8,False,none,1,1,1.0,,Blur_Middle,,,,,,,
d_ex_command_01_9,d_ex_command_01,Narration,Locale_SuddenStory:d_ex_command_01_9,False,,1,1,1.0,,,sfx_scn_knock,,,,,,
d_ex_command_01_10,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_10,True,CommanderRoom,1,1,1.0,,,,neon,neon,,,,
d_ex_command_01_11,d_ex_command_01,Self,Locale_SuddenStory:d_ex_command_01_11,False,,1,1,1.0,,,,neon,,,,,
d_ex_command_01_12,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_12,False,,1,1,1.0,,,,neon,,neon,1,idle,
d_ex_command_01_13,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_13,False,,1,1,1.0,,,,neon,,,1,idle,
d_ex_command_01_14,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_14,True,,1,S_10,1.0,none,,,neon,neon,,1,idle,
d_ex_command_01_15,d_ex_command_01,Self,Locale_SuddenStory:d_ex_command_01_15,False,,S_10,S_10,1.0,,,,neon,,,1,idle,
d_ex_command_01_16,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_16,True,,S_10,S_10,1.0,,,,neon,neon,,1,idle,
d_ex_command_01_17,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_17,True,,S_10,S_10,1.0,,,,neon,neon,,1,idle,
d_ex_command_01_18,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_18,True,,S_10,S_10,1.0,,,,neon,neon,,1,idle,
d_ex_command_01_19,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_19,True,,S_10,S_100,1.0,bgm_story_languor,,,neon,neon,,1,no,
d_ex_command_01_20,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_20,True,,S_100,S_100,1.0,,,,neon,neon,,1,no,
d_ex_command_01_21,d_ex_command_01,Self,Locale_SuddenStory:d_ex_command_01_21,False,,S_100,S_100,1.0,,,,neon,,,1,no,
d_ex_command_01_22,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_22,True,,S_100,1,1.0,,,,neon,neon,,1,delight,
d_ex_command_01_23,d_ex_command_01,Narration,Locale_SuddenStory:d_ex_command_01_23,False,,1,1,1.0,,,sfx_scn_shower,neon,,,1,delight,neon
d_ex_command_01_24,d_ex_command_01,Narration,Locale_SuddenStory:d_ex_command_01_24,False,,1,1,1.0,,,,neon,,,,,
d_ex_command_01_25,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_25,True,,1,1,1.0,,,,neon,neon,neon,1,delight,
d_ex_command_01_26,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_26,True,,1,1,1.0,,,,neon,neon,,1,delight,
d_ex_command_01_27,d_ex_command_01,Self,Locale_SuddenStory:d_ex_command_01_27,False,,1,1,1.0,,,,neon,,,1,delight,
d_ex_command_01_28,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_28,True,,1,1,1.0,,,,neon,neon,,1,delight,
d_ex_command_01_29,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_29,False,,1,1,1.0,,,,,,,1,delight,neon
d_ex_command_01_30,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_30,False,,1,1,1.0,,,,,,,,,
d_ex_command_01_31,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_31,False,,1,1,1.0,,Blur_Middle,,,,,,,
d_ex_command_01_32,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_32,False,none,1,1,1.0,,Blur_Middle,,,,,,,
d_ex_command_01_33,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_33,True,CommanderRoom,1,1,1.0,,,,anis,anis,anis,1,angry,
d_ex_command_01_34,d_ex_command_01,Self,Locale_SuddenStory:d_ex_command_01_34,False,,1,1,1.0,,,,anis,,,1,angry,
d_ex_command_01_35,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_35,True,,1,10,1.0,,,,anis,anis,,1,angry,
d_ex_command_01_36,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_36,True,,10,100,1.0,,,,anis,anis,,1,angry,
d_ex_command_01_37,d_ex_command_01,Self,Locale_SuddenStory:d_ex_command_01_37,False,,100,100,1.0,,,,anis,,,1,angry,
d_ex_command_01_38,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_38,True,,100,1,1.0,,,,anis,anis,,1,idle,
d_ex_command_01_39,d_ex_command_01,Narration,Locale_SuddenStory:d_ex_command_01_39,False,,1,1,1.0,,,sfx_scn_shower,anis,,,1,idle,anis
d_ex_command_01_40,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_40,True,,1,1,1.0,,,,anis,anis,,,,
d_ex_command_01_41,d_ex_command_01,Narration,Locale_SuddenStory:d_ex_command_01_41,False,,1,1,1.0,,,sfx_scn_dabbling,anis,,,,,
d_ex_command_01_42,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_42,False,,1,1,1.0,,,,anis,anis,,,,
d_ex_command_01_43,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_43,False,,1,1,1.0,,,,anis,anis,,,,
d_ex_command_01_44,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_44,False,,1,1,1.0,,,,anis,anis,,,,
d_ex_command_01_45,d_ex_command_01,Narration,Locale_SuddenStory:d_ex_command_01_45,False,,1,1,1.0,,,sfx_scn_shower,anis,,,,,
d_ex_command_01_46,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_46,False,,1,1,1.0,,,,anis,anis,,,,
d_ex_command_01_47,d_ex_command_01,Self,Locale_SuddenStory:d_ex_command_01_47,False,,1,1,1.0,,,,anis,,,,,
d_ex_command_01_48,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_48,False,none,1,1,1.0,,,,anis,,,,,
d_ex_command_01_49,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_49,True,CommanderRoom,1,1,1.0,,,,anis,anis,anis,1,delight,
d_ex_command_01_50,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_50,True,,1,1,1.0,,,,anis,anis,,1,idle,
d_ex_command_01_51,d_ex_command_01,Self,Locale_SuddenStory:d_ex_command_01_51,False,,1,1,1.0,,,,anis,,,1,idle,
d_ex_command_01_52,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_52,True,,1,1,1.0,,,,anis,anis,,1,delight,
d_ex_command_01_53,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_53,True,,1,100,1.0,,,,anis,anis,,1,delight,
d_ex_command_01_54,d_ex_command_01,Narration,Locale_SuddenStory:d_ex_command_01_54,False,,100,100,1.0,,,,anis,,,1,delight,
d_ex_command_01_55,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_55,False,,100,1,1.0,,,,anis,anis,,1,delight,
d_ex_command_01_56,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_56,True,,1,1,1.0,,,,anis,anis,,1,idle,
d_ex_command_01_57,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_57,True,,1,1,1.0,,,,anis,anis,,1,idle,
d_ex_command_01_58,d_ex_command_01,Self,Locale_SuddenStory:d_ex_command_01_58,False,,1,1,1.0,,,,anis,,,1,idle,
d_ex_command_01_59,d_ex_command_01,Speech,Locale_SuddenStory:d_ex_command_01_59,True,,1,1,1.0,,,,anis,anis,,1,idle,
d_ex_command_01_60,d_ex_command_01,Narration,Locale_SuddenStory:d_ex_command_01_60,False,,1,1,1.0,,,,,,,1,idle,anis
d_ex_command_01_61,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_61,False,,1,1,1.0,,,,,,,,,
d_ex_command_01_62,d_ex_command_01,Monologue,Locale_SuddenStory:d_ex_command_01_62,False,,1,1,1.0,,Blur_Middle,,,,,,,
d_ex_command_01_63,d_ex_command_01,Narration,Locale_SuddenStory:d_ex_command_01_63,False,none,1,1,1.0,,Blur_Middle,sfx_scn_knock,,,,,,
