id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_filter_01,characters/5/hide_char_id,characters/6/hide_char_id,play_sound
d_subquest_1107_s_1,d_subquest_1107_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1107_s_1,True,rapi,5,idle,neon,3,idle,anis,1,void,IceLand_n,1,1,1.0,ambient_scn_wind,,,,,,,,,,,,,,,,,,,,,,,
d_subquest_1107_s_2,d_subquest_1107_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1107_s_2,True,,5,idle,,3,idle,,1,void,,1,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_subquest_1107_s_3,d_subquest_1107_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1107_s_3,True,,5,idle,,3,worry,,1,void,,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_subquest_1107_s_4,d_subquest_1107_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1107_s_4,True,,5,idle,,3,worry,,1,void,,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_subquest_1107_s_5,d_subquest_1107_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1107_s_5,True,,5,think,,3,idle,,1,idle,,3,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_subquest_1107_s_6,d_subquest_1107_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1107_s_6,True,,5,idle,,3,idle,,1,idle,,4,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_subquest_1107_s_7,d_subquest_1107_s,Choice,,,Locale_SubScenario:d_subquest_1107_s_7,False,,5,idle,,3,idle,,1,idle,,4,4,1.0,,d_subquest_1107_s_9,,,,,,,,,,,,,,,,,,,,,,
d_subquest_1107_s_8,d_subquest_1107_s,Choice,,,Locale_SubScenario:d_subquest_1107_s_8,False,,5,idle,,3,idle,,1,idle,,4,4,1.0,,d_subquest_1107_s_9,,,,,,,,,,,,,,,,,,,,,,
d_subquest_1107_s_9,d_subquest_1107_s,Speech,k,k,Locale_SubScenario:d_subquest_1107_s_9,True,,5,idle,,3,idle,,1,idle,,4,15,0.5,bgm_enemyclose,,k,14,good,d,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_10,d_subquest_1107_s,Speech,d,d,Locale_SubScenario:d_subquest_1107_s_10,False,,5,idle,,3,idle,,1,idle,,15,15,1.0,,,,14,good,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_11,d_subquest_1107_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1107_s_11,True,,5,idle,,3,idle,,1,angry,,1,10,0.5,,,,14,good,,16,idle,,,,,,,,,,,,,,,,
d_subquest_1107_s_12,d_subquest_1107_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1107_s_12,True,,5,idle,,3,idle,,1,angry,,10,160,1.0,,,,14,good,,16,idle,,,,,,,,,,,,,,,,
