id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_26_1_s_1,d_main_26_01_s,Self,Locale_MainScenario:d_main_26_1_s_1,False,Desert_02,5,5,1.0,bgm_highnoon,,,,,dorothy,7,think,redhood,5,think,anis,3,void,neon,1,idle,chime,13,idle,crown,15,idle
d_main_26_1_s_2,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_2,True,,5,50,1.0,,redhood,redhood,,,,7,think,,5,think,,3,void,,1,idle,,13,idle,,15,idle
d_main_26_1_s_3,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_3,True,,50,50,1.0,,redhood,redhood,,,,7,think,,5,think,,3,void,,1,idle,,13,idle,,15,idle
d_main_26_1_s_4,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_4,True,,50,50,1.0,,redhood,redhood,,,,7,think,,5,think,,3,void,,1,idle,,13,idle,,15,idle
d_main_26_1_s_5,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_5,True,,3,30,1.0,,anis,anis,,,,7,think,,5,think,,3,worry,,1,no,,13,idle,,15,idle
d_main_26_1_s_6,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_6,True,,1,S_10,1.0,,neon,neon,,,,7,think,,5,think,,3,worry,,1,no,,13,idle,,15,idle
d_main_26_1_s_7,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_7,True,,5,5,1.0,,redhood,redhood,,,,7,think,,5,worry,,3,worry,,1,no,,13,idle,,15,idle
d_main_26_1_s_8,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_8,True,,S_10,S_10,1.0,,neon,neon,,,,7,think,,5,worry,,3,worry,,1,surprise,,13,idle,,15,idle
d_main_26_1_s_9,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_9,True,,5,5,1.0,,redhood,redhood,,,,7,think,,5,surprise,,3,worry,,1,surprise,,13,idle,,15,idle
d_main_26_1_s_10,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_10,True,,S_10,1,1.0,,neon,neon,,,,7,think,,5,surprise,,3,worry,,1,idle,,13,idle,,15,idle
d_main_26_1_s_11,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_11,True,,1,4,1.0,,anis,anis,,,,7,think,,5,surprise,,3,void,,1,idle,,13,idle,,15,idle
d_main_26_1_s_12,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_12,True,,4,4,1.0,,redhood,redhood,,,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle
d_main_26_1_s_13,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_13,True,,4,4,1.0,,redhood,redhood,,,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle
d_main_26_1_s_14,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_14,True,,4,6,1.0,,dorothy,dorothy,,,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle
d_main_26_1_s_15,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_15,True,,6,6,1.0,,redhood,redhood,,,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle
d_main_26_1_s_16,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_16,True,,6,6,1.0,,redhood,redhood,,,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle
d_main_26_1_s_17,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_17,False,,6,6,1.0,,dorothy,dorothy,,,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle
d_main_26_1_s_18,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_18,True,,6,4,1.0,,anis,anis,,,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle
d_main_26_1_s_19,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_19,True,,4,4,1.0,,anis,anis,,,,7,think,,5,idle,,3,void,,1,idle,,13,idle,,15,idle
d_main_26_1_s_20,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_20,True,,4,4,1.0,,redhood,redhood,,,,7,think,,5,surprise,,3,void,,1,idle,,13,idle,,15,idle
d_main_26_1_s_21,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_21,True,,4,4,1.0,,redhood,redhood,,,,7,think,,5,surprise,,3,void,,1,idle,,13,idle,,15,idle
d_main_26_1_s_22,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_22,True,,14,14,1.0,,chime,chime,,,,7,think,,5,surprise,,3,void,,1,idle,,13,idle,,15,idle
d_main_26_1_s_23,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_23,True,,14,14,1.0,,chime,chime,,,,7,think,,5,surprise,,3,void,,1,idle,,13,idle,,15,idle
d_main_26_1_s_24,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_24,False,,14,14,1.0,,chime,anis,,,,7,think,,5,idle,,3,worry,,1,idle,,13,idle,,15,idle
d_main_26_1_s_25,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_25,True,,14,XXS_130,0.7,,chime,chime,,,,7,think,,5,idle,,3,worry,,1,idle,,13,angry,,15,idle
d_main_26_1_s_26,d_main_26_01_s,Speech,Locale_MainScenario:d_main_26_1_s_26,True,,30,30,1.0,,anis,anis,,,,7,think,,5,idle,,3,no,,1,idle,,13,angry,,15,idle
d_main_26_1_s_27,d_main_26_01_s,Choice,Locale_MainScenario:d_main_26_1_s_27,False,,XXS_130,XXS_130,1.0,,,,d_main_26_1_s_29,,,7,think,,5,idle,,3,void,,1,idle,,13,angry,,15,idle
d_main_26_1_s_28,d_main_26_01_s,Choice,Locale_MainScenario:d_main_26_1_s_28,False,,XXS_130,XXS_130,1.0,,,,d_main_26_1_s_32,,,7,think,,5,idle,,3,void,,1,idle,,13,angry,,15,idle
